統計年度（民國年）,縣市別,項目,合計（統計數值）,一戶（統計數值）,二戶（統計數值）,三戶（統計數值）,四戶（統計數值）,五戶（統計數值）,六戶（統計數值）,七戶（統計數值）,八戶（統計數值）,九戶（統計數值）,十戶以上（統計數值）
104,新竹市,營利事業或機關團體所有,2814,1588,457,175,138,67,65,38,40,25,221
104,新竹市,合計,174522,153761,14543,3925,1004,436,221,133,87,57,355
104,嘉義市,個人所有,113356,100878,10051,1573,449,179,94,41,28,10,53
104,嘉義市,營利事業或機關團體所有,1721,996,272,136,72,42,32,20,25,10,116
104,嘉義市,合計,115077,101874,10323,1709,521,221,126,61,53,20,169
104,金門縣,個人所有,16887,14584,1651,376,125,82,31,12,6,3,17
104,金門縣,營利事業或機關團體所有,417,256,60,42,15,11,3,3,8,1,18
104,金門縣,合計,17304,14840,1711,418,140,93,34,15,14,4,35
104,連江縣,個人所有,2096,1727,292,40,11,2,2,4,5,0,13
104,連江縣,營利事業或機關團體所有,121,64,24,6,4,5,1,4,3,2,8
104,連江縣,合計,2217,1791,316,46,15,7,3,8,8,2,21
