,３５－４４歲,65457,42185,5687,33479,3019,6742,,5379,1343,20,13029,3501,3163,338,35-44 Years
,４５－５４歲,77573,50441,8871,37296,4274,9420,,7205,2109,106,13838,3874,3514,360,45-54 Years
,５５－６４歲,95601,54376,16691,34094,3591,17161,,11291,5095,775,18329,5735,5229,506,55-64 Years
,６５歲以上,105324,50374,28976,18192,3206,28180,,18746,6993,2441,19220,7550,6447,1103,65 Years and Over
,女,244902,105974,20141,54398,31435,39321,,25013,10367,3941,81344,18263,14293,3970,Female
,未滿２５歲,2911,468,99,300,69,71,,16,9,46,1742,630,294,336,Under 25 Years
,２５－３４歲,13947,5930,955,4055,920,701,,464,153,84,5666,1650,1178,472,25-34 Years
,３５－４４歲,38515,23636,2207,16592,4837,2255,,1799,431,25,10299,2325,1980,345,35-44 Years
,４５－５４歲,51456,30058,4269,17659,8130,3752,,2521,1116,115,15218,2428,2070,358,45-54 Years
,５５－６４歲,61824,27131,6400,11755,8976,11524,,7662,2939,923,19231,3938,3531,407,55-64 Years
,６５歲以上,76249,18751,6211,4037,8503,21018,,12551,5719,2748,29188,7292,5240,2052,65 Years and Over
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
