L09111年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2022",,111年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2022",,111年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2022"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 111 年,,,,,2 0 2 2,,,,,民 國 111 年,,,,,2 0 2 2,,,,,民 國 111 年,,,,,2 0 2 2,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
(1)自有(戶內經常居住成員所擁有),84.61,83.3,85.39,84.58,78.55,86.47,84.41,(1)Self-owned (by usually livingmember of this household),,(1)自有(戶內經常居住成員所擁有),89.42,90.15,88.77,87.33,87.87,88.17,90.19,(1)Self-owned (by usually livingmember of this household),,(1)自有(戶內經常居住成員所擁有),86.59,78.66,79.98,88.61,84.85,86.68,84.27,(1)Self-owned (by usually livingmember of this household)
(2)不住在一起的配偶、父母或子女所擁有,5.28,5.97,3.03,5.99,7.38,3.53,5.3,"(2)Owned by spouse, parentsor children not living together",,(2)不住在一起的配偶、父母或子女所擁有,3.57,4.22,4.67,5.51,3.12,6.26,3.32,"(2)Owned by spouse, parentsor children not living together",,(2)不住在一起的配偶、父母或子女所擁有,4.3899999999999997,12.08,7.18,2.95,7.44,5.74,4.51,"(2)Owned by spouse, parentsor children not living together"
(3)租押,7.34,9.2899999999999991,8.65,7.91,9.69,7.46,7.32,(3)Rented,,(3)租押,4.72,3.09,2.67,5.0999999999999996,3.68,2.67,2.02,(3)Rented,,(3)租押,4.83,4.3,7.68,2,6.09,6.27,8.02,(3)Rented
(4)其他(含配住及借用),2.76,1.43,2.93,1.52,4.38,2.5499999999999998,2.97,(4)Allotted and others,,(4)其他(含配住及借用),2.29,2.5499999999999998,3.9,2.06,5.33,2.9,4.4800000000000004,(4)Allotted and others,,(4)其他(含配住及借用),4.1900000000000004,4.97,5.15,6.44,1.62,1.32,3.19,(4)Allotted and others
2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,2.By usage of dwelling
(1)專用,97.17,97.57,99.05,97.36,97.62,97.06,97.42,(1)Independent,,(1)專用,97.32,94.41,95.71,97.29,91.64,93.21,95.82,(1)Independent,,(1)專用,95,96,99.41,97.48,99.04,97.99,93.25,(1)Independent
(2)併用,2.83,2.4300000000000002,0.95,2.64,2.38,2.94,2.58,(2)Connected,,(2)併用,2.68,5.59,4.29,2.71,8.36,6.79,4.18,(2)Connected,,(2)併用,5,4,0.59,2.52,0.96,2.0099999999999998,6.75,(2)Connected
3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,3.By style of building
(1)平房,7.29,2.85,1.43,3.69,5.14,11.83,3.77,(1)One story,,(1)平房,9.7100000000000009,4.4000000000000004,11.77,14.3,18.309999999999999,23.58,25.94,(1)One story,,(1)平房,17.5,28.82,24.77,20.21,3.85,3.3,8.25,(1)One story
(2)二～三層樓,36.33,13.69,7.96,32.28,41.21,47.28,33.659999999999997,(2)Two or three stories,,(2)二～三層樓,67.61,55.35,66.099999999999994,65.3,65.39,67.599999999999994,66.2,(2)Two or three stories,,(2)二～三層樓,72.069999999999993,60.78,62.19,56.3,18.97,38.340000000000003,39.4,(2)Two or three stories
(3)四～五層樓,31.18,45.66,52.12,27.76,25.36,29.55,33.03,(3)Four or five stories,,(3)四～五層樓,16.36,21.69,16.16,16.55,12.7,8,7.62,(3)Four or five stories,,(3)四～五層樓,6.84,6.08,8.92,21.99,47.32,25.57,35.19,(3)Four or five stories
(4)六層樓以上,25.2,37.799999999999997,38.49,36.28,28.29,11.34,29.54,"(4)Apartment, six stories or over",,(4)六層樓以上,6.32,18.559999999999999,5.97,3.85,3.61,0.82,0.24,"(4)Apartment, six stories or over",,(4)六層樓以上,3.58,4.32,4.12,1.5,29.86,32.79,17.16,"(4)Apartment, six stories or over"
4.具有自來水設備,97.29,100,99.89,98.61,98.63,100,98.88,4.Piped water equipment,,4.具有自來水設備,96.54,86.99,90.57,97.41,89.17,99.84,99.35,4.Piped water equipment,,4.具有自來水設備,64.48,94.61,91.76,99.5,100,100,100,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,5.Parking lot
(1)自有停車位,49.24,33.82,33.06,53.6,46.54,67.73,34.549999999999997,(1)Self-owned,,(1)自有停車位,60.69,63.3,59.52,64.56,56.3,69.03,70.66,(1)Self-owned,,(1)自有停車位,78.3,44.2,57.53,62.76,41.7,59.5,39.770000000000003,(1)Self-owned
(2)租借停車位,16.420000000000002,32.03,41.21,15.66,11.71,8.1199999999999992,15.62,(2)Rented,,(2)租借停車位,5.96,9.69,5.84,4.8600000000000003,5.86,2.1800000000000002,4.4000000000000004,(2)Rented,,(2)租借停車位,4.1900000000000004,7.11,6.72,6.46,6.4,13.93,9.25,(2)Rented
(3)無停車位,34.340000000000003,34.14,25.73,30.74,41.75,24.15,49.84,(3)None,,(3)無停車位,33.35,27.01,34.64,30.58,37.840000000000003,28.79,24.94,(3)None,,(3)無停車位,17.510000000000002,48.7,35.74,30.78,51.9,26.57,50.98,(3)None
6.每戶建坪平均數(坪),45.1,31.36,32.54,46.63,50.28,50.83,50.85,6.Space per household average (pin),,6.每戶建坪平均數(坪),51.74,57.63,60.17,54.55,58.56,51.39,48.35,6.Space per household average (pin),,6.每戶建坪平均數(坪),51.23,47.82,45.27,46.72,33.1,54.15,57.04,6.Space per household average (pin)
7.每戶建坪中位數(坪),39,30,30,40,45,46,45,7.Space per household median (pin),,7.每戶建坪中位數(坪),48,53,56,52,58,50,45,7.Space per household median (pin),,7.每戶建坪中位數(坪),50,44,42,46,30,46,51,7.Space per household median (pin)
二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,B.Main household equipment (%)
1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,1.Percentage of household with equip.
(1)彩色電視機,98.44,99.6,98.36,98.09,98.19,97.33,97.75,(1)Color TV,,(1)彩色電視機,99.2,98.32,99.15,99.32,97.84,100,97.36,(1)Color TV,,(1)彩色電視機,98.37,96.05,96.86,97.96,99.33,98.3,98.41,(1)Color TV
一般彩色電視機,2.72,0.53,1.1399999999999999,2.39,3.21,2.73,3.61,Non-LCD TV,,一般彩色電視機,2.2999999999999998,1.08,4.0599999999999996,5.33,9.3800000000000008,3.36,4.3899999999999997,Non-LCD TV,,一般彩色電視機,7.1,12.66,0.32,0.49,2.84,0.66,3.56,Non-LCD TV
液晶、電漿電視,96.94,99.52,97.69,97,96.47,96.11,96.18,LCD、PDP TV,,液晶、電漿電視,98.62,97.96,97.29,96.11,90.03,97.4,94.45,LCD、PDP TV,,液晶、電漿電視,94.25,85.16,96.55,97.48,97.14,97.96,95.83,LCD、PDP TV
(2)數位影音光碟機,7.61,11.76,9.6199999999999992,8.68,7.66,5.49,7.16,(2)DVD player,,(2)數位影音光碟機,5.53,11.3,3.72,4.0199999999999996,3.19,3.94,2.71,(2)DVD player,,(2)數位影音光碟機,3.8,2.15,1.1399999999999999,0,7.41,7.54,1.3,(2)DVD player
(3)攝影機,2.96,3.02,5.18,3.91,2.6,3.31,1.81,(3)Movies camera,,(3)攝影機,2.89,3.23,3.33,2.16,2.46,1.29,1.8,(3)Movies camera,,(3)攝影機,2.72,0.35,0.28000000000000003,0.49,2.92,2.76,1.93,(3)Movies camera
(4)音響,17.25,24.37,23.16,17.329999999999998,18.45,12,11.4,(4)Stereo,,(4)音響,11.95,27.71,19.399999999999999,13.34,19.260000000000002,5.75,5.75,(4)Stereo,,(4)音響,9.06,6.44,6.96,3.53,21.29,23.02,11.07,(4)Stereo
(5)鋼琴(含電子琴),6.19,3.02,12.27,5.56,8.0299999999999994,5.21,5.46,(5)Piano,,(5)鋼琴(含電子琴),5.83,10.86,7.09,2.54,6.86,4.57,4.99,(5)Piano,,(5)鋼琴(含電子琴),5.07,4.7300000000000004,1.45,1.52,4.22,13.9,6.56,(5)Piano
(6)數位相機,8.9700000000000006,11.33,12.42,10.33,11.23,7.13,5.83,(6)Digital camera,,(6)數位相機,7.04,9.94,9.36,7.39,5.4,2.98,2.57,(6)Digital camera,,(6)數位相機,4.5199999999999996,9.9700000000000006,4.53,1.97,4.87,12.59,9.4700000000000006,(6)Digital camera
(7)電視遊樂器,10.7,14.77,15.27,13.18,11.61,8.06,8.65,(7)Video game,,(7)電視遊樂器,7.69,16.05,7.11,4.29,5.26,3.5,2.3199999999999998,(7)Video game,,(7)電視遊樂器,4.4400000000000004,6.11,0.56000000000000005,2,8.01,19.46,5.85,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),83.64,93.28,94.5,79.27,76.52,81.84,84.86,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),79.599999999999994,87.35,85.36,75.03,77.39,68.12,57.58,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),81.540000000000006,68.44,71.97,88.85,89.05,77.680000000000007,84.84,(8)Cable TV(MOD included)
(9)家用電腦,67.819999999999993,77.13,81.739999999999995,73.78,73.959999999999994,63.39,64.78,(9)Personal computer,,(9)家用電腦,51.3,71.930000000000007,64.84,58.66,61.47,37.200000000000003,32.04,(9)Personal computer,,(9)家用電腦,49.36,38.89,39.619999999999997,34.24,64.59,74.75,60.1,(9)Personal computer
(10)電話機,80.989999999999995,84.06,87.88,71.930000000000007,78.209999999999994,81.28,78.099999999999994,(10)Telephone,,(10)電話機,80.849999999999994,77.95,85.33,84.61,90.14,88.62,87.29,(10)Telephone,,(10)電話機,77.87,62,68.86,88.54,82.6,72.92,82.93,(10)Telephone
(11)行動電話,97.08,98.9,99.05,97.95,97.62,95.49,97.45,(11)Cell phone,,(11)行動電話,96.37,96.79,95.45,94.26,96.64,90.43,88.09,(11)Cell phone,,(11)行動電話,95.8,94.95,95.7,92,97.1,98.37,98.4,(11)Cell phone
(12)連網(使用電腦或其他設備),94.5,97.72,97.98,97.18,96.95,91.97,96.46,(12)Internet facility,,(12)連網(使用電腦或其他設備),88.55,92.64,90.06,87.11,92.67,80.069999999999993,80.81,(12)Internet facility,,(12)連網(使用電腦或其他設備),89.55,91.32,92.16,75.7,94.84,95.76,95.16,(12)Internet facility
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,
111年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2022",,111年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2022",,111年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2022"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分(續三),Table 8. Household Housing and Household Facilities by Areas (Cont.3),,第8表家庭住宅及主要設備概況按區域別分(續四),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.4),,第8表家庭住宅及主要設備概況按區域別分(續完),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.End),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 111 年,,,,,2 0 2 2,,,,,民 國 111 年,,,,,2 0 2 2,,,,,民 國 111 年,,,,,2 0 2 2,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(13)汽車,61.35,48.62,49.39,74.430000000000007,69.48,65.260000000000005,62.43,(13)Sedan vehicle,,(13)汽車,65.099999999999994,79.19,72.849999999999994,69.05,75.38,56.84,62.61,(13)Sedan vehicle,,(13)汽車,58.96,54.98,62.11,45.6,45.18,71.64,66.66,(13)Sedan vehicle
(14)機車,83.88,81.459999999999994,58.82,85.21,88.12,91.22,91.52,(14)Motorcycle,,(14)機車,86.44,84.89,87.96,92.46,91.31,84.5,83.63,(14)Motorcycle,,(14)機車,94.14,87.7,82.97,86.35,73.540000000000006,93.71,93.22,(14)Motorcycle
(15)電磁爐,33.28,45.1,38.69,35.68,31.97,26.14,27.75,(15)Electro-magnetic oven,,(15)電磁爐,32.700000000000003,26.04,28.74,28.79,25.88,19.600000000000001,20.41,(15)Electro-magnetic oven,,(15)電磁爐,24.86,21.99,25.92,13.16,43.93,36.729999999999997,34.520000000000003,(15)Electro-magnetic oven
(16)冷暖氣機,96.69,99.83,99.55,97.17,95.34,96.43,97.88,(16)Air conditioner,,(16)冷暖氣機,94.2,94.82,94.68,96.81,77.099999999999994,96.38,89.52,(16)Air conditioner,,(16)冷暖氣機,94.74,78.72,94.61,96.34,99.05,95.63,97.11,(16)Air conditioner
(17)除濕機,44.81,65.819999999999993,67.63,65.37,32.96,24.4,22.06,(17)Dehumidifier,,(17)除濕機,70.13,55.82,44.92,19.75,31.11,16.18,16.78,(17)Dehumidifier,,(17)除濕機,14.96,13.21,23.98,41.33,92.92,61.98,28.23,(17)Dehumidifier
(18)洗衣機,99.11,99.92,99.42,98.55,98.87,99.33,98.86,(18)Washing machine,,(18)洗衣機,98.87,97.98,99.3,98.89,100,97.9,97.62,(18)Washing machine,,(18)洗衣機,98.63,98.19,99.43,100,100,98.95,99.02,(18)Washing machine
(19)烘衣機,13.78,16.489999999999998,16.77,25.6,12.59,6.18,3.15,(19)Drier,,(19)烘衣機,23.31,30.32,30.22,11.59,12.6,5.88,3.64,(19)Drier,,(19)烘衣機,5.86,6.1,7.96,4.0199999999999996,18.84,23.3,4.9000000000000004,(19)Drier
(20)空氣清淨機,26.38,28.98,30.79,29.38,27.69,23.55,31.34,(20)Air-clean machine,,(20)空氣清淨機,13.89,35.29,24.8,19.190000000000001,19.989999999999998,11.8,13.63,(20)Air-clean machine,,(20)空氣清淨機,17.7,9.7200000000000006,7.24,12.01,21.99,37.83,25.33,(20)Air-clean machine
(21)濾水器,42.12,45.46,45.84,54.19,53.26,34.36,38.700000000000003,(21)Water filter machine,,(21)濾水器,31.42,56.09,45.6,28.04,26.04,32.99,23.71,(21)Water filter machine,,(21)濾水器,25.36,15.7,19.53,10.050000000000001,36.58,63.1,35,(21)Water filter machine
(22)吸塵器,51.14,56.36,65.45,59.11,51.74,43.51,50.66,(22)Vacuum cleaner,,(22)吸塵器,44.49,67.209999999999994,46.29,40.69,43.29,30.35,25.1,(22)Vacuum cleaner,,(22)吸塵器,24.81,36.51,31.26,20.91,51.24,64.5,47.89,(22)Vacuum cleaner
(23)熱水器,99.78,100,99.86,99.75,99.8,99.74,99.61,(23)Geyser,,(23)熱水器,98.15,100,100,100,100,100,98.79,(23)Geyser,,(23)熱水器,99.4,99.63,99.73,100,100,100,100,(23)Geyser
(24)開飲機,38.75,40.78,26.46,44.18,42.24,29.5,28.25,(24)Hot-warm water fountain,,(24)開飲機,43.75,56.3,61.56,56.62,35.93,46.24,23.07,(24)Hot-warm water fountain,,(24)開飲機,54.05,33.619999999999997,42.32,59.37,40.270000000000003,43.37,24.98,(24)Hot-warm water fountain
(25)微波爐,46.7,56.34,52.91,59.01,47.09,36.97,38.17,(25)Microwave oven,,(25)微波爐,36.04,57.06,46.04,40.090000000000003,43.47,37.869999999999997,19.97,(25)Microwave oven,,(25)微波爐,38.46,31.19,26.59,30.55,39.44,61.18,37.54,(25)Microwave oven
(26)報紙,6.02,3.91,5.59,7.58,6.08,7.82,6.57,(26)Newspaper,,(26)報紙,5.88,4.62,7.15,6.96,6.59,8.3699999999999992,5.76,(26)Newspaper,,(26)報紙,3.36,3.57,10.78,4,2.31,8.82,7.71,(26)Newspaper
(27)期刊雜誌,2.6,3.94,3.74,1.97,2.35,2.79,2.16,(27)Magazine,,(27)期刊雜誌,1.77,1.91,1.19,1.93,0.73,2.38,0.7,(27)Magazine,,(27)期刊雜誌,1.27,0,0.27,0,1.93,3.99,5.13,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households
(1)彩色電視機,145.79,138.63999999999999,137.99,149.24,144.36000000000001,148.80000000000001,153.4,(1)Color TV,,(1)彩色電視機,165.5,169.47,164.26,146.88999999999999,142.31,145.19,138.25,(1)Color TV,,(1)彩色電視機,146.86000000000001,131.87,135.34,151.86000000000001,145.97999999999999,143.28,140.72,(1)Color TV
一般彩色電視機,3.05,0.56999999999999995,1.29,2.66,3.82,2.86,3.97,Non-LCD TV,,一般彩色電視機,2.96,1.08,4.49,5.33,12.74,3.6,4.92,Non-LCD TV,,一般彩色電視機,7.7,12.66,0.32,0.49,3.15,1,4.2,Non-LCD TV
液晶、電漿電視,142.75,138.07,136.69999999999999,146.59,140.54,145.94,149.41999999999999,LCD、PDP TV,,液晶、電漿電視,162.55000000000001,168.39,159.77000000000001,141.56,129.57,141.59,133.34,LCD、PDP TV,,液晶、電漿電視,139.16999999999999,119.21,135.03,151.38,142.82,142.28,136.53,LCD、PDP TV
(2)數位影音光碟機,7.76,11.87,9.67,8.8000000000000007,7.88,6.02,7.21,(2)DVD player,,(2)數位影音光碟機,5.75,11.52,3.99,4.0199999999999996,3.19,4.26,2.71,(2)DVD player,,(2)數位影音光碟機,3.8,2.52,1.1399999999999999,0,8.02,7.54,1.3,(2)DVD player
(3)攝影機,3.24,3.06,5.52,4.47,2.91,3.51,2.29,(3)Movies camera,,(3)攝影機,3.53,3.23,3.33,2.6,2.46,1.61,2.17,(3)Movies camera,,(3)攝影機,2.92,0.35,0.28000000000000003,0.49,2.92,3.1,1.93,(3)Movies camera
(4)音響,17.829999999999998,24.49,24.79,18.02,19.16,12.8,11.65,(4)Stereo,,(4)音響,12.59,28.76,20.05,13.34,20.8,6.07,5.75,(4)Stereo,,(4)音響,9.69,6.44,6.96,3.53,21.92,23.02,11.4,(4)Stereo
(5)鋼琴(含電子琴),6.31,3.02,12.58,5.68,8.25,5.43,5.46,(5)Piano,,(5)鋼琴(含電子琴),5.83,11.22,7.63,2.54,6.86,4.57,5.36,(5)Piano,,(5)鋼琴(含電子琴),5.07,5.09,1.45,1.52,4.22,13.9,6.56,(5)Piano
(6)數位相機,10.050000000000001,12.09,14.99,11.34,12.51,8.07,6.53,(6)Digital camera,,(6)數位相機,9.59,11.5,10.4,7.61,5.4,2.98,3.09,(6)Digital camera,,(6)數位相機,5.15,12.02,4.53,1.97,5.48,14.34,10.76,(6)Digital camera
(7)電視遊樂器,11.76,15.4,17.309999999999999,14.77,12.86,9.27,9.31,(7)Video game,,(7)電視遊樂器,9.1300000000000008,16.329999999999998,7.38,5.03,5.26,3.5,3.12,(7)Video game,,(7)電視遊樂器,5.7,6.47,0.56000000000000005,2,8.98,23.65,5.85,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),84.67,94.52,94.61,79.89,78.34,82.42,86,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),81.260000000000005,89.41,86.07,75.8,78.069999999999993,68.61,58.02,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),82.16,68.790000000000006,73.08,89.84,95.09,78.739999999999995,84.84,(8)Cable TV(MOD included)
(9)家用電腦,112.22,125.69,143.54,132.49,120.77,104.37,107.34,(9)Personal computer,,(9)家用電腦,90.06,119.21,99.92,85.77,89.28,49.17,46.25,(9)Personal computer,,(9)家用電腦,69.45,51.38,53.21,42.64,102.81,164.63,92.37,(9)Personal computer
(10)電話機,82.09,84.68,91.09,73.02,78.52,82.2,79.489999999999995,(10)Telephone,,(10)電話機,81.489999999999995,80.92,85.33,85.7,90.14,88.62,88.15,(10)Telephone,,(10)電話機,78.489999999999995,62.35,69.709999999999994,89.51,82.6,73.59,85.19,(10)Telephone
(11)行動電話,239.13,251.96,247.18,259.37,244.03,227.55,233.87,(11)Cell phone,,(11)行動電話,236.2,261.42,236.56,229.55,241.05,204.1,188.6,(11)Cell phone,,(11)行動電話,219.56,196.34,197.21,178.1,228.73,243.98,221.26,(11)Cell phone
(12)汽車,72.83,50.88,52.52,91.77,86.47,79.11,71.959999999999994,(12)Sedan vehicle,,(12)汽車,78.790000000000006,114.44,97.8,83.86,100.09,73.83,77.569999999999993,(12)Sedan vehicle,,(12)汽車,70.63,62.87,70.53,55.79,48.42,90.89,82.01,(12)Sedan vehicle
(13)機車,151.56,137.59,83.12,156.75,165.77,178.28,179.85,(13)Motorcycle,,(13)機車,158.69999999999999,159.37,158.71,174.86,170.5,153.22,147.26,(13)Motorcycle,,(13)機車,185.4,146.99,132.19999999999999,148.69999999999999,108.4,179.1,174.34,(13)Motorcycle
(14)電磁爐,33.69,45.27,39.4,35.75,32.67,26.28,28.14,(14)Electro-magnetic oven,,(14)電磁爐,33.71,26.04,29.37,29.13,25.88,19.920000000000002,20.65,(14)Electro-magnetic oven,,(14)電磁爐,25.66,22.35,26.22,13.16,44.6,38.14,35.5,(14)Electro-magnetic oven
(15)冷暖氣機,262.05,268.43,272.5,276.16000000000003,251,257.33999999999997,273.06,(15)Air conditioner,,(15)冷暖氣機,276.97000000000003,293.85000000000002,253.41,253.79,175.58,252.54,221.44,(15)Air conditioner,,(15)冷暖氣機,246.64,196.67,215.95,238.53,237.04,319.8,266.74,(15)Air conditioner
(16)除濕機,58.71,78.680000000000007,88.43,91.95,40.32,32.090000000000003,26.72,(16)Dehumidifier,,(16)除濕機,129.41999999999999,83.73,59.99,23.19,38.29,19.22,20.190000000000001,(16)Dehumidifier,,(16)除濕機,18.989999999999998,17.86,30.66,60.25,141.24,97,34.75,(16)Dehumidifier
(17)洗衣機,102.34,100.42,100.24,102,102.38,106.05,104.01,(17)Washing machine,,(17)洗衣機,108.1,103.06,103.75,100.82,105.68,100.55,99.85,(17)Washing machine,,(17)洗衣機,103.05,100.69,101.77,101.02,100.99,106.78,101.98,(17)Washing machine
