L0984年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 1995",,84年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1995",,84年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 1995"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 84 年,,,,,1 9 9 5,,,,,民 國 84 年,,,,,1 9 9 5,,,,,,民 國 84 年,,,,,,1 9 9 5,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,,,1.Percentage of household with equip.
(1)彩色電視機,99.29,99.32,99.66,99.56,98.19,99.5,99.68,(1)Color TV,,(1)彩色電視機,99.37,99.88,99.08,99.07,97.77,97.34,99.3,99.63,(1)Color TV,,(1)彩色電視機,99.15,98.71,99,97.99,99.03,99.01,99.51,100,99.21,(1)Color TV
(2)碟影機,4.21,8.41,3.69,4.1500000000000004,4.33,5.2,5.34,(2)Laser-disk player,,(2)碟影機,4.37,4.33,3.31,3.98,1.32,0.59,1.59,0.9,(2)Laser-disk player,,(2)碟影機,1.03,2.17,1.32,0,5.75,10.55,5.14,3.81,2.2200000000000002,(2)Laser-disk player
(3)攝影機,5.95,14.97,6.67,6.23,3.9,5.3,4.5999999999999996,(3)Movies camera,,(3)攝影機,4.4000000000000004,4.21,3.1,3.35,2.0299999999999998,1.17,2.14,2.0299999999999998,(3)Movies camera,,(3)攝影機,2.23,1.31,1,2.85,3.51,11.03,4.9000000000000004,7.12,5.2,(3)Movies camera
(4)音響,39.24,51.51,40.28,41.85,31.01,46.32,46.01,(4)Stereo,,(4)音響,35.090000000000003,40.68,29.96,32.450000000000003,19.8,25.73,31.37,31.16,(4)Stereo,,(4)音響,35.1,30.16,24.75,20.85,39.94,51.89,41.49,43.98,37.18,(4)Stereo
(5)收錄音機,73.959999999999994,84.6,80.400000000000006,73.569999999999993,68.12,75.430000000000007,64.08,(5)Radio and recorder,,(5)收錄音機,59.01,84.16,63.04,73.97,53.86,50.89,70.67,70.39,(5)Radio and recorder,,(5)收錄音機,74.64,63.15,57.26,66.06,70.69,76.930000000000007,77.400000000000006,81.7,80.7,(5)Radio and recorder
(6)鋼琴(含電子琴),11.77,23.15,16.29,9.81,10.45,9.6199999999999992,9.4600000000000009,(6)Piano,,(6)鋼琴(含電子琴),7.07,9.73,5.04,7.06,3.65,2.64,5.46,8.1199999999999992,(6)Piano,,(6)鋼琴(含電子琴),8.75,4.78,9.9700000000000006,3.73,11.36,19.77,18.96,14.22,12.29,(6)Piano
(7)照相機,60.32,80.06,61.23,65.23,47.57,68.22,60.28,(7)Camera,,(7)照相機,50.48,67.77,45.21,43.63,32.700000000000003,28.8,47.42,51.46,(7)Camera,,(7)照相機,53.64,31.19,37.49,44.66,58.72,66.83,71.73,72.38,61,(7)Camera
(8)電視遊樂器,17.21,28.49,18.43,20.38,14.88,20.65,12.98,(8)Video game,,(8)電視遊樂器,13.38,17.190000000000001,10.11,9.5500000000000007,7.76,5.0599999999999996,9.6999999999999993,11.98,(8)Video game,,(8)電視遊樂器,7.46,6.6,10.29,11.55,18.45,25.14,17.95,20.39,15.55,(8)Video game
(9)錄放影機,62.19,75.78,63.12,69.23,56.96,73.88,62.24,(9)Video tape recorder,,(9)錄放影機,56.47,67.59,47.86,56.71,39.31,46.1,49.79,49.67,(9)Video tape recorder,,(9)錄放影機,49.87,55.89,51.34,54.05,66.5,68.16,60.31,70.8,56.07,(9)Video tape recorder
(10)有線電視頻道設備,54.15,60.3,72.98,54.91,43.86,43.5,51.71,(10)Cable TV,,(10)有線電視頻道設備,75.55,55.98,44.64,60.74,29.08,45.93,46.73,44.46,(10)Cable TV,,(10)有線電視頻道設備,42.9,11.64,33.31,25.96,55.19,75.41,60.45,83.1,72.569999999999993,(10)Cable TV
(11)家用電腦,18.54,36.17,18.809999999999999,20.8,15.6,19.989999999999998,17.559999999999999,(11)Personal computer,,(11)家用電腦,12.73,13.01,9.9700000000000006,11.58,5.25,7.13,8.33,8.42,(11)Personal computer,,(11)家用電腦,11.37,9.56,10.86,9.35,20.38,31.64,23.69,19.93,16.13,(11)Personal computer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
