L10112年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 112 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
(8)有線電視頻道設備(含多媒體隨選視訊),83.43,76.48,83.89,(8)Cable TV(MOD included)
(9)家用電腦,67.72,51.69,68.790000000000006,(9)Personal computer
(10)電話機,79.94,89.41,79.31,(10)Telephone
(11)行動電話,97.33,96.23,97.4,(11)Cell phone
(12)連網(使用電腦或其他設備),95.31,91.52,95.56,(12)Internet facility
,,,,
,,,,"The Survey of Family Income and Expenditure, 2023"
,,,,
Table 9. Household Housing and Household Facilities by Farm or Non-farm,,,,
,,,,
2 0 2 3,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
(13)汽車,61.17,76.8,60.14,(13)Sedan vehicle
(14)機車,83.48,92.22,82.9,(14)Motorcycle
(15)電磁爐,34.6,27.03,35.1,(15)Electro-magnetic oven
(16)冷暖氣機,96.94,91.12,97.33,(16)Air conditioner
(17)除濕機,44.96,18.87,46.68,(17)Dehumidifier
(18)洗衣機,99.12,99.08,99.12,(18)Washing machine
(19)烘衣機,13.94,12.34,14.04,(19)Drier
(20)空氣清淨機,27.23,11.2,28.29,(20)Air-clean machine
(21)濾水器,41.87,28.17,42.78,(21)Water filter machine
(22)吸塵器,52.67,33.229999999999997,53.96,(22)Vacuum cleaner
(23)熱水器,99.75,99.58,99.77,(23)Geyser
(24)開飲機,37.26,46.15,36.67,(24)Hot-warm water fountain
(25)微波爐,48.13,35.71,48.95,(25)Microwave oven
(26)報紙,5.75,8.9600000000000009,5.54,(26)Newspaper
(27)期刊雜誌,2.09,1.41,2.13,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,2.Average No. per hundred households
(1)彩色電視機,144.77000000000001,145.30000000000001,144.74,(1)Color TV
(2)數位影音光碟機,7.74,2.92,8.06,(2)DVD player
(3)攝影機,3.12,1.6,3.22,(3)Movies camera
(4)音響,16.62,9.31,17.100000000000001,(4)Stereo
(5)鋼琴(含電子琴),6.1,3.03,6.3,(5)Piano
(6)數位相機,9.57,4.03,9.94,(6)Digital camera
(7)電視遊樂器,12.11,3.65,12.66,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),84.29,77.209999999999994,84.76,(8)Cable TV(MOD included)
(9)家用電腦,114.85,74.03,117.55,(9)Personal computer
(10)電話機,80.94,90.94,80.28,(10)Telephone
(11)行動電話,237.87,242.1,237.59,(11)Cell phone
(12)汽車,72.959999999999994,103.17,70.97,(12)Sedan vehicle
(13)機車,150.80000000000001,183.91,148.61000000000001,(13)Motorcycle
(14)電磁爐,35.08,27.16,35.61,(14)Electro-magnetic oven
(15)冷暖氣機,268.48,240.37,270.33999999999997,(15)Air conditioner
(16)除濕機,59.22,23.04,61.61,(16)Dehumidifier
(17)洗衣機,102.77,104.18,102.68,(17)Washing machine
(18)烘衣機,13.99,12.44,14.09,(18)Drier
(19)空氣清淨機,33.799999999999997,14.51,35.08,(19)Air-clean machine
(20)濾水器,42.24,29.28,43.1,(20)Water filter machine
(21)吸塵器,61.57,37.770000000000003,63.15,(21)Vacuum cleaner
(22)熱水器,108.64,112.64,108.38,(22)Geyser
(23)開飲機,38.020000000000003,47.43,37.4,(23)Hot-warm water fountain
(24)微波爐,48.32,35.82,49.15,(24)Microwave oven
(25)報紙,5.86,9.08,5.65,(25)Newspaper
(26)期刊雜誌,2.5,1.41,2.58,(26)Magazine
