appleL02102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 102 年,,,,單位：元,2 0 1 3 Unit:NT$,,,,,民 國 102 年,,,,單位：元,2 0 1 3 Unit:NT$,,,,,民 國 102 年,,,,單位：元,2 0 1 3 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,臺 中 市,臺 南 市,高 雄 市,宜 蘭 縣,,,,桃 園 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taichung,Tainan,Kaohsiung,Yilan,,,,Taoyuan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,County,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總 平 均,新 北 市,臺 北 市,臺 中 市,臺 南 市,高 雄 市,宜 蘭 縣,,,,桃 園 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taichung,Tainan,Kaohsiung,Yilan,,,,Taoyuan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,County,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、消費支出,747922,750687,1001798,781899,654843,709823,668544,C.Consumption expenditures,,三、消費支出,832626,858781,621582,577658,584190,522661,616718,C.Consumption expenditures,,三、消費支出,545713,478531,554525,514077,719698,1044462,788432,C.Consumption expenditures
1.食品及非酒精飲料,112786,105359,149101,112170,105934,100782,113773,1.Food and non-alcoholic beverages,,1.食品及非酒精飲料,142938,112920,92684,102773,101785,73960,118387,1.Food and non-alcoholic beverages,,1.食品及非酒精飲料,75181,70559,85252,88761,123360,134160,121661,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9117,8647,7423,8165,9146,8440,11602,"2.Tobacco,alcoholic beverages and betel nuts",,2.菸酒及檳榔,10610,8797,9641,7507,10470,8572,14950,"2.Tobacco,alcoholic beverages and betel nuts",,2.菸酒及檳榔,10218,14182,10699,11510,12357,12147,8766,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22295,25463,28670,24897,17047,17552,18396,3.Clothing and footwear,,3.衣著鞋襪及服飾用品,26850,25758,18339,15755,18214,13127,18690,3.Clothing and footwear,,3.衣著鞋襪及服飾用品,14199,13820,14017,21235,28433,32334,22909,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,181527,199945,301708,178981,136748,158761,135603,"4.Housing,water,electricity,gas and other fuels",,4.住宅服務、水電瓦斯及其他燃料,197579,199255,150747,121423,121383,108179,103443,"4.Housing,water,electricity,gas and other fuels",,4.住宅服務、水電瓦斯及其他燃料,105127,111771,125331,112737,157701,240959,181415,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,159983,177105,277375,158193,116166,139838,110164,(1)Rent and water charges,,(1)房地租及水費,174061,177634,129853,99968,102552,89246,85323,(1)Rent and water charges,,(1)房地租及水費,85633,94132,106571,86736,135239,218627,160363,(1)Rent and water charges
(2)電費及燃料,21543,22841,24333,20787,20582,18923,25440,(2)Power and fuel,,(2)電費及燃料,23518,21621,20894,21455,18831,18933,18119,(2)Power and fuel,,(2)電費及燃料,19494,17639,18760,26001,22462,22333,21052,(2)Power and fuel
5.家具設備及家務維護,18392,17797,28088,15182,16067,16318,14443,"5.Furnishings,household equipmentand routine household maintenance",,5.家具設備及家務維護,19399,27353,17734,10077,11796,15123,12167,"5.Furnishings,household equipmentand routine household maintenance",,5.家具設備及家務維護,13766,11685,14613,10210,19873,46193,22427,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,109711,94828,121531,123811,110184,118574,127982,6.Health,,6.醫療保健,96691,104262,99643,95968,112297,114897,120907,6.Health,,6.醫療保健,95430,93061,100459,103778,106457,147207,106016,6.Health
7.交通,73502,64343,73623,81437,67914,73395,72409,7.Transport,,7.交通,92222,106018,77934,70839,65294,57713,71943,7.Transport,,7.交通,53156,45674,57021,44175,66412,131139,78281,7.Transport
(1)個人交通工具之購置,11382,2962,4662,14618,8473,20086,14682,(1)Purchase of vehicles,,(1)個人交通工具之購置,18328,23042,12715,16286,2863,9803,14167,(1)Purchase of vehicles,,(1)個人交通工具之購置,2169,5338,7939,5945,6389,42994,17822,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,47751,44277,44869,55074,48512,42700,46616,(2)Operation of transport equipment,,(2)個人交通設備使用管理及保養費,59238,67606,53328,42921,52535,38747,46539,(2)Operation of transport equipment,,(2)個人交通設備使用管理及保養費,41280,32331,40347,25071,40523,69343,46715,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9972,13788,20820,5644,6246,6616,5890,(3)Transport services,,(3)乘交通設備及其他交通服務,9323,8983,6675,6358,4800,4602,6690,(3)Transport services,,(3)乘交通設備及其他交通服務,6344,5613,5632,11131,16618,12113,6982,(3)Transport services
(4)汽、機車保險費,4397,3316,3272,6102,4684,3994,5222,(4)Insurance of vehicles,,(4)汽、機車保險費,5333,6387,5216,5274,5097,4562,4548,(4)Insurance of vehicles,,(4)汽、機車保險費,3363,2391,3102,2028,2882,6689,6761,(4)Insurance of vehicles
8.通訊,26508,29948,31984,27803,23090,24880,23547,8.Communication,,8.通訊,31352,27645,23977,19620,19484,17494,17231,8.Communication,,8.通訊,20692,17927,22022,19648,23307,32325,24686,8.Communication
9.休閒與文化,39541,40467,72068,43339,28445,33627,29049,9.Recreation and culture,,9.休閒與文化,37037,50414,26541,24173,21601,20139,25047,9.Recreation and culture,,9.休閒與文化,27637,20064,25200,22424,40422,58811,37951,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),17011,15369,40534,17850,10886,15391,12203,(1)Package holidays,,(1)套裝旅遊(不含自助旅遊),13267,22681,8821,9251,7176,6070,9504,(1)Package holidays,,(1)套裝旅遊(不含自助旅遊),9305,8048,9765,9489,14368,20873,14108,(1)Package holidays
(2)娛樂消遣及文化服務,10415,12227,14224,11869,7704,8875,7254,(2)Recreational and cultural services,,(2)娛樂消遣及文化服務,10885,13459,8665,5962,6699,6029,6303,(2)Recreational and cultural services,,(2)娛樂消遣及文化服務,7833,5242,6827,6982,12705,17332,9892,(2)Recreational and cultural services
(3)書報雜誌文具,5223,5530,6570,6392,4734,4169,4557,"(3)Newspapers,books and stationery",,(3)書報雜誌文具,5777,6083,3733,4760,4219,3218,4772,"(3)Newspapers,books and stationery",,(3)書報雜誌文具,4037,2876,3476,2306,4542,6158,6359,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6892,7342,10739,7228,5121,5192,5034,(4)Recreational facilities,,(4)教育消遣康樂器材及其附屬品,7108,8191,5322,4200,3507,4822,4467,(4)Recreational facilities,,(4)教育消遣康樂器材及其附屬品,6462,3899,5132,3647,8807,14447,7592,(4)Recreational facilities
10.教育,33216,36718,35299,36273,31347,29983,24534,10.Education,,10.教育,40347,49514,30328,32477,24570,20543,22210,10.Education,,10.教育,25844,13655,21497,15845,20086,46842,44572,10.Education
11.餐廳及旅館,79034,86444,87337,87576,71426,90151,57848,11.Restaurants and hotels,,11.餐廳及旅館,88516,94389,44089,50825,50058,46556,59633,11.Restaurants and hotels,,11.餐廳及旅館,65848,42396,49913,40603,76083,105513,95419,11.Restaurants and hotels
12.什項消費,42294,40728,64968,42266,37496,37358,39359,12.Miscellaneous goods and services,,12.什項消費,49085,52456,29925,26221,27238,26358,32110,12.Miscellaneous goods and services,,12.什項消費,38616,23738,28500,23151,45204,56831,44328,12.Miscellaneous goods and services
可支配所得(平均數),942208,931239,1279195,928938,830467,915255,813875,Disposable income(mean),,可支配所得(平均數),1027658,1073893,839394,789742,748930,704313,727426,Disposable income(mean),,可支配所得(平均數),722101,676390,790373,769955,841832,1224310,1026305,Disposable income(mean)
可支配所得(中位數),822940,852841,1094993,818817,732230,804108,699763,Disposable income(median),,可支配所得(中位數),928480,906316,730271,688565,630603,583495,604156,Disposable income(median),,可支配所得(中位數),656337,518827,628428,618803,759849,1099389,948944,Disposable income(median)
消費支出,747922,750687,1001798,781899,654843,709823,668544,Consumption expenditures,,消費支出,832626,858781,621582,577658,584190,522661,616718,Consumption expenditures,,消費支出,545713,478531,554525,514077,719698,1044462,788432,Consumption expenditures
儲蓄,194286,180552,277397,147039,175624,205432,145331,Saving,,儲蓄,195032,215112,217812,212084,164740,181652,110707,Saving,,儲蓄,176387,197860,235848,255878,122134,179848,237873,Saving
所得總額,1195566,1190092,1659231,1181664,1029390,1161274,1007390,Current receipts,,所得總額,1294615,1433724,1067169,967262,934758,865395,889742,Current receipts,,所得總額,889706,827134,990689,952500,1054673,1601978,1281613,Current receipts
樣本戶數,15858,2500,2000,2000,1500,2200,347,Numbers of samples,,樣本戶數,830,350,320,573,300,388,323,Numbers of samples,,樣本戶數,477,280,350,200,310,300,310,Numbers of samples
可支配所得標準差,15160,33601,45492,47756,41101,56333,95743,Disposable income standard deviation,,可支配所得標準差,50146,141057,74878,51131,115484,59638,88221,Disposable income standard deviation,,可支配所得標準差,55999,109764,112688,254563,92945,139513,80921,Disposable income standard deviation
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,
