appleL05112年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2023"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
6.雜項收入,35,29,26,82,24,1,41,41,6.Miscellaneous receipts
二、非消費支出,238389,108561,164228,190571,351768,105565,312473,227283,B.Nonconsumption expenditures
1.利息支出,11955,7284,8383,9662,20026,3488,9734,6988,1.Interest
2.經常移轉支出,226434,101276,155844,180909,331742,102077,302738,220295,2.Current transfer expenditures
(1)對私人,49152,34628,47099,28167,67051,21589,44222,49671,(1)To private
(2)對政府,36667,20079,33295,26206,54016,14919,36005,28738,(2)To government
(3)社會保險,139410,45737,73406,126375,209276,65312,221505,141131,(3)Social insurance
(4)對國外,1204,833,2044,161,1399,257,1006,755,(4)To abroad
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
112年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2023"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 112 年,,,,單位：元,2 0 2 3 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,861305,423988,711379,729570,1094459,739768,1271475,847681,C.Consumption expenditures
1.食品及非酒精飲料,122897,48837,103218,100298,152203,115295,207284,123814,1.Food and non-alcoholic beverages
2.菸酒及檳榔,8814,4893,6217,8010,10392,8143,14365,10605,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22829,10092,16331,19142,31154,16982,35539,21442,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,207343,153030,205880,186328,240120,175794,224696,198300,"4.Housing,water,electricity,gas and other fuels"
(1)住宅服務,187197,142593,188878,168515,216016,155340,193563,177891,(1)Rent and residential services
(2)水電費及燃料,20146,10436,17002,17813,24104,20453,31133,20409,"(2)Water,electricity,gas and other fuels"
5.家具設備及家務維護,24780,13377,21533,22043,32298,18288,30622,23118,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,152413,69193,142501,124460,174823,160172,243252,165726,6.Health
7.交通,75700,29336,58516,61235,106033,43522,111666,69526,7.Transport
(1)個人交通工具之購置,11904,4022,7802,11730,18577,3303,16879,7662,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46882,17577,36945,35298,64155,29417,72755,46013,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,8581,4775,7111,7955,11788,6507,8864,8091,(3)Transport services
(4)汽、機車保險費,8335,2962,6658,6253,11514,4294,13169,7760,(4)Insurance of vehicles
8.通訊,24268,10188,16924,21963,33044,20719,36765,23905,8.Communication
9.休閒與文化,34909,17525,28786,29658,49296,24586,42919,27798,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),11390,4483,12265,8296,16413,4429,11651,8008,(1)Package holidays
(2)娛樂消遣及文化服務,12567,7977,9669,11606,16476,10641,15629,11581,(2)Recreational and cultural services
(3)書報雜誌文具,3313,705,962,2788,5617,3677,7062,1746,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7640,4359,5890,6968,10791,5839,8576,6462,(4)Recreational facilities
10.教育,25162,300,282,16749,49776,23794,62430,9654,10.Education
11.餐廳及旅館,119880,43903,78387,105101,165884,101607,194801,120781,11.Restaurants and hotels
12.什項消費,42310,23313,32805,34582,49435,30868,67135,53013,12.Miscellaneous goods and services
可支配所得,1136708,536980,906329,970884,1490412,842006,1634736,1128099,Disposable income
消費支出,861305,423988,711379,729570,1094459,739768,1271475,847681,Consumption expenditures
儲蓄,275402,112992,194950,241314,395953,102238,363261,280417,Saving
所得總額,1443071,691345,1144453,1217393,1921817,999217,2018698,1418746,Current receipts
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
