L10106年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 106 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
(7)電視遊樂器,6.42,2.02,6.85,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),86.36,74.58,87.49,(8)Cable TV(MOD included)
(9)家用電腦,68.12,49.92,69.88,(9)Personal computer
(10)電話機,91.25,96.06,90.79,(10)Telephone
(11)行動電話,95.14,90.42,95.6,(11)Cell phone
(12)連網(使用電腦或其他設備),84.83,70.44,86.22,(12)Internet facility
,,,,
,,,,"The Survey of Family Income and Expenditure, 2017"
,,,,
Table 9. Household Housing and Household Facilities by Farm or Non-farm,,,,
,,,,
2 0 1 7,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
(13)汽車,60.79,70.69,59.83,(13)Sedan vehicle
(14)機車,83.78,89.46,83.23,(14)Motorcycle
(15)電磁爐,35.15,24.9,36.15,(15)Electro-magnetic oven
(16)冷暖氣機,93.86,86.11,94.61,(16)Air conditioner
(17)除濕機,36.81,18.7,38.549999999999997,(17)Dehumidifier
(18)洗衣機,98.56,98.32,98.59,(18)Washing machine
(19)烘衣機,14.52,14.38,14.53,(19)Drier
(20)空氣清淨機,15.46,5.34,16.440000000000001,(20)Air-clean machine
(21)濾水器,37.159999999999997,22.85,38.54,(21)Water filter machine
(22)吸塵器,45.6,28.68,47.23,(22)Vacuum cleaner
(23)熱水器,99.27,98.03,99.39,(23)Geyser
(24)開飲機,43.54,52.64,42.66,(24)Hot-warm water fountain
(25)微波爐,42.76,27.45,44.23,(25)Microwave oven
(26)報紙,10.84,13.52,10.59,(26)Newspaper
(27)期刊雜誌,4.16,1.71,4.4000000000000004,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,2.Average No. per hundred households
(1)彩色電視機,155.81,154.47999999999999,155.94,(1)Color TV
一般彩色電視機,18.190000000000001,25.1,17.52,Non-LCD TV
液晶、電漿電視,137.62,129.38,138.41999999999999,LCD、PDP TV
(2)數位影音光碟機,20.83,9.81,21.89,(2)DVD player
(3)攝影機,4.6900000000000004,2.52,4.8899999999999997,(3)Movies camera
(4)音響,24.22,15.64,25.04,(4)Stereo
(5)鋼琴(含電子琴),7.51,4.2300000000000004,7.83,(5)Piano
(6)數位相機,27.55,14.21,28.84,(6)Digital camera
(7)電視遊樂器,6.91,2.02,7.38,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),88.04,75.27,89.27,(8)Cable TV(MOD included)
(9)家用電腦,99.01,64.599999999999994,102.34,(9)Personal computer
(10)電話機,96.07,100.84,95.61,(10)Telephone
(11)行動電話,243.14,227.68,244.64,(11)Cell phone
(12)汽車,72.209999999999994,93.07,70.19,(12)Sedan vehicle
(13)機車,152.9,172.83,150.97,(13)Motorcycle
(14)電磁爐,35.58,24.96,36.61,(14)Electro-magnetic oven
(15)冷暖氣機,236.34,200.72,239.78,(15)Air conditioner
(16)除濕機,45.61,22.52,47.84,(16)Dehumidifier
(17)洗衣機,101.4,103.53,101.2,(17)Washing machine
(18)烘衣機,14.6,14.58,14.6,(18)Drier
(19)空氣清淨機,18.25,6.2,19.420000000000002,(19)Air-clean machine
(20)濾水器,37.630000000000003,23.33,39.01,(20)Water filter machine
(21)吸塵器,49.63,30.72,51.46,(21)Vacuum cleaner
(22)熱水器,107.2,108.78,107.05,(22)Geyser
(23)開飲機,44.49,54.02,43.57,(23)Hot-warm water fountain
(24)微波爐,42.94,27.58,44.42,(24)Microwave oven
(25)報紙,11.12,13.67,10.88,(25)Newspaper
(26)期刊雜誌,4.72,1.84,4.99,(26)Magazine
