appleL05102年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
二、非消費支出,198063,76601,137453,132575,266914,90482,242792,178013,B.Nonconsumption expenditures
1.利息支出,12359,6372,7794,10428,17465,5942,11159,11690,1.Interest
2.經常移轉支出,185704,70230,129660,122147,249449,84540,231633,166323,2.Current transfer expenditures
(1)對私人,45660,27096,45732,23613,58826,23021,41929,45851,(1)To private
(2)對政府,31530,11868,26677,18585,43377,12935,33554,27446,(2)To government
(3)社會保險,106319,27970,53656,79052,144905,48559,154967,92149,(3)Social insurance
(4)對國外,2196,3296,3594,898,2341,25,1183,877,(4)To abroad
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
102年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 102 年,,,,單位：元,2 0 1 3 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,747922,326005,555692,586264,907667,562559,1007040,709634,C.Consumption expenditures
1.食品及非酒精飲料,112786,37775,86936,83172,129286,102427,177211,107315,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9117,4442,5490,6983,10107,6098,14760,10798,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22295,7532,13994,17140,28906,14319,30661,20416,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,181527,121284,167665,160279,206977,151213,195679,176853,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,159983,110455,150142,142379,182891,131387,165616,155649,(1)Rent and water charges
(2)電費及燃料,21543,10830,17524,17901,24086,19826,30063,21204,(2)Power and fuel
5.家具設備及家務維護,18392,8160,15041,11929,23004,10928,21003,21657,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,109711,48271,101708,74957,117514,96889,166396,110247,6.Health
7.交通,73502,23190,45597,57551,97922,35404,98692,63470,7.Transport
(1)個人交通工具之購置,11382,2212,5689,13074,16799,568,13081,6911,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,47751,14966,29936,31681,62530,23678,68875,43471,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9972,4654,6997,9953,12811,8750,10487,9401,(3)Transport services
(4)汽、機車保險費,4397,1358,2975,2844,5782,2408,6250,3686,(4)Insurance of vehicles
8.通訊,26508,9660,13736,23114,35019,17151,35578,24702,8.Communication
9.休閒與文化,39541,16790,32478,28801,52561,25112,42619,33555,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),17011,6941,18132,10209,22301,8112,15694,15582,(1)Package holidays
(2)娛樂消遣及文化服務,10415,5851,7739,8927,13184,8536,11656,8980,(2)Recreational and cultural services
(3)書報雜誌文具,5223,919,1758,4295,7866,4328,7448,3005,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6892,3078,4849,5370,9210,4137,7821,5987,(4)Recreational facilities
10.教育,33216,329,320,23260,55043,25445,56777,13111,10.Education
11.餐廳及旅館,79034,30444,41056,69127,102492,49694,106655,79050,11.Restaurants and hotels
12.什項消費,42294,18130,31668,29951,48834,27878,61008,48461,12.Miscellaneous goods and services
可支配所得,942208,399729,718554,723111,1164116,642317,1217941,897715,Disposable income
消費支出,747922,326005,555692,586264,907667,562559,1007040,709634,Consumption expenditures
儲蓄,194286,73724,162862,136847,256449,79758,210900,188081,Saving
所得總額,1195566,511673,913793,900245,1492846,774998,1520060,1129747,Current receipts
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
