L0998年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2009",,98年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2009",,98年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2009"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 98 年,,,,,2 0 0 9,,,,,民 國 98 年,,,,,2 0 0 9,,,,,,民 國 98 年,,,,,,2 0 0 9,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液晶、電漿電視,34.92,47.93,33,39.93,31.32,41.19,45.23,LCD、PDP TV,,液晶、電漿電視,32.799999999999997,29.51,30.38,26.37,17.59,18.27,23.79,28.76,LCD、PDP TV,,液晶、電漿電視,18.75,21.36,23.07,16.46,31.57,53.67,40.04,30.45,34.450000000000003,LCD、PDP TV
(2)數位影音光碟機,42.18,60.74,50.94,56.5,29.37,44.9,57.59,(2)DVD player,,(2)數位影音光碟機,37.57,30.68,27.75,29.9,23.13,21.69,21,30.03,(2)DVD player,,(2)數位影音光碟機,31.69,22.89,26.68,29.53,41.72,65.97,34.909999999999997,22.98,31.81,(2)DVD player
(3)攝影機,8.64,15.34,7.99,12.07,3.75,8.41,10.65,(3)Movies camera,,(3)攝影機,6.55,5.71,4.97,5.62,2.0699999999999998,3.35,3.54,5.63,(3)Movies camera,,(3)攝影機,5.03,4.3499999999999996,4.29,5.49,6.09,12.98,10.78,5.81,8.8699999999999992,(3)Movies camera
(4)音響,37.619999999999997,46.87,36.89,48.2,27.59,44.11,40.270000000000003,(4)Stereo,,(4)音響,37.31,32.79,24.43,32.43,20.49,18.079999999999998,22.12,31.61,(4)Stereo,,(4)音響,31.71,27.17,28.56,24.04,27.39,47.14,42.43,43.41,34.21,(4)Stereo
(5)鋼琴(含電子琴),10.25,19.11,12.38,7.86,6.96,10.28,16.71,(5)Piano,,(5)鋼琴(含電子琴),8.91,9.8800000000000008,7.15,9.67,4.5999999999999996,5.37,6.02,6.83,(5)Piano,,(5)鋼琴(含電子琴),5.25,7.42,10.64,4.49,5.18,18.03,12.41,8,11.98,(5)Piano
(6)數位相機,49.96,64.989999999999995,48.36,60.83,33.090000000000003,57.26,60.87,(6)Digital camera,,(6)數位相機,42.97,44.71,38.020000000000003,37.68,30.01,27.1,34.159999999999997,44.65,(6)Digital camera,,(6)數位相機,42.06,27.47,34.090000000000003,28.61,44.4,63.37,52.29,39.43,49.03,(6)Digital camera
(7)電視遊樂器,10.07,16.38,8.93,15.77,5.17,12.82,17.68,(7)Video game,,(7)電視遊樂器,6.97,7.53,4.67,3.36,1.25,3.45,3.7,5.61,(7)Video game,,(7)電視遊樂器,2.74,5.01,5.46,5,5.42,17.97,10.38,4.8499999999999996,9.0500000000000007,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),81.97,90.09,91.01,90.69,70.209999999999994,85.39,84.29,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),86.97,74.19,61.51,70.760000000000005,61.61,53.31,69.28,84.52,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),68,66.959999999999994,68.56,84.46,88.33,90.43,85.06,87.04,89.74,(8)Cable TV(MOD included)
(9)家用電腦,70.510000000000005,80.86,70.37,81.06,53.5,77.400000000000006,80.2,(9)Personal computer,,(9)家用電腦,65.95,72.599999999999994,60.94,54.61,48.07,42.5,61.97,68.3,(9)Personal computer,,(9)家用電腦,52.72,47.67,52.8,53.98,67.09,81.02,74.400000000000006,57.51,71.75,(9)Personal computer
(10)電話機,95.88,98.46,95.28,97.67,95.78,93.62,93.62,(10)Telephone,,(10)電話機,95.23,96.21,95.93,94.66,94.85,96.35,95.83,95.63,(10)Telephone,,(10)電話機,92.8,87.77,86.69,96.53,97.38,95.69,96.22,96.47,95.3,(10)Telephone
