appleL02113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,,單位：元,2 0 2 4 Unit:NT$,,,,,民 國 113 年,,,,單位：元,2 0 2 4 Unit:NT$,,,,,民 國 113 年,,,,單位：元,2 0 2 4 Unit:NT$,,,,,,,,,,,,,,,,,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,,,,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,,,,,,,,,,,,,,,,,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,,,,,,,,,,,,,,,,,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.菸酒及檳榔,8971,7967,6192,10894,9134,7839,8544,"2.Tobacco,alcoholic beverages and betel nuts",,2.菸酒及檳榔,14485,9991,12343,8237,8556,11905,13324,"2.Tobacco,alcoholic beverages and betel nuts",,2.菸酒及檳榔,11404,14160,9868,6230,9652,8185,7504,"2.Tobacco,alcoholic beverages and betel nuts",,,,,,,,,,,,,,,,
3.衣著鞋襪及服飾用品,23285,26646,27728,27504,27920,16514,21577,3.Clothing and footwear,,3.衣著鞋襪及服飾用品,16373,28851,22521,16722,14733,17853,12497,3.Clothing and footwear,,3.衣著鞋襪及服飾用品,15850,9117,15514,12132,23248,26653,20856,3.Clothing and footwear,,,,,,,,,,,,,,,,
4.住宅服務、水電瓦斯及其他燃料,212957,239170,323794,208422,244539,176396,190023,"4.Housing,water,electricity,gas and other fuels",,4.住宅服務、水電瓦斯及其他燃料,171074,289987,139519,139468,128960,130935,108544,"4.Housing,water,electricity,gas and other fuels",,4.住宅服務、水電瓦斯及其他燃料,123939,132573,141053,135253,175084,251304,178801,"4.Housing,water,electricity,gas and other fuels",,,,,,,,,,,,,,,,
(1)住宅服務,192200,217603,303649,186891,224108,155325,169897,(1)Rent and residential services,,(1)住宅服務,146584,268629,119317,117035,113544,111290,89422,(1)Rent and residential services,,(1)住宅服務,103409,115537,122714,115701,154368,228214,158711,(1)Rent and residential services,,,,,,,,,,,,,,,,
(2)水電費及燃料,20757,21568,20145,21531,20432,21070,20126,"(2)Water,electricity,gas and other fuels",,(2)水電費及燃料,24489,21359,20202,22433,15416,19645,19122,"(2)Water,electricity,gas and other fuels",,(2)水電費及燃料,20530,17037,18340,19551,20716,23090,20091,"(2)Water,electricity,gas and other fuels",,,,,,,,,,,,,,,,
5.家具設備及家務維護,25932,30103,40615,22479,24981,20152,24614,"5.Furnishings,household equipmentand routine household maintenance",,5.家具設備及家務維護,23193,30857,20933,16734,15812,26373,15373,"5.Furnishings,household equipmentand routine household maintenance",,5.家具設備及家務維護,17587,9610,16674,15397,27396,28487,25128,"5.Furnishings,household equipmentand routine household maintenance",,,,,,,,,,,,,,,,
6.醫療保健,131147,133364,151020,118979,137606,116445,133418,6.Health,,6.醫療保健,132489,141317,144027,123348,123389,124602,126006,6.Health,,6.醫療保健,110613,105458,121910,107567,121975,134858,138876,6.Health,,,,,,,,,,,,,,,,
7.交通,68484,57222,60719,90940,82784,69379,68028,7.Transport,,7.交通,59197,126511,79976,59427,47845,50183,59475,7.Transport,,7.交通,57161,42724,40914,29439,55218,85732,79349,7.Transport,,,,,,,,,,,,,,,,
(1)個人交通工具之購置,12277,2147,1435,18302,21214,17848,15400,(1)Purchase of vehicles,,(1)個人交通工具之購置,14222,51817,19344,12801,5055,4706,9978,(1)Purchase of vehicles,,(1)個人交通工具之購置,7638,5472,4205,4342,9823,17568,26109,(1)Purchase of vehicles,,,,,,,,,,,,,,,,
(2)個人交通設備管理維護,46513,44069,39885,60913,54656,46499,43934,(2)Operation of personal transport equipment,,(2)個人交通設備管理維護,40159,54793,52835,43237,38865,40864,45317,(2)Operation of personal transport equipment,,(2)個人交通設備管理維護,44469,33292,32467,18646,33840,54667,46051,(2)Operation of personal transport equipment,,,,,,,,,,,,,,,,
