2020-08-14T00:00:00L02108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第2表 平均每戶家庭收支按區域別分,Table 2. Average Family Income and Expenditure per Household by Areas,,,,,,,
,,,,,,,,
民 國 108 年,,,,單位：元,2 0 1 9 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,
,average,City,City,City,City,City,City,
,,,,,,,,
(2)個人交通設備使用管理及保養費,46314.68739,43530.178131,48121.96311,56234.634962,50754.022577,42642.009151,46660.534893,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,10865.000412,13592.474319,25151.014247,10223.176996,6621.9596368,5926.5884131,7887.8432144,(3)Transport services
(4)汽、機車保險費,6467.9188097,4135.8280404,4279.8254106,7794.3790319,9526.934757,6987.2208258,6594.659325,(4)Insurance of vehicles
8.通訊,23973.354171,25765.779942,28479.978452,26656.914748,24605.85395,21340.342167,23782.487281,8.Communication
9.休閒與文化,50567.531745,53670.567372,108795.72142,41558.400468,55409.614433,31465.598744,43888.437541,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),27986.722704,28255.868327,72145.723029,20199.476261,30389.491634,15699.436536,23722.209748,(1)Package holidays
(2)娛樂消遣及文化服務,11982.539492,13065.394948,19444.359832,11576.400029,13137.087905,9170.9457527,11018.928303,(2)Recreational and cultural services
(3)書報雜誌文具,3967.3793855,4235.8720739,4756.5982536,4450.2994079,4498.1930117,3006.3351485,3727.8670048,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6630.890163,8113.4320236,12449.040311,5332.2247697,7384.8418819,3588.881307,5419.4324855,(4)Recreational facilities
10.教育,28485.132526,30928.580359,34876.151598,31489.297585,29650.039867,23768.964199,29574.289676,10.Education
11.餐廳及旅館,106022.53139,99492.070868,136809.31752,108463.02713,120097.7002,106594.58707,128610.24273,11.Restaurants and hotels
12.什項消費,43295.201798,37968.677515,61523.437248,44192.196232,49439.549004,34924.937621,40839.875304,12.Miscellaneous goods and services
