appleL0288年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 1999"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分,,,,,,Table 1. Average Family Income and Expenditure per,,,,,
,,,,,,,,Household by Size of Household,,,
(1)旅遊費用,21438,11032,19845,22113,25803,21405,21569,22173,25890,32020,(1)Traveling
(2)娛樂消遣服務,9044,5252,6583,9171,10773,10277,10507,10268,10302,12009,(2)Recreation service
(3)書報雜誌文具,5638,2049,3292,5571,7323,6987,6795,7053,7095,8320,(3)Books and stationery
(4)娛樂器材及附屬品,8193,3387,5072,8511,10913,9240,8930,9655,10957,11178,(4)Recreation facilities
(5)教育與研究費,40599,1467,4954,24798,60606,70064,69799,65182,63249,71183,(5)Education and research
12.什項消費,44566,19157,30679,43241,52750,52716,55885,60961,66589,103916,12.Miscellaneous
可支配所得,889053,379948,628658,869734,1029987,1041649,1167813,1253650,1422582,1754874,Disposable income
消費支出,655282,280975,442958,619209,765996,800330,875753,924427,994683,1251161,Consumption expenditures
儲蓄,233770,98973,185700,250525,263992,241319,292060,329224,427899,503714,Saving
所得總額,1135817,481619,802591,1116285,1333291,1327743,1461042,1561492,1768126,2181735,Current receipts
