appleL04106年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2017",,106年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2017"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
三、消費支出,811670,1372379,1083639,993231,821495,779981,C.Consumption expenditures,,三、消費支出,584864,832957,796378,597801,533394,C.Consumption expenditures
1.食品及非酒精飲料,116905,148944,134562,129983,119476,116890,1.Food and non-alcoholic beverages,,1.食品及非酒精飲料,110857,128771,124715,102122,84809,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9701,12233,6665,9162,6612,10348,"2.Tobacco,alcoholic beverages and betel nuts",,2.菸酒及檳榔,10899,16737,15358,11903,3601,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,23274,48842,35466,30927,25022,22532,3.Clothing and footwear,,3.衣著鞋襪及服飾用品,13601,23396,22450,14722,10429,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,194006,304180,257138,227290,196581,186232,"4.Housing,water,electricity,gas and other fuels",,4.住宅服務、水電瓦斯及其他燃料,121301,180043,169683,142164,167952,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,174733,279196,236248,206083,176779,166601,(1)Rent and water charges,,(1)房地租及水費,103480,158747,148724,125004,153797,(1)Rent and water charges
(2)電費及燃料,19273,24984,20890,21207,19802,19631,(2)Power and fuel,,(2)電費及燃料,17821,21296,20959,17160,14155,(2)Power and fuel
5.家具設備及家務維護,20677,45086,33280,26331,19592,18089,"5.Furnishings,household equipmentand routine household maintenance",,5.家具設備及家務維護,13017,19456,17401,11747,12996,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,123765,171543,136912,136906,123094,118375,6.Health,,6.醫療保健,116155,126154,124315,99802,105733,6.Health
7.交通,76765,150715,118655,104824,76821,68338,7.Transport,,7.交通,56490,82860,78465,49235,31138,7.Transport
(1)個人交通工具之購置,15734,36318,28472,22308,14384,11610,(1)Purchase of vehicles,,(1)個人交通工具之購置,9882,17122,17487,9247,4383,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,44797,79458,63475,61148,44334,42019,(2)Operation of transport equipment,,(2)個人交通設備使用管理及保養費,37295,51281,47481,29489,17791,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,10661,23914,18416,13674,12825,9618,(3)Transport services,,(3)乘交通設備及其他交通服務,4509,8380,7985,7183,6715,(3)Transport services
(4)汽、機車保險費,5574,11025,8293,7695,5277,5092,(4)Insurance of vehicles,,(4)汽、機車保險費,4804,6078,5512,3315,2249,(4)Insurance of vehicles
8.通訊,27672,46094,35554,35771,29122,28842,8.Communication,,8.通訊,17867,31434,31254,21001,12336,8.Communication
9.休閒與文化,47350,130954,82430,67118,48579,39748,9.Recreation and culture,,9.休閒與文化,21743,37157,33036,20993,25997,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),24744,83749,45393,37839,25389,18970,(1)Package holidays,,(1)套裝旅遊(不含自助旅遊),9548,15530,12372,6864,13869,(1)Package holidays
(2)娛樂消遣及文化服務,11468,22554,17912,14156,11428,10692,(2)Recreational and cultural services,,(2)娛樂消遣及文化服務,6269,10806,10471,7660,7373,(2)Recreational and cultural services
(3)書報雜誌文具,4405,8818,7120,6037,4578,4162,"(3)Newspapers,books and stationery",,(3)書報雜誌文具,2710,4573,4484,2984,1587,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6733,15833,12006,9086,7184,5924,(4)Recreational facilities,,(4)教育消遣康樂器材及其附屬品,3216,6247,5709,3486,3168,(4)Recreational facilities
10.教育,30153,73805,50543,44892,28017,28164,10.Education,,10.教育,16257,32447,31395,17834,5223,10.Education
11.餐廳及旅館,97388,153079,128749,124190,104941,102137,11.Restaurants and hotels,,11.餐廳及旅館,57350,113977,109412,80182,42653,11.Restaurants and hotels
12.什項消費,44015,86904,63684,55838,43639,40285,12.Miscellaneous goods and services,,12.什項消費,29326,40524,38895,26095,30528,12.Miscellaneous goods and services
可支配所得,1018941,2009679,1468066,1267870,998196,982372,Disposable income,,可支配所得,723389,1052294,987221,711754,553637,Disposable income
消費支出,811670,1372379,1083639,993231,821495,779981,Consumption expenditures,,消費支出,584864,832957,796378,597801,533394,Consumption expenditures
儲蓄,207271,637300,384427,274639,176701,202390,Saving,,儲蓄,138525,219337,190843,113953,20243,Saving
所得總額,1292578,2666274,1940250,1629343,1271450,1219661,Current receipts,,所得總額,863483,1303981,1239810,877392,682330,Current receipts
