appleL0486年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1997",,86年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 1997"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
2.飲料費,6849,10081,6504,7423,5937,6971,2.Beverage,,2.飲料費,6203,7901,6960,6442,3373,2.Beverage
3.菸草,5103,5934,2594,4399,3612,5439,3.Tobacco,,3.菸草,5721,7015,6254,5478,2205,3.Tobacco
4.衣著、鞋、襪類,28540,50543,41110,36259,31012,28578,4.Clothing and footwear,,4.衣著、鞋、襪類,16308,26689,27001,21532,11838,4.Clothing and footwear
5.房地租及水費,141474,220342,194273,169886,155703,147397,5.Rent and water charges,,5.房地租及水費,82111,127640,125643,110047,102937,5.Rent and water charges
6.燃料及燈光,17767,23942,20039,19294,17688,18440,6.Fuel and light,,6.燃料及燈光,14283,18418,18005,16154,11351,6.Fuel and light
7.家具及家庭設備,14433,26842,26073,19147,16413,13818,7.Furniture and family facilities,,7.家具及家庭設備,8392,13059,11613,9295,5808,7.Furniture and family facilities
8.家事管理,13357,29813,29580,21247,16118,10134,8.Household operations,,8.家事管理,4296,9044,8903,7303,7370,8.Household operations
9.保健及醫療,63348,67282,69458,64557,59952,61640,9.Health care and medical,,9.保健及醫療,67549,63372,61405,66071,58537,9.Health care and medical
10.運輸交通及通訊,66111,113380,110546,90932,62880,59038,10.Transport and communications,,10.運輸交通及通訊,47370,67658,57425,42944,22399,10.Transport and communications
(1)交通及通訊工具之購置,13897,17568,32543,20620,10094,11428,(1)Purchases of transport equipment,,(1)交通及通訊工具之購置,12308,17375,10328,7116,2095,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,30935,57552,45138,42885,30225,27381,(2)Operation of transport equipment,,(2)交通通訊設備使用管理及保養費,21130,31996,28859,19501,8274,(2)Operation of transport equipment
(3)乘交通設備之費用,9520,14600,14155,11762,10666,9453,(3)Purchased transportation,,(3)乘交通設備之費用,5881,7913,8577,9063,6471,(3)Purchased transportation
(4)其他通訊費,7636,13178,10591,9477,7705,7638,(4)Other communications,,(4)其他通訊費,5460,6918,6594,5799,4621,(4)Other communications
(5)汽機車保險費支出,4122,10483,8118,6189,4189,3139,(5)Insurance of transport equipment,,(5)汽機車保險費支出,2591,3455,3067,1465,938,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,83192,167451,142213,112649,89821,77866,"11.Recreation ,education and culture",,11.娛樂消遣及教育文化服務,43100,70437,71542,51284,35837,"11.Recreation ,education and culture"
(1)旅遊費用,22768,56645,52343,34035,26735,16737,(1)Traveling,,(1)旅遊費用,10974,13606,14133,9577,14337,(1)Traveling
(2)娛樂消遣服務,8806,14010,13687,11182,9768,8664,(2)Recreation service,,(2)娛樂消遣服務,4718,8305,8192,6540,4636,(2)Recreation service
(3)書報雜誌文具,6078,11152,11273,8035,6684,5612,(3)Books and stationery,,(3)書報雜誌文具,3272,5331,5032,3606,3153,(3)Books and stationery
(4)娛樂器材及附屬品,8472,15922,15352,13257,9494,7201,(4)Recreation facilities,,(4)娛樂器材及附屬品,4207,7031,6899,5087,3411,(4)Recreation facilities
(5)教育與研究費,37069,69722,49558,46139,37140,39654,(5)Education and research,,(5)教育與研究費,19929,36164,37286,26474,10300,(5)Education and research
12.什項消費,42949,81546,62473,55082,44716,41170,12.Miscellaneous,,12.什項消費,28225,39075,38156,30799,19757,12.Miscellaneous
可支配所得,863427,1449545,1359256,1065922,898244,814819,Disposable income,,可支配所得,567598,807448,796759,669888,445709,Disposable income
消費支出,634477,1002338,879415,771388,659831,625525,Consumption expenditures,,消費支出,437411,612266,588556,507731,361503,Consumption expenditures
儲蓄,228951,447207,479841,294534,238412,189294,Saving,,儲蓄,130188,195183,208203,162157,84206,Saving
所得總額,1097363,1885586,1714004,1379263,1145155,1030113,Current receipts,,所得總額,699812,1019635,1011899,832908,551565,Current receipts
