2020-08-14T00:00:00L04108年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,by Occupation of Household Heads,,,
民 國 108 年,,,單位：元,2 0 1 9 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,
,,,,,,,
(2)個人交通設備使用管理及保養費,46314.68739,83256.670753,67130.409349,63773.562165,46167.669562,41446.607709,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,10865.000412,24511.722837,19520.199068,14362.844149,11715.775454,9755.5179824,(3)Transport services
(4)汽、機車保險費,6467.9188097,12948.663374,9556.0025771,9095.0247276,6377.7002531,5749.1322373,(4)Insurance of vehicles
8.通訊,23973.354171,37354.820782,31070.821824,30257.254834,25428.963148,24609.283498,8.Communication
9.休閒與文化,50567.531745,138045.00439,92934.662767,72589.319087,52060.069211,41487.153884,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),27986.722704,90926.656012,54811.835034,43365.126879,29563.731171,20176.666919,(1)Package holidays
(2)娛樂消遣及文化服務,11982.539492,23931.105203,18805.322748,14994.50589,12342.283977,11254.613429,(2)Recreational and cultural services
(3)書報雜誌文具,3967.3793855,7377.4048175,6728.1607298,5444.0063405,3583.8957941,3838.9721855,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6630.890163,15809.83836,12589.344254,8785.6799768,6570.1582684,6216.9013504,(4)Recreational facilities
10.教育,28485.132526,63588.092845,52127.85655,43662.851072,23599.406212,26383.649995,10.Education
11.餐廳及旅館,106022.53139,169973.47629,141105.57762,137481.86498,112010.68142,109924.67703,11.Restaurants and hotels
12.什項消費,43295.201798,82293.453714,61354.88681,52664.44392,41123.001859,40552.743598,12.Miscellaneous goods and services
可支配所得,1059730.9088,2097962.7283,1537994.5751,1357866.2803,1028986.4087,1008900.8993,Disposable income
消費支出,829198.82563,1404936.8086,1116392.4369,1020477.5714,849516.9178,788386.08543,Consumption expenditures
儲蓄,230532.08317,693025.91963,421602.1382,337388.70888,179469.49088,220514.81383,Saving
所得總額,1335845.1713,2744946.1137,2009101.1801,1736813.1238,1306454.0282,1240767.7379,Current receipts
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
108年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2019",
,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分(續完),Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,by Occupation of Household Heads (Cont.End),,,
民 國 108 年,,單位：元,2 0 1 9 Unit:NT$,,,,
,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及  勞  力  工,其  他,,
,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,,
,,,,,,,
三、消費支出,616794.15619,855228.66831,814575.67513,636839.24573,537788.23683,C.Consumption expenditures,
1.食品及非酒精飲料,108631.1343,128907.40639,124828.47383,103869.54411,82636.713092,1.Food and non-alcoholic beverages,
2.菸酒及檳榔,13748.227088,16404.60436,14707.831277,13967.526215,3348.5997529,"2.Tobacco,alcoholic beverages and betel nuts",
3.衣著鞋襪及服飾用品,13540.266618,23854.054042,22701.902505,16318.741323,10406.535545,3.Clothing and footwear,
