appleL0597年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2008"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,705413,310097,496077,566111,849337,537025,917678,656363,C.Consumption expenditures
1.食品費,161927,56305,102806,131297,194242,125942,233912,151155,1.Food
2.飲料費,6304,3258,4211,5094,7443,4676,8397,6123,2.Beverage
3.菸草,5562,2879,3365,4453,6184,3836,8720,5962,3.Tobacco
4.衣著、鞋、襪類,22447,8789,13336,16986,28471,11792,29538,20652,4.Clothing and footwear
5.房地租及水費,147287,101847,130418,130918,167852,129601,153375,139581,5.Rent and water charges
6.燃料及燈光,20389,10053,15793,17717,22986,18295,27505,19327,6.Fuel and light
7.家具及家庭設備,11915,6849,9854,7404,14547,5759,13532,11968,7.Furniture and family facilities
8.家事管理,13043,7302,8330,9483,17581,9384,12093,11741,8.Household operations
9.保健及醫療,103285,43401,95781,79199,105018,99094,163258,109989,9.Health care and medical
10.運輸交通及通訊,84499,29716,46979,63312,110255,38353,109100,77387,10.Transport and communications
(1)交通及通訊工具之購置,7197,1773,3969,3280,10540,1386,8299,5964,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,41907,13092,23638,28762,54544,15844,57275,38482,(2)Operation of transport equipment
(3)乘交通設備之費用,8011,4315,4814,7680,10077,6338,8507,7750,(3)Purchased transportation
(4)其他通訊費,22855,9166,11856,20777,29140,12837,28980,20938,(4)Other communications
(5)汽機車保險費支出,4530,1371,2701,2813,5954,1948,6040,4254,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,88122,21924,34852,66550,126550,59909,107746,59370,"11.Recreation ,education and culture"
(1)旅遊費用,20469,10251,20296,13597,25511,10423,18424,21311,(1)Traveling
(2)娛樂消遣服務,8212,5461,6354,8066,9445,6552,8956,7830,(2)Recreation service
(3)書報雜誌文具,3503,1173,1955,2545,4754,2279,4218,2696,(3)Books and stationery
(4)娛樂器材及附屬品,8428,3683,5098,6573,11206,4593,9236,7343,(4)Recreation facilities
(5)教育與研究費,47509,1357,1148,35769,75634,36062,66913,20190,(5)Education and research
12.什項消費,40635,17774,30353,33699,48208,30384,50500,43106,12.Miscellaneous
可支配所得,913687,390720,669427,716103,1114263,642429,1139747,858135,Disposable income
消費支出,705413,310097,496077,566111,849337,537025,917678,656363,Consumption expenditures
儲蓄,208274,80623,173350,149991,264926,105404,222069,201773,Saving
所得總額,1150912,508564,842760,882540,1414352,762572,1410106,1078648,Current receipts
