L09106年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2017",,106年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2017",,106年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2017"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 106 年,,,,,2 0 1 7,,,,,民 國 106 年,,,,,2 0 1 7,,,,,民 國 106 年,,,,,2 0 1 7,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
(1)自有(戶內經常居住成員所擁有),84.83,85.5,83.69,84.96,80.650000000000006,85.93,84.16,(1)Self-owned (by usually livingmember of this household),,(1)自有(戶內經常居住成員所擁有),85.63,89.12,91.34,89.68,91.02,88.37,89.4,(1)Self-owned (by usually livingmember of this household),,(1)自有(戶內經常居住成員所擁有),84.21,82.23,80.69,84.25,82.97,78.650000000000006,79.3,(1)Self-owned (by usually livingmember of this household)
(2)不住在一起的配偶、父母或子女所擁有,4.4400000000000004,3.78,2.1,4.8,6.13,3.2,4.7699999999999996,"(2)Owned by spouse, parentsor children not living together",,(2)不住在一起的配偶、父母或子女所擁有,5.46,3.94,3.48,2.97,4.6399999999999997,5.95,4.59,"(2)Owned by spouse, parentsor children not living together",,(2)不住在一起的配偶、父母或子女所擁有,6,4.88,7.83,5.0999999999999996,8.9700000000000006,9,4.2,"(2)Owned by spouse, parentsor children not living together"
(3)租押,8.0399999999999991,10.11,10.35,7.94,10.42,7.82,7.54,(3)Rented,,(3)租押,5.41,5.45,3.75,5.48,3.02,3.66,2.76,(3)Rented,,(3)租押,5.3,7.11,6.86,2.08,5.15,6.38,12.65,(3)Rented
(4)其他(含配住及借用),2.68,0.61,3.86,2.2999999999999998,2.8,3,3.54,(4)Allotted and others,,(4)其他(含配住及借用),3.5,1.49,1.43,1.87,1.32,2.0099999999999998,3.25,(4)Allotted and others,,(4)其他(含配住及借用),4.49,5.78,4.62,8.57,2.91,5.97,3.85,(4)Allotted and others
2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,2.By usage of dwelling
(1)專用,96.56,96.39,96.29,96.87,98.69,95.73,97.64,(1)Independent,,(1)專用,95.26,97.41,97.16,95.83,91.34,93.49,93.18,(1)Independent,,(1)專用,96.85,94.6,95.74,97.03,99.03,97.93,94.17,(1)Independent
(2)併用,3.43,3.61,3.71,3.13,1.31,4.21,2.36,(2)Connected,,(2)併用,4.74,2.59,2.84,4.17,8.66,6.51,6.82,(2)Connected,,(2)併用,3.15,5.4,4.26,2.97,0.97,2.0699999999999998,5.83,(2)Connected
3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,3.By style of building
(1)平房,8.85,3.23,2.6,4.8899999999999997,6.2,12.55,5.76,(1)One story,,(1)平房,10.7,10.11,16.3,16.41,21.33,29.06,28.92,(1)One story,,(1)平房,17.87,37.76,22.57,19.98,5.81,5.64,7.47,(1)One story
(2)二～三層樓,39.270000000000003,13.39,9.5500000000000007,41.15,47.55,51.94,40.6,(2)Two or three stories,,(2)二～三層樓,67.89,50.53,70.510000000000005,69.930000000000007,68.87,65.34,60.91,(2)Two or three stories,,(2)二～三層樓,65.69,54.77,64.260000000000005,68.540000000000006,19.54,40.71,49.97,(2)Two or three stories
(3)四～五層樓,30.36,50.36,51.77,27.6,21.57,23.6,31.02,(3)Four or five stories,,(3)四～五層樓,14.75,18.61,9.41,11.83,8.4600000000000009,5.0599999999999996,9.5299999999999994,(3)Four or five stories,,(3)四～五層樓,13.27,6.05,7.73,7.51,49.04,25.94,24.21,(3)Four or five stories
(4)六層樓以上,21.52,33.020000000000003,36.090000000000003,26.36,24.69,11.84,22.61,"(4)Apartment, six stories or over",,(4)六層樓以上,6.66,20.75,3.79,1.83,1.35,0.54,0.64,"(4)Apartment, six stories or over",,(4)六層樓以上,3.17,1.42,5.43,3.97,25.61,27.7,18.350000000000001,"(4)Apartment, six stories or over"
4.具有自來水設備,96.09,100,99.79,96.3,98.49,99.87,97.1,4.Piped water equipment,,4.具有自來水設備,96.39,87.4,84.03,93.03,87.08,99.57,97.79,4.Piped water equipment,,4.具有自來水設備,57.4,89.54,92.97,100,100,98.39,100,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,5.Parking lot
(1)自有停車位,53,43.93,31.99,61.13,51.88,60.53,49.81,(1)Self-owned,,(1)自有停車位,53.46,67.92,59.97,60.1,53.86,61.5,66.08,(1)Self-owned,,(1)自有停車位,78.5,53.27,54.03,51.12,51.93,57.55,44.35,(1)Self-owned
(2)租借停車位,13.57,23.7,30.5,13.18,10.81,5.14,13.3,(2)Rented,,(2)租借停車位,8.93,10.76,3.23,4.4000000000000004,5.98,5.27,3.84,(2)Rented,,(2)租借停車位,7.11,4.78,8.0299999999999994,4.67,5.93,19.559999999999999,10.7,(2)Rented
(3)無停車位,33.43,32.36,37.51,25.69,37.32,34.33,36.89,(3)None,,(3)無停車位,37.61,21.31,36.799999999999997,35.5,40.159999999999997,33.229999999999997,30.07,(3)None,,(3)無停車位,14.39,41.95,37.94,44.21,42.14,22.89,44.95,(3)None
6.每戶建坪平均數(坪),45.05,32.5,31.75,51.73,51.29,49.34,49.43,6.Space per household average (pin),,6.每戶建坪平均數(坪),51.96,58.04,57.36,53.6,58,48.17,48.46,6.Space per household average (pin),,6.每戶建坪平均數(坪),51.86,44.52,46.87,42.06,35.11,45.49,54.26,6.Space per household average (pin)
7.每戶建坪中位數(坪),40,30,30,47,48,48,45,7.Space per household median (pin),,7.每戶建坪中位數(坪),50,53,56,54,54,45,45,7.Space per household median (pin),,7.每戶建坪中位數(坪),50,40,44,40,30,40,50,7.Space per household median (pin)
二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,B.Main household equipment (%)
1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,1.Percentage of household with equip.
(1)彩色電視機,98.96,99.6,98.85,98.6,98.99,98.75,98.56,(1)Color TV,,(1)彩色電視機,99.4,98.91,99.02,99.14,99.66,99.48,97.93,(1)Color TV,,(1)彩色電視機,99.36,97.57,97.1,100,99,98.31,99.68,(1)Color TV
一般彩色電視機,15.43,9.56,10.1,11.22,17.649999999999999,19.23,19.48,Non-LCD TV,,一般彩色電視機,21.26,10.76,13.47,22.69,19.940000000000001,22.47,21.46,Non-LCD TV,,一般彩色電視機,22.48,22.76,18.45,18.36,13.23,14.89,14.87,Non-LCD TV
液晶、電漿電視,90.83,95.33,94.21,93.6,89.43,88.55,88.55,LCD、PDP TV,,液晶、電漿電視,86.93,93.09,92.24,86.57,86.77,86.69,83.07,LCD、PDP TV,,液晶、電漿電視,84.76,85.21,84.97,90.53,92.24,94.05,87.75,LCD、PDP TV
(2)數位影音光碟機,19.75,30.28,29.55,22.02,19.2,10.7,14.72,(2)DVD player,,(2)數位影音光碟機,7.16,23.02,14.25,9.4700000000000006,10.44,9.56,10.47,(2)DVD player,,(2)數位影音光碟機,11.31,5.85,11.17,1.98,18.739999999999998,35.78,11.27,(2)DVD player
(3)攝影機,4.43,5.85,6.65,4.83,4.8099999999999996,4.0599999999999996,2.84,(3)Movies camera,,(3)攝影機,3.99,6.79,3.42,1.93,2.35,1.04,2.21,(3)Movies camera,,(3)攝影機,1.64,4.3,2.25,2.4900000000000002,3.58,6,6.11,(3)Movies camera
(4)音響,23.35,36.01,29.42,28.16,22.52,15.06,14.98,(4)Stereo,,(4)音響,15.83,25.11,18.899999999999999,15.02,18.850000000000001,13.66,16.61,(4)Stereo,,(4)音響,13.79,16.02,13.41,20.38,21.42,29.59,16.04,(4)Stereo
(5)鋼琴(含電子琴),7.35,4.71,13.3,8.81,8.4,6.32,6.78,(5)Piano,,(5)鋼琴(含電子琴),5.67,12.26,4.43,4.37,4.66,3.35,1.86,(5)Piano,,(5)鋼琴(含電子琴),5.97,5.38,7.16,2,6.13,18.32,3.84,(5)Piano
(6)數位相機,24.04,37.200000000000003,33.159999999999997,25.65,22.66,17.97,17.55,(6)Digital camera,,(6)數位相機,13.11,28.16,17.32,15.5,13.73,13.15,10.63,(6)Digital camera,,(6)數位相機,12.73,16.079999999999998,10.28,13.87,17.57,31.58,22.2,(6)Digital camera
(7)電視遊樂器,6.42,9.44,10.65,7.66,6.01,4.62,3.86,(7)Video game,,(7)電視遊樂器,2.85,12.7,5.66,3.26,0.99,1.55,2.5299999999999998,(7)Video game,,(7)電視遊樂器,1.24,2.16,2.02,0.5,4.84,13.97,2.56,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),86.36,94.47,93.3,87.26,84.54,82.59,90.33,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),80.72,86.59,88.62,72.53,76.66,66.81,58.3,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),80.44,81.260000000000005,74.430000000000007,92.51,90.02,85.61,84.55,(8)Cable TV(MOD included)
(9)家用電腦,68.12,77.260000000000005,80.290000000000006,73.040000000000006,72.23,61.02,65.989999999999995,(9)Personal computer,,(9)家用電腦,58.24,79.63,56.33,66.11,52.25,48.32,45.52,(9)Personal computer,,(9)家用電腦,52.19,40.020000000000003,39.86,35.28,55.02,71.5,67.45,(9)Personal computer
(10)電話機,91.25,94.5,95.59,85.86,89.33,91.86,90.11,(10)Telephone,,(10)電話機,90.8,85.94,92.03,92.53,95.05,92.9,93.34,(10)Telephone,,(10)電話機,87.94,78.22,82.94,94.98,93.54,85.69,89.39,(10)Telephone
(11)行動電話,95.14,97.43,97.5,97.75,96.5,93.01,95.19,(11)Cell phone,,(11)行動電話,92.17,95.66,92.58,92.78,91.98,90.33,88.64,(11)Cell phone,,(11)行動電話,91.77,88.52,90.34,82.49,93.84,92.27,95.52,(11)Cell phone
(12)連網(使用電腦或其他設備),84.83,89.45,92.71,90.71,88.7,78.69,87.54,(12)Internet facility,,(12)連網(使用電腦或其他設備),74.66,85.42,78.36,80.67,69.37,69.260000000000005,67.180000000000007,(12)Internet facility,,(12)連網(使用電腦或其他設備),74.260000000000005,65,73.569999999999993,58.8,81.680000000000007,80.849999999999994,84.27,(12)Internet facility
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,
106年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2017",,106年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2017",,106年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2017"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分(續三),Table 8. Household Housing and Household Facilities by Areas (Cont.3),,第8表家庭住宅及主要設備概況按區域別分(續四),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.4),,第8表家庭住宅及主要設備概況按區域別分(續完),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.End),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 106 年,,,,,2 0 1 7,,,,,民 國 106 年,,,,,2 0 1 7,,,,,民 國 106 年,,,,,2 0 1 7,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(13)汽車,60.79,48.92,49.69,73.67,70.930000000000007,64.739999999999995,57.35,(13)Sedan vehicle,,(13)汽車,67.349999999999994,79.150000000000006,72.73,71.78,70.27,63.45,63.43,(13)Sedan vehicle,,(13)汽車,62.46,53.94,61.81,41.33,43.68,60.03,68.95,(13)Sedan vehicle
(14)機車,83.78,82.13,61.79,86.41,88.57,89.76,92.3,(14)Motorcycle,,(14)機車,82.51,82.77,88.18,92.5,85.52,87.11,82.33,(14)Motorcycle,,(14)機車,93.34,85.73,78,80.8,70.41,84.83,92.27,(14)Motorcycle
(15)電磁爐,35.15,50.1,44.87,41.74,33.57,23.75,25.02,(15)Electro-magnetic oven,,(15)電磁爐,27.29,32.82,28.53,32.450000000000003,23.71,24.39,22.25,(15)Electro-magnetic oven,,(15)電磁爐,16.809999999999999,22.44,20.56,18.25,46.1,38.83,30.9,(15)Electro-magnetic oven
(16)冷暖氣機,93.86,98.53,97.2,94.6,91.51,94,96.03,(16)Air conditioner,,(16)冷暖氣機,91.08,89.48,90.93,95.16,69.61,91.87,84.72,(16)Air conditioner,,(16)冷暖氣機,90.76,74.97,82.61,90.9,93.26,95.36,95.17,(16)Air conditioner
(17)除濕機,36.81,57.66,59.45,57.16,24.46,13.23,12.48,(17)Dehumidifier,,(17)除濕機,59.48,49.05,39.82,15.63,23.04,10.41,15.9,(17)Dehumidifier,,(17)除濕機,5.26,12.78,31.96,27.5,81.55,61.22,15.78,(17)Dehumidifier
(18)洗衣機,98.56,99.92,98.6,98.32,98.69,98.4,98.37,(18)Washing machine,,(18)洗衣機,97.97,97.65,98.26,98.27,98.2,98.21,95.52,(18)Washing machine,,(18)洗衣機,97.6,97.12,96.26,97.62,99,99,98.73,(18)Washing machine
(19)烘衣機,14.52,17.059999999999999,23.16,27.46,11.15,3.86,2.2200000000000002,(19)Drier,,(19)烘衣機,28.03,29.2,34.19,7.55,15.52,6.97,5.16,(19)Drier,,(19)烘衣機,2.5499999999999998,5.34,11.74,3.93,27.41,25.6,7.42,(19)Drier
(20)空氣清淨機,15.46,19.64,25.26,19.170000000000002,14.39,11.24,13.92,(20)Air-clean machine,,(20)空氣清淨機,6.9,21.67,11,6.58,10.87,5.9,6.3,(20)Air-clean machine,,(20)空氣清淨機,6.43,4.3499999999999996,7.17,5.46,10.75,23.95,11.23,(20)Air-clean machine
(21)濾水器,37.159999999999997,42.36,43.81,45.84,44.15,33.01,33.9,(21)Water filter machine,,(21)濾水器,27.35,49.5,26.06,19.489999999999998,23.07,22.23,30.78,(21)Water filter machine,,(21)濾水器,24.66,13.75,24.88,5.85,30.74,55.44,34.840000000000003,(21)Water filter machine
(22)吸塵器,45.6,54.02,59.37,53.5,45.16,35.06,41.45,(22)Vacuum cleaner,,(22)吸塵器,40.67,56.04,43.12,34.49,36.340000000000003,25.05,28.46,(22)Vacuum cleaner,,(22)吸塵器,24.46,30.46,35.97,12.92,44.62,59.97,40.520000000000003,(22)Vacuum cleaner
(23)熱水器,99.27,100,99.85,99.73,99.5,98.77,98.9,(23)Geyser,,(23)熱水器,97.95,99.04,99.48,99.33,98.84,99.21,96.93,(23)Geyser,,(23)熱水器,98.99,94.07,95.03,99.46,99.66,100,99.68,(23)Geyser
(24)開飲機,43.54,48.1,35.69,48.47,46.43,31.32,31.47,(24)Hot-warm water fountain,,(24)開飲機,51.28,52.8,64.510000000000005,59.12,40.19,45.34,40,(24)Hot-warm water fountain,,(24)開飲機,59.09,52.18,51.18,74.58,35.33,38.44,29.99,(24)Hot-warm water fountain
(25)微波爐,42.76,54.94,55.13,48.38,41.9,33.94,33.42,(25)Microwave oven,,(25)微波爐,31.68,48.54,36.72,38.82,35.67,23.89,23.98,(25)Microwave oven,,(25)微波爐,28.84,28.51,24.82,23.88,46.3,51.67,39.869999999999997,(25)Microwave oven
(26)報紙,10.84,7.7,12.31,12.89,11.97,13.29,10.25,(26)Newspaper,,(26)報紙,12.6,7.89,12.55,12.49,14.07,11.82,12.64,(26)Newspaper,,(26)報紙,6.25,7.42,6.55,3.5,6.15,15.23,12.85,(26)Newspaper
(27)期刊雜誌,4.16,6.27,5.89,4.6399999999999997,3.69,3.6,2.82,(27)Magazine,,(27)期刊雜誌,4.3099999999999996,3.98,2.2599999999999998,2.63,0.67,2.3199999999999998,0.31,(27)Magazine,,(27)期刊雜誌,1.44,2.0499999999999998,2.83,0.49,1.3,10.65,6.44,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households
(1)彩色電視機,155.81,153.69999999999999,151.9,161.63,152.86000000000001,160.96,163.08000000000001,(1)Color TV,,(1)彩色電視機,168.93,163.19,171.16,149.88999999999999,149.97,150.94,143.38999999999999,(1)Color TV,,(1)彩色電視機,139.69999999999999,134.01,151.77000000000001,156.28,156.43,174.91,138.18,(1)Color TV
一般彩色電視機,18.190000000000001,11.05,11.55,14.34,20.91,22.48,23.51,Non-LCD TV,,一般彩色電視機,25.09,12.83,17.559999999999999,25.71,23.73,24.99,23.96,Non-LCD TV,,一般彩色電視機,24.19,27.02,23.35,20.37,16.489999999999998,19.14,17.8,Non-LCD TV
液晶、電漿電視,137.62,142.65,140.35,147.29,131.94,138.47999999999999,139.57,LCD、PDP TV,,液晶、電漿電視,143.84,150.36000000000001,153.6,124.18,126.24,125.95,119.43,LCD、PDP TV,,液晶、電漿電視,115.51,106.99,128.43,135.91999999999999,139.94,155.77000000000001,120.38,LCD、PDP TV
(2)數位影音光碟機,20.83,30.73,31.71,23.15,20.36,11.64,15.81,(2)DVD player,,(2)數位影音光碟機,8.33,25.56,15.58,9.65,10.78,10.37,10.79,(2)DVD player,,(2)數位影音光碟機,11.65,5.85,11.17,2.4700000000000002,20.37,39.76,12.55,(2)DVD player
(3)攝影機,4.6900000000000004,5.98,7.15,5.08,5.0599999999999996,4.54,2.98,(3)Movies camera,,(3)攝影機,3.99,7.36,3.76,2.2599999999999998,2.35,1.04,2.21,(3)Movies camera,,(3)攝影機,2.06,4.3,2.25,2.4900000000000002,3.58,7.01,6.11,(3)Movies camera
(4)音響,24.22,36.42,31.58,29.55,23.38,16.2,15.38,(4)Stereo,,(4)音響,16.399999999999999,26.52,19.52,15.36,19.18,13.66,16.920000000000002,(4)Stereo,,(4)音響,14.2,16.02,13.69,20.38,21.42,32.909999999999997,16.36,(4)Stereo
(5)鋼琴(含電子琴),7.51,4.71,13.56,9.07,8.6,6.45,7,(5)Piano,,(5)鋼琴(含電子琴),6.22,12.83,4.43,4.37,5,3.35,1.86,(5)Piano,,(5)鋼琴(含電子琴),5.97,5.7,7.73,2,6.13,18.66,3.84,(5)Piano
(6)數位相機,27.55,39.83,42.35,30.49,24.92,21.48,19.29,(6)Digital camera,,(6)數位相機,15.72,36.4,17.96,16.2,14.81,13.66,11.94,(6)Digital camera,,(6)數位相機,12.95,17.149999999999999,10.86,14.82,18.239999999999998,47.28,24.76,(6)Digital camera
(7)電視遊樂器,6.91,9.7200000000000006,12.04,7.92,6.41,5.14,3.95,(7)Video game,,(7)電視遊樂器,2.85,14.4,6.47,3.44,0.99,1.55,2.5299999999999998,(7)Video game,,(7)電視遊樂器,1.24,2.5099999999999998,2.02,0.5,4.84,18.239999999999998,2.56,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),88.04,96.32,97.54,87.66,86.8,84.26,91.43,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),81.58,87.43,88.62,72.53,78.010000000000005,67.069999999999993,59,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),80.44,81.97,75.88,95.47,94.24,89.29,84.55,(8)Cable TV(MOD included)
(9)家用電腦,99.01,112.78,125.55,112.67,102.82,86.7,95.91,(9)Personal computer,,(9)家用電腦,87.3,122.39,72.239999999999995,79.72,64.5,60.14,54.06,(9)Personal computer,,(9)家用電腦,59.91,49.64,48.14,41.65,75.03,164.52,90.44,(9)Personal computer
(10)電話機,96.07,97.46,107.99,90.53,93.97,95.38,94.63,(10)Telephone,,(10)電話機,95.71,93.21,96.54,94.33,99.84,94.47,95.51,(10)Telephone,,(10)電話機,89.66,79.33,84.68,95.43,96.82,94.74,90.99,(10)Telephone
(11)行動電話,243.14,260.95,259.68,270.87,246.86,234.84,239.25,(11)Cell phone,,(11)行動電話,216.88,263.08999999999997,233.54,236.3,213.54,190.34,209.58,(11)Cell phone,,(11)行動電話,213.62,176.31,181.56,177.32,226.67,224.46,233.21,(11)Cell phone
(12)汽車,72.209999999999994,52.57,53.52,91.11,86.65,78.42,66.56,(12)Sedan vehicle,,(12)汽車,82.66,113.8,96.88,87.83,94.49,77.31,78.63,(12)Sedan vehicle,,(12)汽車,73.34,64.16,72.78,44.36,47.53,77.12,81.19,(12)Sedan vehicle
(13)機車,152.9,146.80000000000001,94.62,159.77000000000001,164.27,179.3,187.35,(13)Motorcycle,,(13)機車,137.49,148.88999999999999,154.1,178.37,147.62,142.24,153.24,(13)Motorcycle,,(13)機車,172.3,134.97,119.17,133.81,102.64,165.8,174.23,(13)Motorcycle
(14)電磁爐,35.58,50.63,46.07,42.2,33.979999999999997,24.01,25.29,(14)Electro-magnetic oven,,(14)電磁爐,27.85,32.82,28.83,32.6,23.71,24.39,22.25,(14)Electro-magnetic oven,,(14)電磁爐,16.809999999999999,23.16,20.56,18.25,46.1,39.17,31.22,(14)Electro-magnetic oven
(15)冷暖氣機,236.34,250.95,256.74,251.25,222.74,237.95,245.56,(15)Air conditioner,,(15)冷暖氣機,240.09,251.68,227.25,221.53,135.22,221.44,192.66,(15)Air conditioner,,(15)冷暖氣機,204.5,172.04,188.14,186.82,202.7,289.02,224.47,(15)Air conditioner
(16)除濕機,45.61,65.680000000000007,75,76.25,27.93,15.5,14.39,(16)Dehumidifier,,(16)除濕機,98.92,70.5,50.74,17.89,24.74,13.47,16.86,(16)Dehumidifier,,(16)除濕機,5.89,16.29,40.909999999999997,33.94,111.68,83.53,16.760000000000002,(16)Dehumidifier
(17)洗衣機,101.4,100.8,100.15,101.78,100.89,104.73,102.44,(17)Washing machine,,(17)洗衣機,104.68,101.37,101.99,100.67,101.22,100.76,98.71,(17)Washing machine,,(17)洗衣機,98.79,101.06,100.83,98.11,100.89,104.64,100.33,(17)Washing machine
