appleL05103年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2014"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
(1)個人交通工具之購置,11720,4803,8973,8223,14656,4202,17340,9826,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46013,14201,30082,28856,61833,27269,65945,43355,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9770,4417,6972,8796,12873,6417,11124,8756,(3)Transport services
(4)汽、機車保險費,4643,1549,3301,2743,6240,2611,6381,4304,(4)Insurance of vehicles
8.通訊,26933,9473,14395,23418,36060,18158,36770,26489,8.Communication
9.休閒與文化,40232,16271,31166,27785,55500,26970,44219,34702,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),18019,6600,17217,9706,25364,8906,16857,15811,(1)Package holidays
(2)娛樂消遣及文化服務,10744,6051,7804,8843,13728,8813,12450,9929,(2)Recreational and cultural services
(3)書報雜誌文具,5022,817,1625,3896,7780,4689,7509,3040,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6448,2803,4520,5340,8629,4561,7403,5921,(4)Recreational facilities
10.教育,32147,695,439,20134,55331,26837,56455,14295,10.Education
11.餐廳及旅館,83661,30969,43289,73087,110533,56903,117197,84352,11.Restaurants and hotels
12.什項消費,41938,17802,30124,28833,50505,31803,60938,48013,12.Miscellaneous goods and services
可支配所得,956849,402342,721380,738733,1194503,694335,1274504,939004,Disposable income
消費支出,755169,330040,569235,588352,927044,609882,1034236,731269,Consumption expenditures
儲蓄,201680,72302,152145,150381,267459,84453,240268,207735,Saving
所得總額,1213703,511306,910217,917087,1536946,836947,1588956,1177558,Current receipts
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
