第27表戶數五等分位組之平均每戶人數與就業人數,,,,,,,,
Table 27. Average Number of Persons and Employed Persons perHousehold by Disposable Income Quintile,,,,,,,,
單位：人,,,,,,,,
Unit：Person,,,,,,,,
年別,全體家庭,可支配所得按戶數五等分位組,第五分位組為第一分位組之倍數,,,,,
Disposable income quintile,,,,,,,,
Year,General Average,1,2,3,4,5,Ratio of highestgroup overlowest group,
最低所得組,Second 20%,Third 20%,Fourth 20%,最高所得組,,,,
Lowest 20%,Highest 20%,,,,,,,
平均每戶人數No. of persons per household,,,,,,,,
100年,2011,1.49,0.54,1.1100000000000001,1.58,1.92,2.29,4.24
101年,2012,1.46,0.51,1.0900000000000001,1.52,1.9,2.2799999999999998,4.47
102年,2013,1.46,0.51,1.04,1.54,1.94,2.29,4.49
103年,2014,1.45,0.47,1.05,1.51,1.9,2.31,4.91
104年,2015,1.43,0.46,1.01,1.47,1.88,2.3199999999999998,5.04
105年,2016,1.42,0.45,1.01,1.45,1.89,2.31,5.13
106年,2017,1.43,0.46,1,1.46,1.91,2.33,5.07
107年,2018,1.42,0.44,1.01,1.43,1.87,2.34,5.32
108年,2019,1.4,0.42,0.99,1.44,1.86,2.3199999999999998,5.52
109年,2020,1.37,0.39,0.93,1.4,1.82,2.2999999999999998,5.9
110年,2021,1.35,0.39,0.92,1.38,1.79,2.2799999999999998,5.85
111年,2022,1.34,0.37,0.91,1.35,1.83,2.23,6.03
112年,2023,1.34,0.37,0.9,1.38,1.81,2.2400000000000002,6.05
113年,2024,1.33,0.35,0.89,1.33,1.83,2.2400000000000002,6.4
114年,2025,1.29,0.33,0.85,1.3,1.78,2.21,6.7
