L10104年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 104 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
(6)數位相機,32.4,18.78,33.799999999999997,(6)Digital camera
(7)電視遊樂器,6.97,1.92,7.49,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),85.38,72.430000000000007,86.71,(8)Cable TV(MOD included)
(9)家用電腦,69.319999999999993,50.45,71.27,(9)Personal computer
(10)電話機,92.89,96.37,92.53,(10)Telephone
(11)行動電話,93.51,87.51,94.13,(11)Cell phone
(12)連網(使用電腦或其他設備),77.900000000000006,59.76,79.78,(12)Internet facility
,,,,
,,,,"The Survey of Family Income and Expenditure, 2015"
,,,,
Table 9. Household Housing and Household Facilities by Farm or Non-farm,,,,
,,,,
2 0 1 5,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
(13)汽車,59.09,65.98,58.37,(13)Sedan vehicle
(14)機車,82.83,89.8,82.11,(14)Motorcycle
(15)電磁爐,33.770000000000003,20.96,35.1,(15)Electro-magnetic oven
(16)冷暖氣機,92.53,84.33,93.38,(16)Air conditioner
(17)除濕機,32.47,15.39,34.229999999999997,(17)Dehumidifier
(18)洗衣機,98.37,98.28,98.38,(18)Washing machine
(19)烘衣機,13.73,12.16,13.9,(19)Drier
(20)空氣清淨機,11.54,4.08,12.31,(20)Air-clean machine
(21)濾水器,35.61,25.81,36.630000000000003,(21)Water filter machine
(22)吸塵器,42.1,25.67,43.79,(22)Vacuum cleaner
(23)熱水器,99.08,97.78,99.22,(23)Geyser
(24)開飲機,44.3,52.43,43.46,(24)Hot-warm water fountain
(25)微波爐,40.51,25.67,42.05,(25)Microwave oven
(26)報紙,13.62,14.21,13.55,(26)Newspaper
(27)期刊雜誌,4.88,1.82,5.2,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,2.Average No. per hundred households
(1)彩色電視機,157.25,160.05000000000001,156.96,(1)Color TV
一般彩色電視機,36.74,48.98,35.479999999999997,Non-LCD TV
液晶、電漿電視,120.51,111.07,121.48,LCD、PDP TV
(2)數位影音光碟機,26.26,10.33,27.91,(2)DVD player
(3)攝影機,5.52,2.16,5.87,(3)Movies camera
(4)音響,25.9,17.489999999999998,26.77,(4)Stereo
(5)鋼琴(含電子琴),8.7200000000000006,3.88,9.2200000000000006,(5)Piano
(6)數位相機,38,21.02,39.76,(6)Digital camera
(7)電視遊樂器,7.4,1.92,7.97,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),87.25,73.03,88.72,(8)Cable TV(MOD included)
(9)家用電腦,100.91,67.83,104.34,(9)Personal computer
(10)電話機,98.42,100.95,98.16,(10)Telephone
(11)行動電話,236.92,225.06,238.15,(11)Cell phone
(12)汽車,70.72,88.44,68.89,(12)Sedan vehicle
(13)機車,150.12,176.98,147.34,(13)Motorcycle
(14)電磁爐,34.29,21.32,35.630000000000003,(14)Electro-magnetic oven
(15)冷暖氣機,229.56,195.56,233.07,(15)Air conditioner
(16)除濕機,39.82,19.329999999999998,41.94,(16)Dehumidifier
(17)洗衣機,100.8,103.14,100.56,(17)Washing machine
(18)烘衣機,13.77,12.21,13.93,(18)Drier
(19)空氣清淨機,13.01,4.5,13.89,(19)Air-clean machine
(20)濾水器,35.950000000000003,26.15,36.96,(20)Water filter machine
(21)吸塵器,44.76,26.89,46.6,(21)Vacuum cleaner
(22)熱水器,107.06,110,106.76,(22)Geyser
(23)開飲機,45.28,54.09,44.37,(23)Hot-warm water fountain
(24)微波爐,40.799999999999997,25.87,42.35,(24)Microwave oven
(25)報紙,14.07,14.55,14.02,(25)Newspaper
(26)期刊雜誌,5.75,1.97,6.14,(26)Magazine
