appleL06113年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Divisions of Households According to Disposable Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,單位：元,2 0 2 4 Unit:NT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Five equal divisions of,,households according to disposable income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.衣著鞋襪及服飾用品,23285,8088,14506,21017,29447,43369,3.Clothing and footwear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.住宅服務、水電瓦斯及其他燃料,212957,125109,177813,203298,243514,315051,"4.Housing,water,electricity,gas and other fuels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)住宅服務,192200,111373,160220,182567,219396,287444,(1)Rent and residential services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)水電費及燃料,20757,13735,17593,20731,24119,27607,"(2)Water,electricity,gas and other fuels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.家具設備及家務維護,25932,10790,18279,23363,30846,46381,"5.Furnishings,household equipmentand routine household maintenance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.醫療保健,131147,68311,100598,126095,153643,207086,6.Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.交通,68484,21429,41493,64273,84955,130269,7.Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)個人交通工具之購置,12277,1857,4744,11036,13506,30243,(1)Purchase of vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)個人交通設備管理維護,46513,16315,30734,44898,60305,80313,(2)Operation of personal transport equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)客運與貨物運輸服務,9694,3257,6015,8339,11144,19714,(3)Passenger and goods transport services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.資通訊,33816,16304,24758,32530,41558,53930,8.Information and communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.休閒、運動與文化,32310,7771,15439,26512,38453,73378,"9.Recreation,sport and culture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)套裝旅遊(不含自助旅遊),15128,3430,5909,10692,16669,38942,(1)Package holidays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
