作者不明2026-08-13T18:06:06.439L09114年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2025",,114年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2025",,114年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表  家庭住宅及主要設備概況按區域別分,Table 8. Household Housing and Household Facilities by Areas,,第8表  家庭住宅及主要設備概況按區域別分(續一),Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表  家庭住宅及主要設備概況按區域別分(續二),Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 114 年,,,,,2 0 2 5,,,,,民 國 114 年,,,,,2 0 2 5,,,,,民 國 114 年,,,,,2 0 2 5,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,,,,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)彩色電視機,97.65,99.33,98.66,98.6,96.76,96.94,96.76,(1)Color TV,,(1)彩色電視機,96.6,98.84,97.21,97.21,96.07,98.7,97.13,(1)Color TV,,(1)彩色電視機,96.47,91.1,95.4,97.48,98.08,93.44,97.46,(1)Color TV
(2)數位影音光碟機,4.84,5.41,8.66,4.74,5.59,3.95,4.03,(2)DVD player,,(2)數位影音光碟機,2.56,8.57,3.92,2.33,3.01,1.52,2.13,(2)DVD player,,(2)數位影音光碟機,1.7,3.14,3.73,2.03,4.8,5.3,1.92,(2)DVD player
(3)攝影機,2.42,2.61,3.46,3.02,2.21,2.29,1.45,(3)Movies camera,,(3)攝影機,2.33,4.01,2.91,1.76,0.63,1.04,1.86,(3)Movies camera,,(3)攝影機,2.18,2.15,1.16,0.48,4.64,2.92,1.93,(3)Movies camera
(4)音響,12.63,14.55,18.2,13.86,12.83,10.83,10.59,(4)Stereo,,(4)音響,7.7,24.82,15.65,5.77,10.28,4.18,6.69,(4)Stereo,,(4)音響,5.87,8.89,9.47,5.89,11.99,17.74,8.03,(4)Stereo
(5)鋼琴(含電子琴),5.66,2.24,9.69,6.06,7.01,5.92,6.82,(5)Piano,,(5)鋼琴(含電子琴),1.8,11.45,5.57,3.57,3.12,1.01,2.89,(5)Piano,,(5)鋼琴(含電子琴),3.59,5.02,4.03,3.38,4.55,14.06,8.4,(5)Piano
(6)數位相機,5.69,6.66,7.75,7.94,5.05,5.26,6.01,(6)Digital camera,,(6)數位相機,1.75,5.73,3.35,3.68,0.66,2.04,0.32,(6)Digital camera,,(6)數位相機,3.1,5.64,5.41,2.05,6.2,9.5,4.13,(6)Digital camera
(7)電視遊樂器,11.46,16.11,13.85,13.17,11.2,9.16,12.52,(7)Video game,,(7)電視遊樂器,5.43,22.27,7.25,4.25,2.29,2.61,2.24,(7)Video game,,(7)電視遊樂器,4.52,3.93,5.99,2.9,10.65,19.41,5.16,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),80.44,89.31,94.66,78.36,72.1,77.11,82.2,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),80.34,74.98,80.46,66.94,73.04,73.62,64.84,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),74.27,67.63,68.98,77.94,88.15,75.74,69.63,(8)Cable TV(MOD included)
(9)家用電腦,68.06,75.18,78.9,73.39,71.63,68.23,73.78,(9)Personal computer,,(9)家用電腦,55.27,75.41,61.87,51.17,50.8,34.55,41.54,(9)Personal computer,,(9)家用電腦,44.88,34.77,44.61,39.59,61.67,77.24,66.73,(9)Personal computer
(10)電話機,73.76,76.87,82.63,64.74,69.97,77.51,69.09,(10)Telephone,,(10)電話機,73.1,61.91,74.26,80.46,81.98,84.76,83.15,(10)Telephone,,(10)電話機,71.81,50.48,54.9,84.07,74.77,63.92,81.68,(10)Telephone
(11)行動電話,98.04,99.21,99.3,98.6,98.95,97.89,98.72,(11)Cell phone,,(11)行動電話,96.58,97.77,96.55,93.6,95.91,92.56,94.78,(11)Cell phone,,(11)行動電話,96.43,96.16,97.45,94.19,99.71,98,98.06,(11)Cell phone
(12)連網(使用電腦或其他設備),96.88,98.98,99,97.86,98.4,97.2,98.44,(12)Internet facility,,(12)連網(使用電腦或其他設備),95.5,96.86,93.17,90.17,90.91,89.28,90.26,(12)Internet facility,,(12)連網(使用電腦或其他設備),90.89,96.83,95.18,87.22,98.32,96.3,96.45,(12)Internet facility
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
