L09113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,,,2 0 2 4,,,,,民 國 113 年,,,,,2 0 2 4,,,,,民 國 113 年,,,,,2 0 2 4,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
(21)吸塵器,62.25,64.180000000000007,77.25,73.27,67.069999999999993,58.18,61.51,(21)Vacuum cleaner,,(21)吸塵器,46.85,84.66,64.010000000000005,44.3,46.28,32.29,43.71,(21)Vacuum cleaner,,(21)吸塵器,30.38,37.840000000000003,50.51,19.649999999999999,50.63,89.36,59.46,(21)Vacuum cleaner
(22)熱水器,109.03,100.44,100.9,113.74,117.28,107.64,105.51,(22)Geyser,,(22)熱水器,122.14,127.98,142.91999999999999,107.27,109.9,114.56,109.51,(22)Geyser,,(22)熱水器,102.75,106.12,116.95,107.46,103.96,124.09,109.42,(22)Geyser
(23)開飲機,37.22,37.700000000000003,25.22,42.01,40.36,29.12,30.36,(23)Hot-warm water fountain,,(23)開飲機,53.93,56.43,58.43,48.82,30.85,44.86,33.14,(23)Hot-warm water fountain,,(23)開飲機,50.48,34.93,43.54,56.29,23.98,38.54,21.23,(23)Hot-warm water fountain
(24)微波爐,50.6,60.37,61.4,64.36,48.92,40.950000000000003,39.85,(24)Microwave oven,,(24)微波爐,39.630000000000003,54.43,49.95,41.09,36.04,44.77,29.07,(24)Microwave oven,,(24)微波爐,35.17,31.34,37.07,28.23,52.37,68.44,44.84,(24)Microwave oven
(25)報紙,5.37,5.0599999999999996,5.31,6.02,4.66,7.46,6.14,(25)Newspaper,,(25)報紙,0.91,4,7.08,5.4,7.45,3.66,5.18,(25)Newspaper,,(25)報紙,2.67,5.99,4.2699999999999996,1.99,4.92,5.95,7.12,(25)Newspaper
(26)期刊雜誌,2.42,3.88,3.5,2.14,1.76,1.79,1.46,(26)Magazine,,(26)期刊雜誌,1.74,1.98,1.31,1.71,1.01,1.82,2.8,(26)Magazine,,(26)期刊雜誌,0.24,0,1.1299999999999999,0,0.63,4.99,11.94,(26)Magazine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,
