L0993年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2004",,93年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2004",,93年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2004"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 93 年,,,,,2 0 0 4,,,,,民 國 93 年,,,,,2 0 0 4,,,,,,民 國 93 年,,,,,,2 0 0 4,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,,,1.Percentage of household with equip.
(1)彩色電視機,99.47,99.45,99.27,99.77,99.44,99.76,100,(1)Color TV,,(1)彩色電視機,99.67,99.86,99.28,98.33,99.24,98.22,99.23,99.28,(1)Color TV,,(1)彩色電視機,100,98.85,98,99.5,100,98.58,99.81,98.99,99.61,(1)Color TV
(2)數位影音光碟機,45.99,61.04,43.56,54.9,36.35,57.77,52.13,(2)DVD player,,(2)數位影音光碟機,38.93,42.51,38.4,39.21,22.89,24.13,31.39,28.94,(2)DVD player,,(2)數位影音光碟機,39.53,26.75,30.01,28.92,45.89,64.42,50.67,41.66,40.49,(2)DVD player
(3)攝影機,10.26,18.350000000000001,7.8,13.09,5.49,12.95,12.29,(3)Movies camera,,(3)攝影機,6.28,8.32,5.45,6.29,3.62,3.53,7.34,3.87,(3)Movies camera,,(3)攝影機,4.9000000000000004,6.55,8.8800000000000008,3.96,7.64,15.04,12.52,6.56,11.28,(3)Movies camera
(4)音響,49.23,57.29,46.4,60.08,35.82,58.66,57.27,(4)Stereo,,(4)音響,39.83,49.26,39.409999999999997,47.89,34.950000000000003,25.16,40.03,36.909999999999997,(4)Stereo,,(4)音響,41.31,39.479999999999997,41.66,37.130000000000003,42.91,49.52,53.71,50,46.4,(4)Stereo
(5)鋼琴(含電子琴),11.06,19.260000000000002,13.95,8.18,5.74,10.4,13.31,(5)Piano,,(5)鋼琴(含電子琴),9.0299999999999994,11.12,8.4600000000000009,11.67,6.8,5.51,7.87,8.0399999999999991,(5)Piano,,(5)鋼琴(含電子琴),7.78,8.91,8.3000000000000007,5.48,9.11,18.86,15.43,13.54,9.1199999999999992,(5)Piano
(6)數位相機,30.19,44.14,24.36,39.94,15.23,39.25,36.659999999999997,(6)Digital camera,,(6)數位相機,18.239999999999998,26.17,23.2,20.07,13.77,10.11,17.559999999999999,20.98,(6)Digital camera,,(6)數位相機,23.59,13.59,20.63,16.98,30.42,33.04,36.69,21.68,26.45,(6)Digital camera
(7)錄放影機,25.42,40.47,15.87,30.13,13,27.87,21.25,(7)Video tape recorder,,(7)錄放影機,27.23,22.18,20.13,23.62,15.29,12.52,18.53,17.739999999999998,(7)Video tape recorder,,(7)錄放影機,19.09,18.59,24.84,11.04,19.52,23.44,35.43,19.920000000000002,24.69,(7)Video tape recorder
(8)有線電視頻道設備,78.53,87.2,89.76,87.92,60.21,85.51,74.069999999999993,(8)Cable TV,,(8)有線電視頻道設備,78.13,69.739999999999995,64.23,69.31,58.35,49.44,64.12,79.87,(8)Cable TV,,(8)有線電視頻道設備,57.53,60.03,54.97,79.010000000000005,93.38,87.69,83.15,85.62,83.08,(8)Cable TV
(9)家用電腦,62.37,73.31,61.93,70.069999999999993,48.37,72.48,70.63,(9)Personal computer,,(9)家用電腦,52.7,64.64,57.44,48.37,37.840000000000003,37.68,50.22,55.34,(9)Personal computer,,(9)家用電腦,48.65,35.479999999999997,43.25,42.98,65.63,71.39,72.77,48.52,65.540000000000006,(9)Personal computer
