appleL05100年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2011"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 100 年,,,,單位：元,2 0 1 1 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,729010,321131,524474,557257,872415,564541,983741,700535,C.Consumption expenditures
1.食品及非酒精飲料,108514,35480,80896,79076,124256,103542,168266,101915,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9750,4579,6447,7506,11210,6639,14180,10848,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22623,8710,13625,16622,28925,14761,30487,20839,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,177787,119267,158510,156340,200815,149381,194758,173990,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,156995,108716,141931,138943,177726,130107,165980,153789,(1)Rent and water charges
(2)電費及燃料,20792,10550,16579,17397,23089,19274,28777,20200,(2)Power and fuel
5.家具設備及家務維護,18174,9120,14391,11950,22444,12609,21715,17570,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,106607,42973,95453,74952,110369,102138,166064,118668,6.Health
7.交通,70598,25498,44042,46707,93080,31348,93649,60242,7.Transport
(1)個人交通工具之購置,10984,4381,6718,7426,15580,832,13047,6569,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,45422,14630,27918,27892,59172,21313,64171,40666,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9862,5003,6586,8728,12632,7092,10665,9228,(3)Transport services
(4)汽、機車保險費,4330,1485,2820,2660,5696,2111,5766,3779,(4)Insurance of vehicles
8.通訊,24162,9318,12825,20558,31254,15166,31635,22750,8.Communication
9.休閒與文化,38503,16713,30470,26785,49345,24171,43477,34678,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),14752,5933,15465,8048,18202,8190,15212,15035,(1)Package holidays
(2)娛樂消遣及文化服務,10330,5538,7496,8566,12820,7745,11785,9524,(2)Recreational and cultural services
(3)書報雜誌文具,5690,1088,1855,4450,8315,4943,7981,3435,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7732,4155,5655,5721,10008,3292,8498,6685,(4)Recreational facilities
10.教育,37193,851,695,25630,60297,29251,60039,13314,10.Education
11.餐廳及旅館,74073,30779,38434,62505,94179,46772,99273,73788,11.Restaurants and hotels
12.什項消費,41026,17842,28686,28625,46241,28764,60199,51934,12.Miscellaneous goods and services
可支配所得,907988,387056,663670,679027,1101726,619283,1188037,894184,Disposable income
消費支出,729010,321131,524474,557257,872415,564541,983741,700535,Consumption expenditures
儲蓄,178978,65925,139196,121770,229310,54742,204297,193649,Saving
所得總額,1157895,500123,847250,847406,1420166,753842,1489124,1128104,Current receipts
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
