appleL0590年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2001"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 90 年,,,,單位：元,2 0 0 1 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,657872,277326,447117,498335,773446,471901,861514,589385,C.Consumption expenditures
1.食品費,149253,49363,91107,117330,174153,112727,214058,136806,1.Food
2.飲料費,5721,2430,3969,4429,6558,3872,7673,5822,2.Beverage
3.菸草,5182,2524,3439,4301,5597,3421,7661,5615,3.Tobacco
4.衣著、鞋、襪類,23961,8745,14276,17194,29004,12313,32211,21745,4.Clothing and footwear
5.房地租及水費,143374,93771,120324,124548,160366,113081,158699,137953,5.Rent and water charges
6.燃料及燈光,18453,8973,13498,15341,20607,15100,24831,17167,6.Fuel and light
7.家具及家庭設備,11893,5138,9677,8594,13891,8329,14018,12681,7.Furniture and family facilities
8.家事管理,13852,5790,7730,7490,18155,7941,16216,10238,8.Household operations
9.保健及醫療,75853,34834,69701,52472,75111,92490,121254,78881,9.Health care and medical
10.運輸交通及通訊,76894,24735,44080,50743,96728,35313,100627,63091,10.Transport and communications
(1)交通及通訊工具之購置,10688,2126,7080,3567,14309,4370,14172,5779,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,34682,10033,19069,20952,43550,12812,47731,30208,(2)Operation of transport equipment
(3)乘交通設備之費用,8507,4108,5157,7920,10419,6971,9354,7225,(3)Purchased transportation
(4)其他通訊費,18164,6986,9989,15489,22345,8986,22791,15819,(4)Other communications
(5)汽機車保險費支出,4853,1481,2785,2815,6105,2175,6578,4061,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,87597,23404,37412,61364,120401,45298,102067,50702,"11.Recreation ,education and culture"
(1)旅遊費用,20456,10870,21496,12367,23749,10250,21496,18791,(1)Traveling
(2)娛樂消遣服務,9332,5214,6956,8713,10993,5774,10055,8172,(2)Recreation service
(3)書報雜誌文具,5145,1779,2902,3347,6673,3021,6245,3595,(3)Books and stationery
(4)娛樂器材及附屬品,8322,3827,4896,5339,10760,3829,9382,6169,(4)Recreation facilities
(5)教育與研究費,44342,1714,1162,31598,68226,22424,54890,13975,(5)Education and research
12.什項消費,45840,17620,31903,34528,52876,22017,62198,48685,12.Miscellaneous
可支配所得,868651,371846,612449,647356,1014520,575658,1131780,818471,Disposable income
消費支出,657872,277326,447117,498335,773446,471901,861514,589385,Consumption expenditures
儲蓄,210779,94521,165331,149021,241074,103757,270267,229086,Saving
所得總額,1108461,478339,785752,803363,1309035,693623,1412119,1032370,Current receipts
