L09110年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2021",,110年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2021",,110年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2021"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 110 年,,,,,2 0 2 1,,,,,民 國 110 年,,,,,2 0 2 1,,,,,民 國 110 年,,,,,2 0 2 1,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
(1)自有(戶內經常居住成員所擁有),85.04,83.47,85.43,85.68,79.42,85.14,85.4,(1)Self-owned (by usually livingmember of this household),,(1)自有(戶內經常居住成員所擁有),88.09,89.82,94.78,89.62,89.63,81.83,90.31,(1)Self-owned (by usually livingmember of this household),,(1)自有(戶內經常居住成員所擁有),85.84,78.349999999999994,79.69,86.38,88.91,89.6,86.28,(1)Self-owned (by usually livingmember of this household)
(2)不住在一起的配偶、父母或子女所擁有,5.18,5.21,3.29,5.23,8.11,3.58,4.57,"(2)Owned by spouse, parentsor children not living together",,(2)不住在一起的配偶、父母或子女所擁有,5.38,5.18,2.57,3.44,2,8.2100000000000009,5.8,"(2)Owned by spouse, parentsor children not living together",,(2)不住在一起的配偶、父母或子女所擁有,6.69,12.52,9.0399999999999991,9.61,5.43,5.27,3.52,"(2)Owned by spouse, parentsor children not living together"
(3)租押,6.97,10.34,7.66,7.04,8.61,8.5299999999999994,5.81,(3)Rented,,(3)租押,4.63,3.6,1.53,4.74,2.93,4.76,2.39,(3)Rented,,(3)租押,3.34,4.03,6.86,2.5499999999999998,4.33,3.93,6.67,(3)Rented
(4)其他(含配住及借用),2.8,0.98,3.62,2.06,3.85,2.75,4.22,(4)Allotted and others,,(4)其他(含配住及借用),1.89,1.41,1.1299999999999999,2.2000000000000002,5.43,5.19,1.5,(4)Allotted and others,,(4)其他(含配住及借用),4.13,5.1100000000000003,4.42,1.46,1.33,1.21,3.54,(4)Allotted and others
2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,2.By usage of dwelling
(1)專用,97.14,97.41,98.55,97.61,97.48,96.82,97.91,(1)Independent,,(1)專用,93.96,94.54,97.61,98.03,90.78,91.65,95.16,(1)Independent,,(1)專用,95.81,95.68,100,99.52,99.7,97.99,94.15,(1)Independent
(2)併用,2.86,2.59,1.45,2.39,2.52,3.18,2.09,(2)Connected,,(2)併用,6.04,5.46,2.39,1.97,9.2200000000000006,8.35,4.84,(2)Connected,,(2)併用,4.1900000000000004,4.32,0,0.48,0.3,2.0099999999999998,5.85,(2)Connected
3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,3.By style of building
(1)平房,7.8,2.4900000000000002,2.1,3.09,4.62,12.11,5.53,(1)One story,,(1)平房,9.5299999999999994,4.9400000000000004,14.27,16.420000000000002,17.91,24.78,29.96,(1)One story,,(1)平房,18.170000000000002,40.81,24.43,16.62,4.09,3.35,6.73,(1)One story
(2)二～三層樓,37.93,12.49,9.4600000000000009,37.47,45.82,54.72,36.18,(2)Two or three stories,,(2)二～三層樓,69.88,50,70.33,62.57,71.56,61.12,61.93,(2)Two or three stories,,(2)二～三層樓,68.59,53.4,59.74,71.94,18.78,39.6,53.73,(2)Two or three stories
(3)四～五層樓,30.57,49.14,48.27,27.21,23.34,21.91,33.950000000000003,(3)Four or five stories,,(3)四～五層樓,13.66,23.8,13.33,14.74,7.63,10.83,6.46,(3)Four or five stories,,(3)四～五層樓,11.12,4.9800000000000004,11.73,6.08,48.62,31.17,25.5,(3)Four or five stories
(4)六層樓以上,23.71,35.880000000000003,40.159999999999997,32.229999999999997,26.22,11.26,24.33,"(4)Apartment, six stories or over",,(4)六層樓以上,6.93,21.26,2.0699999999999998,6.27,2.9,3.27,1.65,"(4)Apartment, six stories or over",,(4)六層樓以上,2.12,0.81,4.0999999999999996,5.36,28.51,25.88,14.04,"(4)Apartment, six stories or over"
4.具有自來水設備,97.21,100,100,98.59,98.76,99.81,97.92,4.Piped water equipment,,4.具有自來水設備,97.01,89.1,90.92,96.11,87.46,100,98.44,4.Piped water equipment,,4.具有自來水設備,66.989999999999995,94.32,92.27,99.52,100,98.62,100,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,5.Parking lot
(1)自有停車位,45.92,35.22,25,47.74,44.39,56.85,36.6,(1)Self-owned,,(1)自有停車位,63.17,61.69,58.01,59.52,51.93,46.41,63.64,(1)Self-owned,,(1)自有停車位,82.89,41.19,63.42,51.81,37.4,50.85,33.9,(1)Self-owned
(2)租借停車位,15.67,28.07,43.61,14.32,11.19,6.83,16.36,(2)Rented,,(2)租借停車位,5.26,7.85,0.9,3.45,4.8899999999999997,7.58,3.48,(2)Rented,,(2)租借停車位,7.02,1.67,8.2899999999999991,5.97,5.36,18.059999999999999,5.21,(2)Rented
(3)無停車位,38.409999999999997,36.71,31.39,37.950000000000003,44.42,36.32,47.05,(3)None,,(3)無停車位,31.57,30.46,41.09,37.04,43.18,46.01,32.880000000000003,(3)None,,(3)無停車位,10.09,57.14,28.29,42.23,57.24,31.09,60.9,(3)None
6.每戶建坪平均數(坪),44.99,31.72,32.159999999999997,49.68,50.65,49.97,49.63,6.Space per household average (pin),,6.每戶建坪平均數(坪),49.95,59.55,57.98,54.23,57.79,49.52,46.44,6.Space per household average (pin),,6.每戶建坪平均數(坪),51.25,49.96,46.66,42.34,32.97,52.21,55.3,6.Space per household average (pin)
7.每戶建坪中位數(坪),39,30,30,45,49,48,43,7.Space per household median (pin),,7.每戶建坪中位數(坪),47,55,60,50,57,50,40,7.Space per household median (pin),,7.每戶建坪中位數(坪),50,44,42,37,30,45,51,7.Space per household median (pin)
二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,B.Main household equipment (%)
1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,1.Percentage of household with equip.
(1)彩色電視機,98.47,99.41,98.8,98.26,97.76,96.8,98.51,(1)Color TV,,(1)彩色電視機,98.03,98.4,99.34,98.63,97.66,98.33,99.59,(1)Color TV,,(1)彩色電視機,98.25,98.87,98.01,99.52,99.4,97.63,98.7,(1)Color TV
一般彩色電視機,3.94,0.61,2.14,2.87,5.45,4.0599999999999996,6.44,Non-LCD TV,,一般彩色電視機,3.46,3.16,6.73,5.04,8.06,5.55,2.92,Non-LCD TV,,一般彩色電視機,9.64,7.69,2.91,4.49,4.0599999999999996,4.71,4.5599999999999996,Non-LCD TV
液晶、電漿電視,96.41,99.24,97.56,97.25,95.19,94.47,94.76,LCD、PDP TV,,液晶、電漿電視,96.9,96.82,97.27,96.33,92.44,94.68,97.17,LCD、PDP TV,,液晶、電漿電視,92.02,94.09,96.53,99.04,98.1,95.97,94.82,LCD、PDP TV
(2)數位影音光碟機,8.5299999999999994,13.92,7.5,9.25,8.86,5.19,6.97,(2)DVD player,,(2)數位影音光碟機,4.24,18.309999999999999,7.09,3.39,5.63,5.66,4.75,(2)DVD player,,(2)數位影音光碟機,3.2,0.68,3.41,0.97,10.59,20.93,0.93,(2)DVD player
(3)攝影機,3.11,3.84,5.83,2.89,3.72,1.9,1.91,(3)Movies camera,,(3)攝影機,2.4700000000000002,2.31,1.93,1.83,3.78,2.0699999999999998,1.49,(3)Movies camera,,(3)攝影機,2.31,1.02,1.54,0,1.97,5.15,0.64,(3)Movies camera
(4)音響,18.059999999999999,26.1,23.31,22.92,19.95,8.59,10.94,(4)Stereo,,(4)音響,12.34,22.42,17.579999999999998,15.45,12.38,9.14,10.28,(4)Stereo,,(4)音響,9.0399999999999991,6.3,6.48,7.53,21.91,29.91,7.02,(4)Stereo
(5)鋼琴(含電子琴),6.34,3.53,13.32,6.55,6.52,5.49,5.16,(5)Piano,,(5)鋼琴(含電子琴),7.32,7.81,5.3,4.75,5.58,4.0199999999999996,4.9400000000000004,(5)Piano,,(5)鋼琴(含電子琴),4.82,5.47,6.06,0.48,4.76,15,2.59,(5)Piano
(6)數位相機,9.48,12.83,9.1,12.76,13.04,6.76,6.54,(6)Digital camera,,(6)數位相機,4.83,11.83,7.63,7.12,6.02,5.03,4.47,(6)Digital camera,,(6)數位相機,4.4400000000000004,2.68,2.77,1.48,8.2799999999999994,19.21,7.66,(6)Digital camera
(7)電視遊樂器,9.43,14.16,13.22,10.050000000000001,11.98,5.74,6.31,(7)Video game,,(7)電視遊樂器,5.75,14.13,6.97,3.7,3.05,3.92,5.37,(7)Video game,,(7)電視遊樂器,3.96,2.19,2.61,0.97,8.17,17.72,1.34,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),85.58,94.66,96.16,85.06,81.55,80.64,87.98,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),80.56,85.96,82.82,74.069999999999993,73.150000000000006,64.09,66.599999999999994,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),80.25,73.89,74.209999999999994,88.05,92.67,84.77,78.41,(8)Cable TV(MOD included)
(9)家用電腦,67.36,78.88,82.2,71.319999999999993,72.13,59.99,60.3,(9)Personal computer,,(9)家用電腦,57.7,72.56,65.150000000000006,59.46,60.9,43.88,40.58,(9)Personal computer,,(9)家用電腦,50.95,28.87,44.8,31.73,55.7,78.86,56.49,(9)Personal computer
(10)電話機,84.43,88.22,88.34,78.61,83.16,85.62,81.400000000000006,(10)Telephone,,(10)電話機,84.75,73.3,90.7,89.13,87.67,86.91,93.27,(10)Telephone,,(10)電話機,76.89,65.75,74.83,94.97,85.11,79.02,87.1,(10)Telephone
(11)行動電話,96.57,99.02,98.55,98.03,96.97,93.91,96.46,(11)Cell phone,,(11)行動電話,94.81,96.4,96.21,93.88,95.96,90.18,89.39,(11)Cell phone,,(11)行動電話,94.22,93.37,95.77,82.99,96.52,98.38,97.44,(11)Cell phone
(12)連網(使用電腦或其他設備),93.18,97.7,97.81,96.19,95.85,88.45,93.95,(12)Internet facility,,(12)連網(使用電腦或其他設備),89.2,91.78,93.17,84.61,91.27,78.010000000000005,82.26,(12)Internet facility,,(12)連網(使用電腦或其他設備),84.01,87.95,88.71,66.989999999999995,92.14,95.27,93.47,(12)Internet facility
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,
110年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2021",,110年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2021",,110年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2021"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分(續三),Table 8. Household Housing and Household Facilities by Areas (Cont.3),,第8表家庭住宅及主要設備概況按區域別分(續四),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.4),,第8表家庭住宅及主要設備概況按區域別分(續完),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.End),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 110 年,,,,,2 0 2 1,,,,,民 國 110 年,,,,,2 0 2 1,,,,,民 國 110 年,,,,,2 0 2 1,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(13)汽車,60.31,48.67,46.56,73.05,68.58,62.16,59.3,(13)Sedan vehicle,,(13)汽車,66.94,81.98,72.08,69.37,71.099999999999994,64.849999999999994,65.06,(13)Sedan vehicle,,(13)汽車,60.42,57.48,59.64,33.33,43.56,70.66,67.260000000000005,(13)Sedan vehicle
(14)機車,83.66,80.67,59.85,86.24,89.74,90.51,92.04,(14)Motorcycle,,(14)機車,86.36,84.2,87.55,87.68,86.26,86.61,82.94,(14)Motorcycle,,(14)機車,93.52,86.3,85.11,78.34,73.28,89.82,92.99,(14)Motorcycle
(15)電磁爐,32.17,44.8,33.159999999999997,37.36,32.29,23.42,23.13,(15)Electro-magnetic oven,,(15)電磁爐,30.6,28.83,25.08,25.47,24.25,32.229999999999997,24.61,(15)Electro-magnetic oven,,(15)電磁爐,22.18,12.47,19.09,15.99,39.97,48.66,42.07,(15)Electro-magnetic oven
(16)冷暖氣機,95.88,99.54,99.5,97.18,94.23,94.33,96.14,(16)Air conditioner,,(16)冷暖氣機,94.21,96.22,95.17,94.61,77.95,94.84,88.39,(16)Air conditioner,,(16)冷暖氣機,91.89,81.19,89.27,91.3,97.64,97.6,98.1,(16)Air conditioner
(17)除濕機,41.01,60.81,60.97,64.13,30.97,19.63,18.45,(17)Dehumidifier,,(17)除濕機,69.959999999999994,47.14,41.44,12.68,24.31,20.89,15.43,(17)Dehumidifier,,(17)除濕機,14.92,15.55,23.67,32.729999999999997,86.33,57.13,19.059999999999999,(17)Dehumidifier
(18)洗衣機,98.92,99.96,99.41,98.77,99.05,98.17,98.46,(18)Washing machine,,(18)洗衣機,98.88,98.43,99.16,98.45,98.06,98.1,97.63,(18)Washing machine,,(18)洗衣機,97.66,97.06,100,99.52,99.06,99.02,98.73,(18)Washing machine
(19)烘衣機,13.35,15.37,16.97,26.11,12.21,3.92,2.2400000000000002,(19)Drier,,(19)烘衣機,26.53,26.54,28.95,9.81,13.08,9,6.48,(19)Drier,,(19)烘衣機,4.17,5.5,12.09,3.44,18.95,25.63,3.19,(19)Drier
(20)空氣清淨機,23.39,28.63,25.59,27.92,27.47,20.190000000000001,24.54,(20)Air-clean machine,,(20)空氣清淨機,13.63,24.93,17.41,16.57,12.79,14.47,10.16,(20)Air-clean machine,,(20)空氣清淨機,16.809999999999999,8.52,9.01,7.96,13.41,33.35,17.649999999999999,(20)Air-clean machine
(21)濾水器,39.130000000000003,41.46,43.83,53.86,49.24,32.590000000000003,34.229999999999997,(21)Water filter machine,,(21)濾水器,29.12,56.14,36.479999999999997,26.04,21.13,23.77,29.7,(21)Water filter machine,,(21)濾水器,25.02,17.29,18.420000000000002,6.01,35.200000000000003,53.63,32.409999999999997,(21)Water filter machine
(22)吸塵器,50.62,56.34,62.42,53.48,55.8,40.659999999999997,47.45,(22)Vacuum cleaner,,(22)吸塵器,46.3,61.15,46.44,44.67,38.22,35.700000000000003,33.24,(22)Vacuum cleaner,,(22)吸塵器,30.51,28.89,29.29,14.45,50.55,73.27,51.2,(22)Vacuum cleaner
(23)熱水器,99.76,100,99.9,100,99.9,99.54,99.33,(23)Geyser,,(23)熱水器,99.72,99.64,100,99.54,99.34,99.08,99.57,(23)Geyser,,(23)熱水器,99.72,99.26,100,99.52,100,100,100,(23)Geyser
(24)開飲機,38.619999999999997,41.47,27.72,44.79,43.32,25.52,30.16,(24)Hot-warm water fountain,,(24)開飲機,47.3,45.3,57.45,54.23,33.06,44.05,25.99,(24)Hot-warm water fountain,,(24)開飲機,49.23,44.46,49.6,74.319999999999993,33.86,42.92,22.91,(24)Hot-warm water fountain
(25)微波爐,44.64,53.81,56.7,54.16,47.07,32.01,32.21,(25)Microwave oven,,(25)微波爐,32.67,51.92,42.75,42.77,35.93,35.450000000000003,26.68,(25)Microwave oven,,(25)微波爐,33.630000000000003,27.31,23.81,25.41,40.56,61.25,38.78,(25)Microwave oven
(26)報紙,7.21,5.09,8.3699999999999992,7.66,8.18,10.26,8.43,(26)Newspaper,,(26)報紙,4.66,3.57,6.9,7.58,5.8,4.96,10.48,(26)Newspaper,,(26)報紙,3.81,7.05,8.6,0.48,3.51,8.1300000000000008,8.36,(26)Newspaper
(27)期刊雜誌,2.88,5.69,3.73,3.03,2.08,2.17,1.39,(27)Magazine,,(27)期刊雜誌,2.59,4.32,3.16,1.86,0.81,0.85,0.72,(27)Magazine,,(27)期刊雜誌,0.21,0.74,0.96,0,2.2400000000000002,3.03,4.55,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households
(1)彩色電視機,149.6,140.82,144.47999999999999,156.16999999999999,148.30000000000001,150.85,158.56,(1)Color TV,,(1)彩色電視機,169.82,162.13999999999999,169.33,147.76,139.78,150.22999999999999,142.04,(1)Color TV,,(1)彩色電視機,149.12,150.85,137.9,161.38,151.19999999999999,150.97,136.9,(1)Color TV
一般彩色電視機,4.3899999999999997,0.73,2.73,3.18,5.83,4.74,7.5,Non-LCD TV,,一般彩色電視機,3.46,3.86,7.31,5.04,8.7799999999999994,6.21,2.92,Non-LCD TV,,一般彩色電視機,9.94,9.16,3.22,5.44,4.0599999999999996,4.71,5.2,Non-LCD TV
液晶、電漿電視,145.21,140.1,141.76,152.99,142.46,146.1,151.06,LCD、PDP TV,,液晶、電漿電視,166.36,158.28,162.02000000000001,142.72,130.99,144.02000000000001,139.12,LCD、PDP TV,,液晶、電漿電視,139.19,141.69999999999999,134.68,155.94,147.13999999999999,146.25,131.69999999999999,LCD、PDP TV
(2)數位影音光碟機,8.7799999999999994,14.05,7.85,9.4,9.06,5.85,7.26,(2)DVD player,,(2)數位影音光碟機,4.24,18.850000000000001,7.28,3.39,6.02,5.86,4.75,(2)DVD player,,(2)數位影音光碟機,3.2,0.68,4.09,0.97,10.59,21.9,0.93,(2)DVD player
(3)攝影機,3.42,3.93,6.38,3.66,4.13,2.17,2.0699999999999998,(3)Movies camera,,(3)攝影機,2.4700000000000002,3.37,2.35,2.06,3.78,2.0699999999999998,1.92,(3)Movies camera,,(3)攝影機,2.52,1.34,1.54,0,1.97,5.45,0.64,(3)Movies camera
(4)音響,18.59,26.21,24.8,23.42,20.48,9.1300000000000008,11.31,(4)Stereo,,(4)音響,12.93,23.51,17.579999999999998,15.68,12.76,9.65,10.61,(4)Stereo,,(4)音響,9.84,6.3,6.76,7.53,21.91,31.17,7.02,(4)Stereo
(5)鋼琴(含電子琴),6.47,3.61,13.36,6.76,6.61,5.56,5.26,(5)Piano,,(5)鋼琴(含電子琴),7.56,8.52,5.3,4.9800000000000004,5.58,4.2,5.36,(5)Piano,,(5)鋼琴(含電子琴),5.0999999999999996,5.47,6.06,0.48,4.76,15,2.59,(5)Piano
(6)數位相機,10.67,13.62,10.55,14.35,14.93,8.65,7.27,(6)Digital camera,,(6)數位相機,4.83,13.73,9.32,7.12,7.6,5.03,4.9000000000000004,(6)Digital camera,,(6)數位相機,5.8,2.68,2.77,1.48,8.9,23.92,7.98,(6)Digital camera
(7)電視遊樂器,10.16,14.52,14.98,11.73,13.22,6.21,6.55,(7)Video game,,(7)電視遊樂器,5.75,15.64,6.97,3.7,3.05,3.92,5.37,(7)Video game,,(7)電視遊樂器,4.24,2.19,2.95,0.97,8.4700000000000006,19.64,1.34,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),86.61,96.04,96.85,85.85,83.62,81.78,88.89,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),82.14,86.51,83.24,74.069999999999993,73.58,64.86,66.95,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),80.459999999999994,75.72,74.77,89.1,94.27,86.33,78.41,(8)Cable TV(MOD included)
(9)家用電腦,107.32,119.13,141.49,116.45,117.39,98.54,96.07,(9)Personal computer,,(9)家用電腦,89.24,128.63999999999999,90.04,87.77,86.92,64.41,62.18,(9)Personal computer,,(9)家用電腦,69.400000000000006,42.59,62.58,37.119999999999997,80.599999999999994,163.56,84.04,(9)Personal computer
(10)電話機,85.87,88.54,92.25,80.37,83.78,87.83,82.43,(10)Telephone,,(10)電話機,86.93,73.89,92.16,90.01,87.67,88.59,96.65,(10)Telephone,,(10)電話機,78.349999999999994,66.849999999999994,75.38,95.54,85.83,80.7,89.04,(10)Telephone
(11)行動電話,241.36,261.60000000000002,246.85,257.67,241.99,230.86,235.96,(11)Cell phone,,(11)行動電話,232.88,266.38,243.74,232.66,227.66,206.37,198.1,(11)Cell phone,,(11)行動電話,213.68,197.56,198.67,156.97999999999999,222.4,265.75,224.14,(11)Cell phone
(12)汽車,72.11,51.36,49.2,92.91,82.33,77.27,66.73,(12)Sedan vehicle,,(12)汽車,84.92,121.79,99.97,89.69,93.83,82.98,82.84,(12)Sedan vehicle,,(12)汽車,73.13,66.75,70.83,37.36,47.88,88.45,84.27,(12)Sedan vehicle
(13)機車,152.16,140.87,85.21,156.84,168.51,181.89,188.15,(13)Motorcycle,,(13)機車,152.57,150.68,160.69999999999999,171,155.27000000000001,147.78,144.44999999999999,(13)Motorcycle,,(13)機車,171.65,135.66999999999999,134.04,131.9,105.02,176.47,172.77,(13)Motorcycle
(14)電磁爐,32.58,44.9,33.57,37.770000000000003,32.549999999999997,24.06,23.54,(14)Electro-magnetic oven,,(14)電磁爐,32.380000000000003,31.08,26.2,25.87,24.25,32.229999999999997,24.61,(14)Electro-magnetic oven,,(14)電磁爐,22.18,12.86,19.71,16.48,40.549999999999997,49.33,42.69,(14)Electro-magnetic oven
(15)冷暖氣機,256.76,266.95999999999998,274.81,269.89999999999998,243.39,247.28,261.49,(15)Air conditioner,,(15)冷暖氣機,268.33,293.35000000000002,270.19,246.25,160.24,252.46,224.46,(15)Air conditioner,,(15)冷暖氣機,226.29,191.45,217.02,210.8,222.73,323.39,252.94,(15)Air conditioner
(16)除濕機,52.36,69.08,78.13,88.59,37.42,25.57,23.02,(16)Dehumidifier,,(16)除濕機,117,71.010000000000005,54.84,16.37,25.98,24.39,16.690000000000001,(16)Dehumidifier,,(16)除濕機,16.95,20.47,30.98,36.69,129.58000000000001,88.75,20.98,(16)Dehumidifier
