L10109年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 109 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
(6)數位相機,12.69,6.18,13.16,(6)Digital camera
(7)電視遊樂器,8.7100000000000009,2.99,9.1199999999999992,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),85.22,75.92,85.88,(8)Cable TV(MOD included)
(9)家用電腦,65.98,46.08,67.39,(9)Personal computer
(10)電話機,85.86,94.46,85.25,(10)Telephone
(11)行動電話,96.2,94.06,96.35,(11)Cell phone
(12)連網(使用電腦或其他設備),91.31,82.2,91.96,(12)Internet facility
,,,,
,,,,"The Survey of Family Income and Expenditure, 2020"
,,,,
Table 9. Household Housing and Household Facilities by Farm or Non-farm,,,,
,,,,
2 0 2 0,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
(13)汽車,60.26,71.569999999999993,59.45,(13)Sedan vehicle
(14)機車,83.26,90.68,82.74,(14)Motorcycle
(15)電磁爐,32.22,23.99,32.799999999999997,(15)Electro-magnetic oven
(16)冷暖氣機,95.99,90.48,96.38,(16)Air conditioner
(17)除濕機,40.56,18.89,42.09,(17)Dehumidifier
(18)洗衣機,99,98.44,99.04,(18)Washing machine
(19)烘衣機,13.69,12.61,13.77,(19)Drier
(20)空氣清淨機,22.45,9.57,23.36,(20)Air-clean machine
(21)濾水器,39.840000000000003,26.64,40.78,(21)Water filter machine
(22)吸塵器,49.77,35.08,50.81,(22)Vacuum cleaner
(23)熱水器,99.6,99.21,99.63,(23)Geyser
(24)開飲機,39.35,53.81,38.33,(24)Hot-warm water fountain
(25)微波爐,43.57,30.61,44.49,(25)Microwave oven
(26)報紙,7.72,10.39,7.53,(26)Newspaper
(27)期刊雜誌,3.36,1.29,3.51,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,2.Average No. per hundred households
(1)彩色電視機,151.82,152.91999999999999,151.74,(1)Color TV
一般彩色電視機,5.67,10.33,5.34,Non-LCD TV
液晶、電漿電視,146.13999999999999,142.59,146.4,LCD、PDP TV
(2)數位影音光碟機,11.7,5.95,12.11,(2)DVD player
(3)攝影機,3.46,2.75,3.51,(3)Movies camera
(4)音響,19.940000000000001,15.4,20.260000000000002,(4)Stereo
(5)鋼琴(含電子琴),6.78,2.4700000000000002,7.08,(5)Piano
(6)數位相機,14.28,6.61,14.83,(6)Digital camera
(7)電視遊樂器,9.4,3.08,9.85,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),86.31,76.41,87.01,(8)Cable TV(MOD included)
(9)家用電腦,100.31,61.47,103.06,(9)Personal computer
(10)電話機,87.92,96.69,87.3,(10)Telephone
(11)行動電話,240.79,233.42,241.32,(11)Cell phone
(12)汽車,71.81,95.88,70.099999999999994,(12)Sedan vehicle
(13)機車,151.61000000000001,176.47,149.85,(13)Motorcycle
(14)電磁爐,32.630000000000003,24.18,33.229999999999997,(14)Electro-magnetic oven
(15)冷暖氣機,254.66,225.47,256.73,(15)Air conditioner
(16)除濕機,51.77,25.47,53.63,(16)Dehumidifier
(17)洗衣機,102.16,103.66,102.05,(17)Washing machine
(18)烘衣機,13.74,12.8,13.81,(18)Drier
(19)空氣清淨機,27.21,11.47,28.33,(19)Air-clean machine
(20)濾水器,40.299999999999997,26.73,41.26,(20)Water filter machine
(21)吸塵器,55.49,38.14,56.72,(21)Vacuum cleaner
(22)熱水器,107.82,113.27,107.44,(22)Geyser
(23)開飲機,40.130000000000003,55.07,39.07,(23)Hot-warm water fountain
(24)微波爐,43.75,30.89,44.66,(24)Microwave oven
(25)報紙,7.83,10.39,7.65,(25)Newspaper
(26)期刊雜誌,3.8,1.29,3.97,(26)Magazine
