appleL05106年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2017"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
2.經常移轉支出,201333,71511,136152,136804,283213,88572,256010,188159,2.Current transfer expenditures
(1)對私人,49002,26823,46360,25527,67503,20025,43598,48954,(1)To private
(2)對政府,33811,12274,28766,19428,48397,14854,36746,29060,(2)To government
(3)社會保險,115799,31920,53782,91622,164874,53480,174579,107099,(3)Social insurance
(4)對國外,2721,494,7244,227,2439,213,1087,3046,(4)To abroad
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
106年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2017"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 106 年,,,,單位：元,2 0 1 7 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,811670,359514,626965,640310,1001985,630111,1123982,783007,C.Consumption expenditures
1.食品及非酒精飲料,116905,41226,94505,86062,137134,105720,186757,113757,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9701,5574,6210,8055,11002,5729,15325,11131,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,23274,8322,14916,17583,31316,14749,33109,21099,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,194006,132534,183129,171197,222184,176788,211984,187261,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,174733,122974,167165,155090,200241,158530,184156,168077,(1)Rent and water charges
(2)電費及燃料,19273,9560,15963,16107,21943,18258,27828,19184,(2)Power and fuel
5.家具設備及家務維護,20677,9614,17924,15508,26628,14626,23548,19740,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,123765,51052,112818,92373,135424,110258,190348,133354,6.Health
7.交通,76765,26401,52591,52958,104272,39447,108382,67972,7.Transport
(1)個人交通工具之購置,15734,4596,9643,9376,22645,6260,23994,11358,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,44797,15227,31059,29993,59872,22572,64614,42111,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,10661,4784,7570,10005,14303,7772,11927,9643,(3)Transport services
(4)汽、機車保險費,5574,1793,4319,3584,7453,2843,7847,4860,(4)Insurance of vehicles
8.通訊,27672,10507,16389,24308,36589,19165,39201,25906,8.Communication
9.休閒與文化,47350,19530,40819,34489,64381,25960,52712,39159,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),24744,9025,25864,15825,33464,9807,24587,20812,(1)Package holidays
(2)娛樂消遣及文化服務,11468,6616,8481,9668,14867,9119,13336,10088,(2)Recreational and cultural services
(3)書報雜誌文具,4405,723,1511,3502,6799,3502,7134,2733,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6733,3166,4964,5494,9250,3533,7654,5527,(4)Recreational facilities
10.教育,30153,403,423,19966,52276,24265,58581,11881,10.Education
11.餐廳及旅館,97388,35510,53531,86876,128181,64720,141142,98461,11.Restaurants and hotels
12.什項消費,44015,18841,33710,30936,52598,28684,62895,53288,12.Miscellaneous goods and services
可支配所得,1018941,428207,776676,782009,1291646,746761,1371693,991986,Disposable income
消費支出,811670,359514,626965,640310,1001985,630111,1123982,783007,Consumption expenditures
儲蓄,207271,68693,149712,141700,289662,116649,247712,208979,Saving
所得總額,1292578,544362,983312,977554,1661327,893795,1702970,1249415,Current receipts
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
