appleL05107年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2018"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
107年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2018"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 107 年,,,,單位：元,2 0 1 8 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,811359,367690,629697,654579,997244,640778,1136784,790331,C.Consumption expenditures
1.食品及非酒精飲料,116444,42218,91881,87346,137517,109153,186754,114675,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9781,5049,7002,8237,11208,5110,14888,11226,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22783,8659,14537,18045,30471,14738,32519,21497,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,194288,134628,176942,175547,226068,161135,212649,189057,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,175747,125174,161767,159898,204804,143945,185794,170724,(1)Rent and water charges
(2)電費及燃料,18541,9454,15175,15649,21264,17190,26854,18333,(2)Power and fuel
5.家具設備及家務維護,20006,9569,16442,15140,25381,12715,24887,20245,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,128632,57748,131283,97992,134667,130382,189362,138834,6.Health
7.交通,75810,25455,51728,57810,102142,36341,109176,69100,7.Transport
(1)個人交通工具之購置,14128,4119,8631,13065,18836,866,22833,11148,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,45374,14628,31678,31250,61284,24865,65559,42974,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,10455,4855,7101,9378,14282,7551,12199,9508,(3)Transport services
(4)汽、機車保險費,5853,1853,4318,4117,7740,3060,8585,5470,(4)Insurance of vehicles
8.通訊,25570,9369,15533,22383,33799,17200,37016,24626,8.Communication
9.休閒與文化,46572,19394,36794,33844,64293,26821,54788,40915,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),24561,9000,22829,15660,34066,10254,26669,21947,(1)Package holidays
(2)娛樂消遣及文化服務,11647,6598,8281,9993,15137,8473,14098,10803,(2)Recreational and cultural services
(3)書報雜誌文具,3951,715,1246,2951,6079,3933,7040,2213,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6413,3081,4439,5240,9010,4161,6981,5952,(4)Recreational facilities
10.教育,28541,357,516,19186,48900,27006,59207,10652,10.Education
11.餐廳及旅館,99978,35455,55449,86930,131545,66553,152596,99898,11.Restaurants and hotels
12.什項消費,42955,19790,31590,32119,51254,33624,62943,49605,12.Miscellaneous goods and services
可支配所得,1036304,445101,778153,829044,1310638,729289,1420326,1026848,Disposable income
消費支出,811359,367690,629697,654579,997244,640778,1136784,790331,Consumption expenditures
儲蓄,224945,77411,148456,174465,313394,88511,283542,236517,Saving
所得總額,1310447,561793,975562,1028758,1683359,868637,1764669,1294993,Current receipts
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
