appleL0594年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2005"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,701076,302758,477472,564500,842181,547328,911742,631765,C.Consumption expenditures
1.食品費,153072,54267,93950,125026,183078,126204,218268,141575,1.Food
2.飲料費,6461,3198,4022,5136,7630,4336,8883,6279,2.Beverage
3.菸草,6091,2966,3754,4892,6818,4227,9497,6122,3.Tobacco
4.衣著、鞋、襪類,23863,8467,13833,18664,30213,13851,31414,20341,4.Clothing and footwear
5.房地租及水費,144110,98332,127117,131716,161968,131060,150177,138377,5.Rent and water charges
6.燃料及燈光,19455,9826,14614,16557,22213,17082,25679,17545,6.Fuel and light
7.家具及家庭設備,12233,5334,10839,8709,14409,7705,14341,12239,7.Furniture and family facilities
8.家事管理,13109,7109,9474,9299,16783,9339,13573,10430,8.Household operations
9.保健及醫療,93982,41682,83505,70787,94275,99590,152730,99055,9.Health care and medical
10.運輸交通及通訊,88037,27606,47371,67343,114270,38568,114133,79401,10.Transport and communications
(1)交通及通訊工具之購置,12642,1339,5635,9272,17222,834,16972,13177,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,40319,12166,22333,27063,52270,17242,55141,34453,(2)Operation of transport equipment
(3)乘交通設備之費用,8112,4155,5435,7881,10077,5931,8479,7060,(3)Purchased transportation
(4)其他通訊費,22041,8601,11185,19878,28369,12280,26749,20126,(4)Other communications
(5)汽機車保險費支出,4922,1345,2782,3249,6332,2281,6793,4585,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,91059,23443,36405,66089,129647,56738,110995,55209,"11.Recreation ,education and culture"
(1)旅遊費用,20951,10460,21250,14730,25067,8792,20508,19452,(1)Traveling
(2)娛樂消遣服務,9433,6248,6971,9055,11066,6813,10011,8830,(2)Recreation service
(3)書報雜誌文具,4419,1614,2375,3332,5938,3381,5143,3195,(3)Books and stationery
(4)娛樂器材及附屬品,8485,3818,5088,6381,11260,3949,9255,6696,(4)Recreation facilities
(5)教育與研究費,47772,1303,720,32590,76317,33803,66078,17037,(5)Education and research
12.什項消費,49602,20528,32588,40283,60875,38627,62051,45191,12.Miscellaneous
可支配所得,894574,381257,624396,721647,1068312,669944,1161963,830567,Disposable income
消費支出,701076,302758,477472,564500,842181,547328,911742,631765,Consumption expenditures
儲蓄,193497,78499,146924,157147,226132,122616,250222,198803,Saving
所得總額,1133642,488677,794845,896252,1367754,800873,1439376,1045079,Current receipts
