appleL0497年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2008",,97年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2008"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
(5)汽機車保險費支出,4530,8993,6617,6023,4256,4161,(5)Insurance of transport equipment,,(5)汽機車保險費支出,3578,4964,4679,2867,1633,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,88122,184509,155320,121040,94260,83921,"11.Recreation ,education and culture",,11.娛樂消遣及教育文化服務,41650,83816,82202,54814,32043,"11.Recreation ,education and culture"
(1)旅遊費用,20469,55144,50362,29795,21006,15131,(1)Traveling,,(1)旅遊費用,7940,12236,12223,7730,11560,(1)Traveling
(2)娛樂消遣服務,8212,12214,10907,9814,8991,8098,(2)Recreation service,,(2)娛樂消遣服務,5256,8248,7929,6679,5742,(2)Recreation service
(3)書報雜誌文具,3503,7181,6794,4873,3506,3239,(3)Books and stationery,,(3)書報雜誌文具,1928,3076,2826,1955,1658,(3)Books and stationery
(4)娛樂器材及附屬品,8428,17638,18453,12393,9632,6981,(4)Recreation facilities,,(4)娛樂器材及附屬品,4028,6609,6849,4215,3519,(4)Recreation facilities
(5)教育與研究費,47509,92332,68805,64165,51126,50472,(5)Education and research,,(5)教育與研究費,22498,53647,52375,34235,9564,(5)Education and research
12.什項消費,40635,75573,67374,51109,42997,38515,12.Miscellaneous,,12.什項消費,30645,37574,35802,28071,22013,12.Miscellaneous
可支配所得,913687,1636559,1495113,1135816,933328,870738,Disposable income,,可支配所得,618288,870564,859655,684600,495055,Disposable income
消費支出,705413,1130818,983944,865896,732389,677600,Consumption expenditures,,消費支出,493887,706198,693330,561322,437792,Consumption expenditures
儲蓄,208274,505741,511169,269920,200938,193138,Saving,,儲蓄,124401,164366,166325,123278,57263,Saving
所得總額,1150912,2134682,1928861,1454998,1172782,1079646,Current receipts,,所得總額,750666,1080611,1068426,840156,609900,Current receipts
