L09105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016",,105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016",,105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 105 年,,,,,2 0 1 6,,,,,民 國 105 年,,,,,2 0 1 6,,,,,民 國 105 年,,,,,2 0 1 6,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,1.Percentage of household with equip.
(1)彩色電視機,99.14,99.88,98.9,99.27,98.75,98.52,99.1,(1)Color TV,,(1)彩色電視機,99.7,99.1,100,99.82,99.34,99.23,98.97,(1)Color TV,,(1)彩色電視機,100,97.43,96.86,98.53,97.76,97.28,99.68,(1)Color TV
一般彩色電視機,21.71,13.13,14.94,18.59,24.91,25.79,26.76,Non-LCD TV,,一般彩色電視機,25.35,18.37,20.39,32.86,27.95,31.51,35.18,Non-LCD TV,,一般彩色電視機,25.75,30.94,27.94,19.59,15.22,17.989999999999998,24.55,Non-LCD TV
液晶、電漿電視,87.51,94.72,90.13,89.79,85.1,84.28,85.26,LCD、PDP TV,,液晶、電漿電視,86.48,91.93,92.15,79.260000000000005,80.680000000000007,80.16,75.849999999999994,LCD、PDP TV,,液晶、電漿電視,85.12,77.25,78.459999999999994,89.03,88.72,92.97,84.49,LCD、PDP TV
(2)數位影音光碟機,20.81,30.26,31.96,22.22,18.11,10.61,17.23,(2)DVD player,,(2)數位影音光碟機,11.47,25.79,13.31,10.92,16.48,12.97,13.49,(2)DVD player,,(2)數位影音光碟機,6.95,10.130000000000001,13.09,3.52,20.309999999999999,43.15,10.29,(2)DVD player
(3)攝影機,4.66,5.92,8.5299999999999994,5.92,4.9000000000000004,2.31,3.23,(3)Movies camera,,(3)攝影機,3.08,3.06,3.39,2.11,2.36,2.2999999999999998,2.81,(3)Movies camera,,(3)攝影機,1.2,1.86,2.0099999999999998,3.28,4.22,9.7200000000000006,3.86,(3)Movies camera
(4)音響,23.59,30.94,31.73,30.55,24.79,13.93,15.07,(4)Stereo,,(4)音響,19.579999999999998,30.77,19.89,16.37,18.05,19.36,16.100000000000001,(4)Stereo,,(4)音響,15.45,18.53,14.05,16.59,16.43,32.409999999999997,19.989999999999998,(4)Stereo
(5)鋼琴(含電子琴),7.88,5.08,14.14,8.42,8.44,5.68,7.9,(5)Piano,,(5)鋼琴(含電子琴),9.41,13.9,9.43,3.87,5.33,3.61,5.74,(5)Piano,,(5)鋼琴(含電子琴),3.28,5.28,9.41,2.92,5.24,18.93,9.01,(5)Piano
(6)數位相機,26.66,35.71,36.630000000000003,29.53,28.64,18.22,20.8,(6)Digital camera,,(6)數位相機,14.99,22.67,22.12,22.46,12.12,16.64,15.86,(6)Digital camera,,(6)數位相機,16.66,14.88,14.03,13.71,20.38,44.9,24.78,(6)Digital camera
(7)電視遊樂器,5.91,8.33,9.4499999999999993,6.56,6.1,3.64,3.66,(7)Video game,,(7)電視遊樂器,4.3099999999999996,6.53,4.82,2.95,3.05,2.56,3.27,(7)Video game,,(7)電視遊樂器,1.24,3.18,2.56,2.04,6.89,12.96,6.1,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),85.87,95.19,91.9,88.98,83.38,82.32,89.49,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),75.48,83.45,88.96,71.900000000000006,76.599999999999994,67.34,57.63,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),77.069999999999993,83.46,71.42,88.48,92.27,84.98,83.81,(8)Cable TV(MOD included)
(9)家用電腦,68.75,77.28,78.209999999999994,74.81,69.27,62.95,67.430000000000007,(9)Personal computer,,(9)家用電腦,60.44,68.87,64.78,64.95,55.87,48.75,47.73,(9)Personal computer,,(9)家用電腦,54.9,39.78,49.7,52.18,67.099999999999994,81.680000000000007,62.88,(9)Personal computer
(10)電話機,92.75,95.77,95.55,91.54,88.85,93.61,92.56,(10)Telephone,,(10)電話機,92.3,85.64,94.35,94.46,92.55,94.73,91.62,(10)Telephone,,(10)電話機,88.77,79.94,84.32,95.72,95.18,89.63,94.23,(10)Telephone
