appleL0286年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 1997"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分,,,,,,Table 1. Average Family Income and Expenditure per,,,,,
,,,,,,,,Household by Size of Household,,,
5.房地租及水費,141474,85064,116873,142327,157647,156697,147619,157279,145800,181925,5.Rent and water charges
6.燃料及燈光,17767,7986,12422,16307,19102,21003,22628,25611,25751,34481,6.Fuel and light
7.家具及家庭設備,14433,5530,10055,14437,17692,15907,16028,17165,16380,21825,7.Furniture and family facilities
8.家事管理,13357,4733,7739,15583,18011,13146,12820,15697,11495,20183,8.Household operations
9.保健及醫療,63348,27783,55048,58509,58432,70566,86349,101748,111862,169636,9.Health care and medical
10.運輸交通及通訊,66111,20199,42098,64763,78471,78353,80651,81062,78096,118649,10.Transport and communications
(1)交通及通訊工具之購置,13897,2738,10957,14959,17339,14722,16938,12853,8284,21096,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,30935,7871,16066,29123,37028,38315,38799,42470,45716,66983,(2)Operation of transport equipment
(3)乘交通設備之費用,9520,4539,6872,8664,10672,11713,11815,11391,10636,10704,(3)Purchased transportation
(4)其他通訊費,7636,3882,6048,7722,8461,8645,8318,8981,8401,11552,(4)Other communications
(5)汽機車保險費支出,4122,1168,2155,4296,4971,4958,4781,5367,5058,8314,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,83192,23430,38932,67392,105654,111618,105372,113356,100642,121890,"11.Recreation ,education and culture"
(1)旅遊費用,22768,11690,20104,23556,27128,22919,21683,24546,23127,32655,(1)Traveling
(2)娛樂消遣服務,8806,4728,6422,8709,10187,10137,9464,9999,9858,11124,(2)Recreation service
(3)書報雜誌文具,6078,2090,3410,6028,7447,7447,7004,7325,6482,9204,(3)Books and stationery
(4)娛樂器材及附屬品,8472,4168,5135,7965,10768,9835,8886,10204,8056,11649,(4)Recreation facilities
(5)教育與研究費,37069,754,3861,21135,50124,61279,58335,61281,53120,57257,(5)Education and research
12.什項消費,42949,17244,28929,41036,49321,48367,54740,57317,58433,77591,12.Miscellaneous
可支配所得,863427,356086,585259,820669,973617,991591,1079149,1150476,1272025,1630614,Disposable income
消費支出,634477,257748,424650,586684,716414,752591,789786,866321,863910,1164137,Consumption expenditures
儲蓄,228951,98338,160609,233985,257203,239000,289363,284155,408116,466477,Saving
所得總額,1097363,454021,741594,1048861,1245426,1262829,1355253,1433032,1568772,2047123,Current receipts
