appleL05101年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2012"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
(4)對國外,2183,1057,4325,1022,2338,117,1111,2212,(4)To abroad
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
101年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2012"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 101 年,,,,單位：元,2 0 1 2 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,727693,321298,539757,560083,879175,544436,980805,708313,C.Consumption expenditures
1.食品及非酒精飲料,110918,36654,83060,81690,128786,103046,173456,105601,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9481,4965,6085,7421,10680,5345,14689,10616,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22053,8076,14151,16062,28223,14143,29881,21912,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,177264,119501,162091,154937,202249,151835,189307,175847,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,156540,108996,145480,137572,179048,132120,160319,155526,(1)Rent and water charges
(2)電費及燃料,20724,10504,16611,17366,23201,19715,28988,20322,(2)Power and fuel
5.家具設備及家務維護,18167,9383,15454,11662,22093,10492,22968,17040,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,105869,43747,98285,76362,111315,87136,164998,110999,6.Health
7.交通,69320,26139,45781,45212,91714,33284,92566,60645,7.Transport
(1)個人交通工具之購置,8598,4203,6760,3185,12521,1459,10072,4085,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46445,15724,29142,29795,61006,21214,65386,43225,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,10021,4694,6915,9662,12691,8568,11058,9584,(3)Transport services
(4)汽、機車保險費,4256,1519,2964,2569,5497,2042,6051,3752,(4)Insurance of vehicles
8.通訊,25413,9357,13631,22761,33012,15429,33874,24330,8.Communication
9.休閒與文化,38440,15138,31767,26810,50545,25002,41465,36117,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),15550,5166,16903,8564,20279,7433,14160,16415,(1)Package holidays
(2)娛樂消遣及文化服務,9968,5621,7633,8240,12296,7886,11493,9068,(2)Recreational and cultural services
(3)書報雜誌文具,5374,964,1841,4208,7984,4964,7561,3439,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7548,3387,5389,5797,9985,4718,8251,7195,(4)Recreational facilities
10.教育,34417,1597,611,22056,56695,27104,56623,15825,10.Education
11.餐廳及旅館,77000,30371,39816,66756,99068,45552,103381,80732,11.Restaurants and hotels
12.什項消費,39350,16370,29025,28354,44794,26067,57597,48650,12.Miscellaneous goods and services
可支配所得,923584,384791,705146,684810,1129927,606477,1207094,937749,Disposable income
消費支出,727693,321298,539757,560083,879175,544436,980805,708313,Consumption expenditures
儲蓄,195891,63492,165389,124727,250752,62042,226289,229436,Saving
所得總額,1176877,494392,894760,857532,1458258,742835,1508513,1184481,Current receipts
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
