appleL0591年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2002"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
(5)從國外,1052,2666,1355,972,190,4671,334,7095,(5)From abroad
6.雜項收入,170,222,187,133,158,155,196,138,6.Miscellaneous receipts
二、非消費支出,188234,81591,128851,119167,230064,87920,215118,173616,B.Nonconsumption expenditures
1.利息支出,32118,16601,17412,24258,42211,13308,30140,24329,1.Interest
2.經常移轉支出,156116,64990,111440,94909,187853,74612,184977,149287,2.Current transfer expenditures
(1)對私人,47185,28611,42362,24679,55946,28825,46496,50830,(1)To private
(2)對政府,34826,13998,23443,19693,44415,14762,37504,29134,(2)To government
(3)社會保險,69198,17583,31529,49695,83796,30518,98254,61615,(3)Social insurance
(4)對國外,4908,4798,14105,842,3697,506,2724,7708,(4)To abroad
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
91年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2002"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 91 年,,,,單位：元,2 0 0 2 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,672619,286736,460864,512815,780237,494223,840910,604725,C.Consumption expenditures
1.食品費,149335,49754,88536,114904,171554,115523,207581,137949,1.Food
2.飲料費,6208,3050,3858,4494,7122,4115,8140,5921,2.Beverage
3.菸草,6213,2726,4041,5009,6702,3273,9041,6546,3.Tobacco
4.衣著、鞋、襪類,23958,8748,13626,17692,28684,14623,30486,22612,4.Clothing and footwear
5.房地租及水費,140356,94359,122566,126457,155604,109000,146369,130163,5.Rent and water charges
6.燃料及燈光,19093,9133,13633,15762,21171,16440,24868,17533,6.Fuel and light
7.家具及家庭設備,11211,4165,8820,6895,13306,7750,12726,12244,7.Furniture and family facilities
8.家事管理,13750,8309,8874,9520,16806,10059,15222,9525,8.Household operations
9.保健及醫療,82627,32656,77489,56176,81778,81729,128903,81001,9.Health care and medical
10.運輸交通及通訊,82248,27837,47459,56865,101097,42376,99084,80912,10.Transport and communications
(1)交通及通訊工具之購置,12659,3678,9129,5436,16418,7682,11184,18730,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,35857,10086,19353,22599,44028,16145,47685,32252,(2)Operation of transport equipment
(3)乘交通設備之費用,8653,4679,5418,8454,10192,5579,9502,7436,(3)Purchased transportation
(4)其他通訊費,20219,8071,10745,17462,24497,9687,24379,18124,(4)Other communications
(5)汽機車保險費支出,4859,1323,2814,2915,5962,3282,6333,4370,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,90919,24516,39902,64284,122296,60625,101399,53721,"11.Recreation ,education and culture"
(1)旅遊費用,21449,12170,24641,13402,23879,13348,21184,21763,(1)Traveling
(2)娛樂消遣服務,9453,5662,6460,8758,10982,5782,10245,8533,(2)Recreation service
(3)書報雜誌文具,5066,1769,2746,3430,6477,3765,5897,3503,(3)Books and stationery
(4)娛樂器材及附屬品,7967,3385,5062,5530,9871,4931,8887,6827,(4)Recreation facilities
(5)教育與研究費,46984,1531,992,33163,71087,32799,55185,13094,(5)Education and research
12.什項消費,46703,21482,32061,34757,54117,28711,57091,46599,12.Miscellaneous
可支配所得,875919,360612,616903,645967,1007842,612731,1098472,873932,Disposable income
消費支出,672619,286736,460864,512815,780237,494223,840910,604725,Consumption expenditures
儲蓄,203300,73876,156039,133151,227605,118508,257562,269207,Saving
所得總額,1111550,471615,788486,804014,1290471,739238,1365341,1090219,Current receipts
