L09102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 102 年,,,,,2 0 1 3,,,,,民 國 102 年,,,,,2 0 1 3,,,,,民 國 102 年,,,,,2 0 1 3,,,
,總 平 均,新 北 市,臺 北 市,臺 中 市,臺 南 市,高 雄 市,宜 蘭 縣,,,,桃 園 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taichung,Tainan,Kaohsiung,Yilan,,,,Taoyuan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,County,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,1.Percentage of household with equip.
(1)彩色電視機,99.33,99.88,99.09,99.51,98.83,98.96,99.14,(1)Color TV,,(1)彩色電視機,99.51,99.41,99.38,99.44,99,99.75,99.78,(1)Color TV,,(1)彩色電視機,99.38,97.91,98.3,98.98,99.68,98.29,99.67,(1)Color TV
一般彩色電視機,47.08,36.71,37.69,48.96,50.93,50.75,54.56,Non-LCD TV,,一般彩色電視機,45.27,42.48,55.02,52.25,59.34,65.42,61.44,Non-LCD TV,,一般彩色電視機,60.21,56.29,61.65,51.06,47.77,39.47,45.49,Non-LCD TV
液晶、電漿電視,70.59,80.42,76.989999999999995,71.349999999999994,64.569999999999993,66.540000000000006,66.06,LCD、PDP TV,,液晶、電漿電視,76.37,79.44,66.45,60.75,54.5,53.18,55.07,LCD、PDP TV,,液晶、電漿電視,61.61,55.98,57.07,66.02,70.27,80.64,70.23,LCD、PDP TV
(2)數位影音光碟機,29.83,37.880000000000003,47.46,27.5,17.14,27.41,22.62,(2)DVD player,,(2)數位影音光碟機,32.85,29.19,25.85,12.58,27.24,18.28,16.18,(2)DVD player,,(2)數位影音光碟機,10.84,12.43,16.649999999999999,13.1,26.88,57.98,33.200000000000003,(2)DVD player
(3)攝影機,6.31,7.41,10.94,6.34,4.91,5.27,3.47,(3)Movies camera,,(3)攝影機,7.71,7.36,3.83,3.3,3.05,2.56,3.44,(3)Movies camera,,(3)攝影機,2.04,3.17,4.3099999999999996,2.0299999999999998,3.54,11.75,5.79,(3)Movies camera
(4)音響,28.51,37.26,37.700000000000003,29.39,19.48,20.67,18.07,(4)Stereo,,(4)音響,34.71,39.53,25.45,15.4,30.82,23.58,17.920000000000002,(4)Stereo,,(4)音響,15.13,18.91,20.03,18.260000000000002,26.55,36.93,25.48,(4)Stereo
(5)鋼琴(含電子琴),9.0399999999999991,6.83,15.99,10.57,7.37,8.84,6.35,(5)Piano,,(5)鋼琴(含電子琴),9.31,13.44,8.24,3.22,6.57,5.55,3.75,(5)Piano,,(5)鋼琴(含電子琴),6.8,8.3000000000000007,7.37,4.5199999999999996,5.77,21.37,6.73,(5)Piano
(6)數位相機,45.99,56.48,59.76,49.07,36.659999999999997,38.57,31.11,(6)Digital camera,,(6)數位相機,51.91,48.29,38.56,32.42,34.85,33.43,25.05,(6)Digital camera,,(6)數位相機,39.630000000000003,24.36,31.37,22.89,37.700000000000003,58.75,47.56,(6)Digital camera
(7)電視遊樂器,8.4,11.03,14.8,9.5,5.31,5.83,5.16,(7)Video game,,(7)電視遊樂器,9.75,12.98,3.2,2.2999999999999998,3.94,3.27,2.8,(7)Video game,,(7)電視遊樂器,2.12,3.56,2.88,1.58,6.38,21.01,7.33,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),84.37,93.45,90.69,83.26,77.59,89.38,74.959999999999994,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),84.56,89.35,89.11,67.36,73.400000000000006,66.72,61.45,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),73.98,73.66,73.47,84.42,93.53,86.92,85.17,(8)Cable TV(MOD included)
(9)家用電腦,72.209999999999994,80.91,80.489999999999995,75.66,66.430000000000007,69.31,65.45,(9)Personal computer,,(9)家用電腦,79.59,77.489999999999995,67.86,64.17,56.55,52.01,54.47,(9)Personal computer,,(9)家用電腦,56.9,45.15,55.63,54.76,67.5,83.58,74.08,(9)Personal computer
(10)電話機,94.69,97.41,96.15,94.19,93.59,93.65,93.65,(10)Telephone,,(10)電話機,93.89,92.76,96.69,94.82,94.54,98.2,96.52,(10)Telephone,,(10)電話機,93.35,80.77,84.02,94.49,94.44,87.98,96.46,(10)Telephone
