,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 屏東縣５歲以上常住人口遷徙情形,,Table 20 Pingtung County Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 屏東縣５歲以上常住人口遷徙情形,表２０,屏東縣,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Pingtung County Migration Status of the Resident Population,Table 20,Pingtung County,Migration Status of the Resident Population
,(1)總計,,(1)Grand total,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,獅子鄉,1156,1006,31,,43,76,0,Shizi Township
,牡丹鄉,1164,998,68,,34,61,3,Mudan Township
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 屏東縣５歲以上常住人口遷徙情形（續完）,,Table 20 Pingtung County Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形（續２）,表２０ 屏東縣５歲以上常住人口遷徙情形（續２）,表２０,屏東縣,５歲以上常住人口遷徙情形（續２）
,,,Aged 5 Years and Over(End),,Table 20 Migration Status of the Resident Population,Table 20 Pingtung County Migration Status of the Resident Population,Table 20,Pingtung County,Migration Status of the Resident Population
,(3)女性,,(3)Female,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,屏東縣,356513,297691,22746,,15257,18866,1953,Pingtung County
,屏東市,101206,78826,9114,,4123,8667,476,Pingtung City
,潮州鎮,27634,22571,2260,,1728,1000,75,Chaozhou Township
,東港鎮,20059,17065,1735,,840,367,52,Donggang Township
,恆春鎮,12398,9955,1466,,265,571,141,Hengchun Township
,萬丹鄉,21822,20158,760,,644,221,39,Wandan Township
,長治鄉,12624,10788,726,,805,304,1,Changzhi Township
,麟洛鄉,4587,4097,133,,274,76,7,Linluo Township
,九如鄉,8946,7675,514,,561,152,44,Jiuru Township
,里港鄉,9271,8237,466,,255,295,18,Ligang Township
,鹽埔鄉,11250,9585,332,,643,629,61,Yanpu Township
,高樹鄉,7842,7235,169,,205,210,23,Gaoshu Township
,萬巒鄉,8218,7477,179,,302,233,27,Wanluan Township
,內埔鄉,28565,22294,1090,,987,3509,685,Neipu Township
,竹田鄉,7486,6542,255,,391,255,43,Zhutian Township
,新埤鄉,3670,3245,84,,234,94,13,Xinpi Township
,枋寮鄉,9579,8434,648,,258,171,68,Fangliao Township
,新園鄉,13934,12718,435,,472,241,68,Xinyuan Township
,崁頂鄉,5115,4518,146,,307,127,17,Kanding Township
,林邊鄉,6497,5508,542,,307,118,22,Linbian Township
,南州鄉,4481,3422,107,,358,591,3,Nanzhou Township
,佳冬鄉,7153,6229,528,,245,143,8,Jiadong Township
,琉球鄉,3181,2612,296,,71,171,31,Liouciou Township
,車城鄉,2705,2277,123,,142,157,6,Checheng Township
,滿州鄉,2164,1943,61,,82,67,11,Manzhou Township
,枋山鄉,1619,1423,71,,58,66,1,Fangshan Township
,三地門鄉,2660,2398,49,,160,53,0,Sandimen Township
,霧臺鄉,709,633,9,,40,24,3,Wutai Township
,瑪家鄉,2731,2362,137,,171,60,1,Majia Township
,泰武鄉,1624,1474,53,,69,27,1,Taiwu Township
,來義鄉,2560,2342,69,,81,64,4,Laiyi Township
,春日鄉,1671,1467,70,,70,63,1,Chunri Township
,獅子鄉,1265,1086,43,,53,81,2,Shizi Township
,牡丹鄉,1287,1095,76,,56,59,1,Mudan Township
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
