分類,資料集名稱,資料集識別碼,提供機關,更新頻率,檔案,來源網址,狀態,位元組,SHA256,下載時間_UTC
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(8).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/50E98F16-C95B-4364-A9A4-2A14084C73CE/download,200,1350735,5a7a729e8d4f9b18f4f25e95853af071ef3a306bc2fd2c4e11b3a15621ff7934,2026-08-16T07:54:25+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(9).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/E8239A45-36C4-4D47-84A7-2F869A8BAF75/download,200,1356292,7a334328ce4c1c29a66b724bb825a1617119c101efd0626ff47c56641d0b384f,2026-08-16T07:54:28+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(6).csv,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/976F62A1-8B2C-479C-A7EA-357F43FD1D04/download,200,400981,96ede5fc9a1675a0a730ee37008506ac5eb20183a381f535c9f69f98e633a1e6,2026-08-16T07:54:31+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(7).csv,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/9B67433D-46E2-4B6A-8708-3853D47604AA/download,200,407924,26236c236ef0cdd1a6f46f6c6af9e44642a71eb07dfd8aef4d50612e8af0414b,2026-08-16T07:54:32+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(10).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/9A819F0A-9CFB-4574-A7D5-3A35B3BA0855/download,200,73338,4ef985a0345ecbd9007e08bfe5a1f32dc3a88db9d283a0b9adcf6e80dffe8306,2026-08-16T07:54:34+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(11).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/DD5B3941-7FAC-4901-BEA7-45C5A2C6EF1C/download,200,1251141,9cfa7d5440d1c7d3c5a552431643811349c5a345ae34d7272663c1ee01395d02,2026-08-16T07:54:36+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(12).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/B4730E6B-6619-4D3E-A32D-46293FF22F04/download,200,71534,91c062a02965c328bcf1f2224d98c3b9d6a6ad3b1723203ae410ebb5e4fef487,2026-08-16T07:54:38+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(13).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/5D26A612-F528-4CC9-9C4A-465EA81E5021/download,200,1354579,5b62d0fd23ddabaa8aa9dfc7bcca7f425521687a125323a5930fa8f5f48ef203,2026-08-16T07:54:40+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(8).csv,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/6A73B828-E85A-4589-8254-4A3E153AF491/download,200,400988,404970dda2b07cf874c2cf642bc07b2ed127ca53370fc0d0a2500b1ee37fece8,2026-08-16T07:54:43+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(14).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/68B4E670-5320-4FA5-ADAB-4E9AB381502A/download,200,1332338,8a69ec79102ce4b4c84d46b3d5a5c88c66b3cbcc69e931a3fdb802bc019dfd6c,2026-08-16T07:54:45+00:00
