COUNTY_ID,COUNTY,TOWN_ID,TOWN,NIGHT_WORK,DAY_WORK(0700~1300),DAY_WORK(1300~1900),DAY_WORK,NIGHT_WEEKEND,DAY_WEEKEND(0700~1300),DAY_WEEKEND(1300~1900),DAY_WEEKEND,MORNING_WORK,MIDDAY_WORK,AFTERNOON_WORK,EVENING_WORK,MORNING_WEEKEND,MIDDAY_WEEKEND,AFTERNOON_WEEKEND,EVENING_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日夜間停留人數,平日日間上午人數,平日日間下午人數,平日日間活動人數,假日夜間停留人數,假日日間上午人數,假日日間下午人數,假日日間活動人數,平日早晨旅次,平日中午旅次,平日午後旅次,平日晚上旅次,假日早晨旅次,假日中午旅次,假日午後旅次,假日晚上旅次,資料時間
68000,桃園市,68000020,中壢區,473276,457527,459991,460515,468813,464016,477527,468386,1368385,1287172,1353929,2000662,1116072,1485052,1535842,2001637,"112Y11M"
68000,桃園市,68000030,大溪區,87739,82395,82029,81997,89857,87874,88561,87736,279141,265682,289175,340291,267853,390804,421225,412604,"112Y11M"
68000,桃園市,68000040,楊梅區,176664,173584,170358,171935,176963,174942,169580,173205,549452,452528,478085,663417,453164,505662,515368,638404,"112Y11M"
68000,桃園市,68000050,蘆竹區,191873,205368,204525,204750,190076,192352,192455,192272,658704,582541,611687,853535,495782,605627,633545,780416,"112Y11M"
68000,桃園市,68000060,大園區,266831,293471,314054,332655,208980,230875,245887,260744,407314,375895,400146,473454,323339,380761,414189,446961,"112Y11M"
68000,桃園市,68000070,龜山區,247986,295319,289994,292719,238094,244377,235401,240788,861114,757087,760544,1040575,576842,675162,674088,851723,"112Y11M"
68000,桃園市,68000080,八德區,198547,175924,175028,175276,199282,188239,186400,187668,556959,450914,478769,707935,454853,527420,532903,689474,"112Y11M"
68000,桃園市,68000090,龍潭區,127529,136440,134125,135312,127663,129595,128637,129092,368174,340457,353531,443075,310231,420335,427979,480753,"112Y11M"
68000,桃園市,68000100,平鎮區,217452,199282,196733,197687,218364,209209,204372,207601,631719,508125,546389,789293,506786,573460,588030,748658,"112Y11M"
68000,桃園市,68000110,新屋區,53329,53153,53347,54204,52446,53021,53476,54069,157027,140761,144967,176110,132345,157992,164960,171813,"112Y11M"
68000,桃園市,68000120,觀音區,87196,97655,96513,98471,84312,86775,84590,86757,266000,226470,231904,279835,200013,204516,209501,238318,"112Y11M"
68000,桃園市,68000130,復興區,6645,7408,7233,7277,9028,11740,11645,11764,15784,23031,21697,15683,22203,48646,43819,24817,"112Y11M"
66000,臺中市,66000010,中區,20607,23637,24690,24066,22737,23851,25126,23653,70531,96067,97315,126479,62900,111095,118459,160699,"112Y11M"
66000,臺中市,66000020,東區,81133,77147,77200,77066,81730,83011,90198,84542,251146,245167,260027,380076,223094,312991,333481,436684,"112Y11M"
66000,臺中市,66000030,南區,148008,134677,132054,132871,144617,140441,134541,138446,384317,356356,365315,576854,300851,382934,385571,533360,"112Y11M"
66000,臺中市,66000040,西區,125529,142797,149015,146098,124548,127494,136176,130481,371383,474192,479112,654049,286531,510538,543254,660343,"112Y11M"
66000,臺中市,66000050,北區,187046,187311,188807,187367,184619,184969,188429,185222,492648,561597,577379,816979,403502,599865,623431,802696,"112Y11M"
66000,臺中市,66000060,西屯區,334709,397358,404235,401068,325965,340980,353161,344774,1046398,1092894,1143398,1624230,765122,1097523,1163652,1504469,"112Y11M"
66000,臺中市,66000070,南屯區,202425,220355,223835,222158,200297,207905,212054,209494,616351,640042,669924,962802,458615,683270,710699,896705,"112Y11M"
66000,臺中市,66000080,北屯區,317189,274089,268185,270162,315222,308544,299926,304956,859240,797876,841952,1248738,735581,995555,1006018,1226191,"112Y11M"
66000,臺中市,66000090,豐原區,145446,133104,133406,132875,146907,144559,144324,144701,435845,406408,420080,600957,373971,483194,480308,589193,"112Y11M"
66000,臺中市,66000100,東勢區,36625,32643,32731,32589,38654,38139,38359,37921,104019,97427,102802,122070,104945,134158,135703,135973,"112Y11M"
66000,臺中市,66000110,大甲區,67024,74195,74024,73938,67479,69643,69728,69559,225655,213840,219440,289801,189282,240350,244005,275466,"112Y11M"
66000,臺中市,66000120,清水區,82072,71107,70844,70893,82916,79987,79861,80121,237151,210988,225437,302613,218981,268187,287264,326962,"112Y11M"
66000,臺中市,66000130,沙鹿區,117210,102947,103421,103084,113820,110135,107675,109334,332616,302388,318708,474296,278162,349297,347855,452168,"112Y11M"
66000,臺中市,66000140,梧棲區,66207,75217,74986,74723,65134,68521,69891,68504,218557,202041,208921,273560,168959,204996,208064,248383,"112Y11M"
66000,臺中市,66000150,后里區,56503,66733,66149,66390,54806,59309,62104,60487,204662,199175,205855,254503,185208,238200,259031,284803,"112Y11M"
66000,臺中市,66000160,神岡區,66409,72695,71712,72058,65203,63912,62875,63639,235631,206544,222086,279945,177508,199462,221202,261872,"112Y11M"
66000,臺中市,66000170,潭子區,111821,115588,113489,114895,111022,110259,106232,109018,345441,286609,303981,432350,273433,300202,310019,386513,"112Y11M"
66000,臺中市,66000180,大雅區,102131,113974,113957,113825,100533,99187,97902,99089,338891,288621,298969,420111,245007,269613,274127,356843,"112Y11M"
66000,臺中市,66000190,新社區,21459,22025,21757,21794,21460,23332,23043,22922,58376,82021,75227,62310,61324,119820,109587,67722,"112Y11M"
66000,臺中市,66000200,石岡區,10800,9122,9066,9066,11110,10954,10842,10885,39313,36779,38872,44120,37051,56973,64042,52225,"112Y11M"
66000,臺中市,66000210,外埔區,25975,21308,21439,21286,26460,24421,24721,24539,82051,71652,79174,99865,82215,91897,108959,119880,"112Y11M"
66000,臺中市,66000220,大安區,15023,13451,14329,14984,15022,14322,14760,14948,36745,32265,33166,42247,35022,39222,41433,44880,"112Y11M"
66000,臺中市,66000230,烏日區,84309,92777,91532,91942,82506,84761,83200,84221,335160,301761,325606,441741,262221,321010,345727,444333,"112Y11M"
66000,臺中市,66000240,大肚區,51847,44515,44213,44316,52589,49759,48436,49390,150317,122532,128254,179139,133105,140889,144522,179494,"112Y11M"
66000,臺中市,66000250,龍井區,88409,77935,75331,76532,87421,83250,80329,82478,261686,205884,223323,311354,213208,228987,244492,301311,"112Y11M"
66000,臺中市,66000260,霧峰區,75875,82301,81641,81799,72647,72980,70463,71793,246723,239599,252713,319660,205314,257704,272037,325272,"112Y11M"
66000,臺中市,66000270,太平區,193295,170597,168328,169082,192839,182216,176996,180675,491807,430656,447883,642349,417466,459585,463577,595481,"112Y11M"
66000,臺中市,66000280,大里區,204346,184241,182683,183046,203879,190861,186969,189947,592134,503282,539348,808885,472252,544781,560532,738128,"112Y11M"
66000,臺中市,66000290,和平區,12864,14033,13979,13875,15756,19762,19348,19266,32763,45534,43138,31675,43384,74910,69772,44279,"112Y11M"
67000,臺南市,67000010,新營區,66354,68424,68343,68351,67713,68725,68441,68839,205797,204618,215237,286964,185030,236582,243356,304452,"112Y11M"
67000,臺南市,67000020,鹽水區,19511,18688,18737,18579,20283,20049,19928,19999,54614,48642,51284,65649,51978,57610,59539,64291,"112Y11M"
67000,臺南市,67000030,白河區,21117,20567,20396,20344,21660,22031,21905,21521,62718,67749,72894,75390,68259,97181,102556,101074,"112Y11M"
67000,臺南市,67000040,柳營區,19452,23445,22750,22972,19234,20505,19947,20243,66235,63792,68916,78365,57863,69032,75114,82655,"112Y11M"
67000,臺南市,67000050,後壁區,15520,15370,15420,15411,16140,16207,16335,16247,61156,60979,69379,78178,67707,80777,95305,103341,"112Y11M"
67000,臺南市,67000060,東山區,12069,10995,11067,10981,12735,13241,13461,13196,36551,37718,42360,42248,44998,57173,64419,57447,"112Y11M"
67000,臺南市,67000070,麻豆區,38565,38438,38043,38177,39232,39845,39123,39454,132196,127092,136421,170131,125529,159566,168635,192106,"112Y11M"
67000,臺南市,67000080,下營區,15205,12136,12381,12151,15956,14724,15127,14873,44510,38406,42552,54914,45624,49842,56370,66025,"112Y11M"
67000,臺南市,67000090,六甲區,15852,12719,12809,12730,16468,15583,15533,15504,45878,39758,43215,59059,47565,54113,58140,65274,"112Y11M"
67000,臺南市,67000100,官田區,21129,25708,25382,25457,20512,22362,21738,22035,72346,67105,72532,82481,64479,77642,86004,96400,"112Y11M"
67000,臺南市,67000110,大內區,7683,7049,7049,7005,7728,8232,8403,8261,18269,17420,18528,20080,19919,25326,26748,24545,"112Y11M"
