,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表６７ 普通住戶之戶內人口數,,Table 67 Number of Persons of Ordinary Households,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按縣市別分,,,,,,,,,,By County/City
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按主要家計負責人之性別及教育程度分,,,,,,,,,,By Sex and Educational Attainmentof Main Family Living Supporter
,總計,7935570,2084549,1922660,1650458,,1328852,524000,425051,2.8,Grand Total
,國小及以下,746208,310193,214393,98360,,52103,31461,39698,2.2000000000000002,Elementary and Lower
,國（初）中,978720,253335,240670,187539,,147738,74712,74726,2.9,Junior High
,高級中等,2371411,553450,562607,503963,,410883,185666,154842,2.9,Senior High
,大專及以上,3839231,967571,904990,860596,,718128,232161,155785,2.8,Junior College and Higher
,男,5223289,993979,1243353,1152076,,1051612,425156,357113,3.1,Male
,國小及以下,362080,90700,131772,58727,,32767,20161,27953,2.5,Elementary and Lower
,國（初）中,655369,126098,158258,133633,,116515,59307,61558,3.1,Junior High
,高級中等,1597372,273628,357254,351934,,326146,154615,133795,3.2,Senior High
,大專及以上,2608468,503553,596069,607782,,576184,191073,133807,3,Junior College and Higher
,女,2712281,1090570,679307,498382,,277240,98844,67938,2.2999999999999998,Female
,國小及以下,384128,219493,82621,39633,,19336,11300,11745,1.8,Elementary and Lower
,國（初）中,323351,127237,82412,53906,,31223,15405,13168,2.4,Junior High
,高級中等,774039,279822,205353,152029,,84737,31051,21047,2.4,Senior High
,大專及以上,1230763,464018,308921,252814,,141944,41088,21978,2.2999999999999998,Junior College and Higher
,按主要家計負責人之性別及工作狀況分,,,,,,,,,,By Sex and Working Statusof Main Family Living Supporter
,總計,7935570,2084549,1922660,1650458,,1328852,524000,425051,2.8,Grand Total
,有工作,5759126,1183041,1253364,1337276,,1167915,454782,362748,3.1,Holding a Job
,農業,310869,65275,84001,59485,,44139,26025,31944,3,Agriculture
,工業,2149882,351368,422736,512974,,496062,200195,166547,3.3,Industry
,服務業,3298375,766398,746627,764817,,627714,228562,164257,2.9,Services
,無工作,2176444,901508,669296,313182,,160937,69218,62303,2.1,Not Holding a Job
,男,5223289,993979,1243353,1152076,,1051612,425156,357113,3.1,Male
,有工作,4042019,642513,812421,957184,,940773,376994,312134,3.3,Holding a Job
,農業,256905,43202,70085,50958,,39527,23459,29674,3.2,Agriculture
,工業,1747425,243222,320007,418079,,436435,178296,151386,3.4,Industry
,服務業,2037689,356089,422329,488147,,464811,175239,131074,3.2,Services
,無工作,1181270,351466,430932,194892,,110839,48162,44979,2.2999999999999998,Not Holding a Job
,女,2712281,1090570,679307,498382,,277240,98844,67938,2.2999999999999998,Female
,有工作,1717107,540528,440943,380092,,227142,77788,50614,2.6,Holding a Job
,農業,53964,22073,13916,8527,,4612,2566,2270,2.2999999999999998,Agriculture
,工業,402457,108146,102729,94895,,59627,21899,15161,2.7,Industry
,服務業,1260686,410309,324298,276670,,162903,53323,33183,2.5,Services
,無工作,995174,550042,238364,118290,,50098,21056,17324,1.8,Not Holding a Job
,註：本表資料不含無親屬關係所組成之其他家戶，因該類家戶無主要家計負責人。,,"Note：This table does not include other household composed of nonrelatives, because the main family living supporter was not interviewedin the household.",,,,,,,,
