,單位：戶,民國109年,,,,,2020,Unit:Household,,
,表８４ 普通住戶之住宅擁有情形,,Table 84 Home Ownership of Present Living House,,,,,,,
,,,of Ordinary Households,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,
,,總 計,現住住宅為自有The present living house was self-owned,,現住住宅非自有The present living house was non self-owned,,,,,
,,,,,,,,,,
,,合計,有其他自有住宅,沒有其他自有住宅,,合計,有其他自有住宅,沒有其他自有住宅,,
,,Grand total,,,,,,,,
,,Total,Having otherhouse,Having noother house,,Total,Having otherhouse,Having noother house,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按縣市別分,,,,,,,,,By County/City
,未婚,604509,371137,72996,298141,,233372,25341,208031,Unmarried
,有配偶或同居伴侶,3457429,2942229,699285,2242944,,515200,99459,415741,Married or Cohabited
,離婚或分居,399699,254919,43454,211465,,144780,14979,129801,Divorced or Separated
,喪偶,186111,161842,32082,129760,,24269,3238,21031,Widowed
,女,3360061,2564079,614864,1949215,,795982,111538,684444,Female
,未婚,481038,293921,59301,234620,,187117,19844,167273,Unmarried
,有配偶或同居伴侶,1620193,1334145,391178,942967,,286048,60365,225683,Married or Cohabited
,離婚或分居,504994,310892,50640,260252,,194102,15086,179016,Divorced or Separated
,喪偶,753836,625121,113745,511376,,128715,16243,112472,Widowed
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,,,,,Note:This table only includes ordinary households living in the housing unit.,,,
,,,,,,,,,,
,單位：戶,民國109年,,,,,2020,Unit:Household,,
,表８４ 普通住戶之住宅擁有情形（續３）,,Table 84 Home Ownership of Present Living House,,,,,,,
,,,of Ordinary Households(Cont.3),,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,
,,總 計,現住住宅為自有The present living house was self-owned,,現住住宅非自有The present living house was non self-owned,,,,,
,,,,,,,,,,
,,合計,有其他自有住宅,沒有其他自有住宅,,合計,有其他自有住宅,沒有其他自有住宅,,
,,Grand total,,,,,,,,
,,Total,Having otherhouse,Having noother house,,Total,Having otherhouse,Having noother house,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按戶長之性別及教育程度分,,,,,,,,,By Sex and EducationalAttainment of Householder
,總計,8007809,6294206,1462681,4831525,,1713603,254555,1459048,Grand Total
,國小及以下,1212125,1036877,196846,840031,,175248,21350,153898,Elementary and Lower
,國（初）中,1104334,861129,166451,694678,,243205,26437,216768,Junior High
,高級中等,2288379,1742440,375536,1366904,,545939,67393,478546,Senior High
,大專及以上,3402971,2653760,723848,1929912,,749211,139375,609836,Junior College and Higher
,男,4647748,3730127,847817,2882310,,917621,143017,774604,Male
,國小及以下,543562,481136,90154,390982,,62426,7693,54733,Elementary and Lower
,國（初）中,658430,522527,96420,426107,,135903,15001,120902,Junior High
,高級中等,1362560,1064204,218198,846006,,298356,38480,259876,Senior High
,大專及以上,2083196,1662260,443045,1219215,,420936,81843,339093,Junior College and Higher
,女,3360061,2564079,614864,1949215,,795982,111538,684444,Female
,國小及以下,668563,555741,106692,449049,,112822,13657,99165,Elementary and Lower
,國（初）中,445904,338602,70031,268571,,107302,11436,95866,Junior High
,高級中等,925819,678236,157338,520898,,247583,28913,218670,Senior High
,大專及以上,1319775,991500,280803,710697,,328275,57532,270743,Junior College and Higher
,按戶長之性別及工作狀況分,,,,,,,,,By Sex and Working Status of Householder
,總計,8007809,6294206,1462681,4831525,,1713603,254555,1459048,Grand Total
,有工作,4694069,3549919,815335,2734584,,1144150,174033,970117,Holding a Job
,農業,288096,246209,51342,194867,,41887,7399,34488,Agriculture
,工業,1666444,1300063,272324,1027739,,366381,51356,315025,Industry
,服務業,2739529,2003647,491669,1511978,,735882,115278,620604,Services
,無工作,3313740,2744287,647346,2096941,,569453,80522,488931,Not Holding a Job
,男,4647748,3730127,847817,2882310,,917621,143017,774604,Male
,有工作,3049234,2376362,532948,1843414,,672872,108426,564446,Holding a Job
,農業,230190,199869,41376,158493,,30321,5636,24685,Agriculture
,工業,1277230,1011327,207644,803683,,265903,38508,227395,Industry
,服務業,1541814,1165166,283928,881238,,376648,64282,312366,Services
,無工作,1598514,1353765,314869,1038896,,244749,34591,210158,Not Holding a Job
,女,3360061,2564079,614864,1949215,,795982,111538,684444,Female
,有工作,1644835,1173557,282387,891170,,471278,65607,405671,Holding a Job
,農業,57906,46340,9966,36374,,11566,1763,9803,Agriculture
,工業,389214,288736,64680,224056,,100478,12848,87630,Industry
,服務業,1197715,838481,207741,630740,,359234,50996,308238,Services
,無工作,1715226,1390522,332477,1058045,,324704,45931,278773,Not Holding a Job
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,,,,,Note:This table only includes ordinary households living in the housing unit.,,,
