,單位：戶,民國109年,,,,2020,Unit:Household,,
,表８３ 普通住戶之住宅所有權屬,,Table 83 Home Ownership of Ordinary Households,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住,其他（含借住）,
,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted,Others(including borrowed),
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按縣市別分,,,,,,,,By County/City
,５５－６４歲,1855618,1547634,69945,,163001,7522,67516,55-64 Years
,６５歲以上,1550247,1325505,79691,,84377,5681,54993,65 Years and Over
,男,5207868,4233390,284688,,495140,24738,169912,Male
,未滿２５歲,69416,33326,9297,,21715,535,4543,Under 25 Years
,２５－３４歲,478143,324354,45011,,86356,2977,19445,25-34 Years
,３５－４４歲,1178997,919655,84918,,128251,6404,39769,35-44 Years
,４５－５４歲,1315643,1086244,68329,,113812,6366,40892,45-54 Years
,５５－６４歲,1216443,1035087,42095,,95850,5287,38124,55-64 Years
,６５歲以上,949226,834724,35038,,49156,3169,27139,65 Years and Over
,女,2702516,2003620,189419,,350811,12984,145682,Female
,未滿２５歲,51170,21234,7360,,18746,222,3608,Under 25 Years
,２５－３４歲,242185,141198,27295,,58122,1862,13708,25-34 Years
,３５－４４歲,517880,348130,43445,,88200,2962,35143,35-44 Years
,４５－５４歲,651085,489730,38816,,83371,3191,35977,45-54 Years
,５５－６４歲,639175,512547,27850,,67151,2235,29392,55-64 Years
,６５歲以上,601021,490781,44653,,35221,2512,27854,65 Years and Over
,按主要家計負責人之性別及婚姻狀況分,,,,,,,,By Sex and Marital Status ofMain Family Living Supporter
,總計,7910384,6237010,474107,,845951,37722,315594,Grand Total
,未婚,1448239,998417,114579,,249587,7019,78637,Unmarried
,有配偶或同居伴侶,4983715,4197628,252204,,367590,23733,142560,Married or Cohabited
,離婚或分居,909285,582860,65963,,186922,4322,69218,Divorced or Separated
,喪偶,569145,458105,41361,,41852,2648,25179,Widowed
,男,5207868,4233390,284688,,495140,24738,169912,Male
,未婚,849791,594027,66419,,141830,4357,43158,Unmarried
,有配偶或同居伴侶,3798386,3243786,179181,,265683,17542,92194,Married or Cohabited
,離婚或分居,441581,296260,32650,,79612,2434,30625,Divorced or Separated
,喪偶,118110,99317,6438,,8015,405,3935,Widowed
,女,2702516,2003620,189419,,350811,12984,145682,Female
,未婚,598448,404390,48160,,107757,2662,35479,Unmarried
,有配偶或同居伴侶,1185329,953842,73023,,101907,6191,50366,Married or Cohabited
,離婚或分居,467704,286600,33313,,107310,1888,38593,Divorced or Separated
,喪偶,451035,358788,34923,,33837,2243,21244,Widowed
,註：1.本表僅統計居住於住宅內之普通住戶。2.本表資料不含無親屬關係所組成之其他家戶，因該類家戶無主要家計負責人。,,"Note：1.This table only includes ordinary households living in the housing unit.2.This table does not include other household composed of nonrelatives, because the main family living supporter was not interviewedin the household.",,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：戶,民國109年,,,,2020,Unit:Household,,
,表８３ 普通住戶之住宅所有權屬（續完）,,Table 83 Home Ownership of Ordinary Households(End),,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住,其他（含借住）,
,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted,Others(including borrowed),
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按主要家計負責人之性別及教育程度分,,,,,,,,By Sex and Educational Attainmentof Main Family Living Supporter
,總計,7910384,6237010,474107,,845951,37722,315594,Grand Total
,國小及以下,744834,614345,45746,,51837,2251,30655,Elementary and Lower
,國（初）中,976609,750335,51535,,127804,3068,43867,Junior High
,高級中等,2366077,1816608,137548,,298341,8790,104790,Senior High
,大專及以上,3822864,3055722,239278,,367969,23613,136282,Junior College and Higher
,男,5207868,4233390,284688,,495140,24738,169912,Male
,國小及以下,361428,311342,14478,,22238,747,12623,Elementary and Lower
,國（初）中,654032,516913,33368,,75564,1939,26248,Junior High
,高級中等,1594090,1267402,88584,,174351,5664,58089,Senior High
,大專及以上,2598318,2137733,148258,,222987,16388,72952,Junior College and Higher
,女,2702516,2003620,189419,,350811,12984,145682,Female
,國小及以下,383406,303003,31268,,29599,1504,18032,Elementary and Lower
,國（初）中,322577,233422,18167,,52240,1129,17619,Junior High
,高級中等,771987,549206,48964,,123990,3126,46701,Senior High
,大專及以上,1224546,917989,91020,,144982,7225,63330,Junior College and Higher
,按主要家計負責人之性別及工作狀況分,,,,,,,,By Sex and Working Statusof Main Family Living Supporter
,總計,7910384,6237010,474107,,845951,37722,315594,Grand Total
,有工作,5741235,4495094,334298,,672349,29412,210082,Holding a Job
,農業,310592,267225,19723,,10728,1476,11440,Agriculture
,工業,2144344,1731866,122526,,211695,7056,71201,Industry
,服務業,3286299,2496003,192049,,449926,20880,127441,Services
,無工作,2169149,1741916,139809,,173602,8310,105512,Not Holding a Job
,男,5207868,4233390,284688,,495140,24738,169912,Male
,有工作,4030674,3255678,222138,,410551,20580,121727,Holding a Job
,農業,256710,224483,15798,,7250,918,8261,Agriculture
,工業,1743300,1431146,95777,,160753,5605,50019,Industry
,服務業,2030664,1600049,110563,,242548,14057,63447,Services
,無工作,1177194,977712,62550,,84589,4158,48185,Not Holding a Job
,女,2702516,2003620,189419,,350811,12984,145682,Female
,有工作,1710561,1239416,112160,,261798,8832,88355,Holding a Job
,農業,53882,42742,3925,,3478,558,3179,Agriculture
,工業,401044,300720,26749,,50942,1451,21182,Industry
,服務業,1255635,895954,81486,,207378,6823,63994,Services
,無工作,991955,764204,77259,,89013,4152,57327,Not Holding a Job
,註：1.本表僅統計居住於住宅內之普通住戶。2.本表資料不含無親屬關係所組成之其他家戶，因該類家戶無主要家計負責人。,,"Note：1.This table only includes ordinary households living in the housing unit.2.This table does not include other household composed of nonrelatives, because the main family living supporter was not interviewedin the household.",,,,,,
