,單位：人,民國109年,,,,,2020,Unit:Person,,,
,表３６ ５歲以上跨縣市遷徙人口之年齡結構,,Table 36 Age Structure of the Migration Population Aged 5 Years and Over,,,,,,,,
,,,Moving Across County/City,,,,,,,,
,(1)總計,,(1)Grand total,,,,,,,,
,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                    Unit:Person,,,,,,,,
,,,,,,,,,,,
,,總 計,未滿１５歲,１５－２４歲,２５－３４歲,,３５－４４歲,４５－５４歲,５５－６４歲,６５歲以上,
,,,,,,,,,,,
,,Grand total,Under 15 years,15-24 years,25-34 years,,35-44 years,45-54 years,55-64 years,65 years and over,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,By Usually Living County/City
,有工作,393067,0,64223,134373,,113662,51009,24915,4885,Holding a Job
,農業,5261,0,232,1140,,1241,1052,1165,431,Agriculture
,工業,136256,0,12079,48080,,46062,19446,9063,1526,Industry
,服務業,251550,0,51912,85153,,66359,30511,14687,2928,Services
,無工作,344912,49224,182508,26015,,14962,14201,20303,37699,Not Holding a Job
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.「跨縣市遷徙人口」係指5年前居住地與現住處所之縣市不同者，包括自不同縣市或境外遷入現住縣市者。,,"Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry   of Labor.   2.""Migration population moving across county or city"" refers to the population whose living place 5 years ago was not in the same   county or city as it was for the usually living place, including moving from other county/city or abroad.",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：人,民國109年,,,,,2020,Unit:Person,,,
,表３６ ５歲以上跨縣市遷徙人口之年齡結構（續４）,,Table 36 Age Structure of the Migration Population Aged 5 Years and Over,,,,,,,,
,,,Moving Across County/City(Cont.4),,,,,,,,
,(3)女性,,(3)Female,,,,,,,,
,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                    Unit:Person,,,,,,,,
,,,,,,,,,,,
,,總 計,未滿１５歲,１５－２４歲,２５－３４歲,,３５－４４歲,４５－５４歲,５５－６４歲,６５歲以上,
,,,,,,,,,,,
,,Grand total,Under 15 years,15-24 years,25-34 years,,35-44 years,45-54 years,55-64 years,65 years and over,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,By Usually Living County/City
,總計,768249,44725,252873,183350,,132788,61019,45459,48035,Grand Total
,新北市,152121,11484,29548,35365,,32723,16735,12282,13984,New Taipei City
,臺北市,119150,6519,45053,28849,,18723,8067,5455,6484,Taipei City
,桃園市,92607,5396,24020,24383,,18149,7608,6416,6635,Taoyuan City
,基隆市,10321,517,2742,2268,,1912,1106,834,942,Keelung City
,新竹市,27865,1536,10259,7682,,4687,1735,990,976,Hsinchu City
,宜蘭縣,12433,760,4412,2230,,1857,1200,1065,909,Yilan County
,新竹縣,30207,2302,4254,10125,,7022,2680,1769,2055,Hsinchu County
,臺中市,90190,4625,36473,22158,,13596,5405,3749,4184,Taichung City
,苗栗縣,12528,679,4530,2732,,2109,917,916,645,Miaoli County
,彰化縣,16303,901,4621,4519,,3115,1430,781,936,Changhua County
,南投縣,9001,661,2219,2222,,1498,990,809,602,Nantou County
,雲林縣,11601,823,3915,2655,,2107,776,599,726,Yunlin County
,臺南市,54142,2114,26765,10894,,6960,2798,2261,2350,Tainan City
,高雄市,58288,2639,23465,13665,,8869,4136,2746,2768,Kaohsiung City
,嘉義市,8811,962,1617,2056,,1782,793,728,873,Chiayi City
,嘉義縣,17816,954,7864,3164,,2309,1433,1142,950,Chiayi County
,屏東縣,20819,754,11045,3182,,2359,1394,1157,928,Pingtung County
,澎湖縣,2129,128,548,586,,394,171,157,145,Penghu County
,臺東縣,5061,287,1759,1174,,793,358,408,282,Taitung County
,花蓮縣,13593,454,7007,2411,,1287,1012,891,531,Hualien County
,金門縣,2465,197,532,680,,421,241,281,113,Kinmen County
,連江縣,798,33,225,350,,116,34,23,17,Lienchiang County
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.「跨縣市遷徙人口」係指5年前居住地與現住處所之縣市不同者，包括自不同縣市或境外遷入現住縣市者。,,"Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry   of Labor.   2.""Migration population moving across county or city"" refers to the population whose living place 5 years ago was not in the same   county or city as it was for the usually living place, including moving from other county/city or abroad.",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：人,民國109年,,,,,2020,Unit:Person,,,
,表３６ ５歲以上跨縣市遷徙人口之年齡結構（續完）,,Table 36 Age Structure of the Migration Population Aged 5 Years and Over,,,,,,,,
,,,Moving Across County/City(End),,,,,,,,
,(3)女性,,(3)Female,,,,,,,,
,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                    Unit:Person,,,,,,,,
,,,,,,,,,,,
,,總 計,未滿１５歲,１５－２４歲,２５－３４歲,,３５－４４歲,４５－５４歲,５５－６４歲,６５歲以上,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,Under 15 years,15-24 years,25-34 years,,35-44 years,45-54 years,55-64 years,65 years and over,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按婚姻狀況分,,,,,,,,,,By Marital Status
,總計,768249,44725,252873,183350,,132788,61019,45459,48035,Grand Total
,未婚,394827,44725,238172,75622,,22557,8651,3577,1523,Unmarried
,有配偶或同居伴侶,304849,0,14205,102965,,97853,38904,28283,22639,Married or Cohabited
,離婚或分居,42038,0,496,4692,,11828,11705,9146,4171,Divorced or Separated
,喪偶,26535,0,0,71,,550,1759,4453,19702,Widowed
,按教育程度分,,,,,,,,,,By Educational Attainment
,總計,768249,44725,252873,183350,,132788,61019,45459,48035,Grand Total
,國小及以下,65140,35652,1017,597,,1515,1013,3231,22115,Elementary and Lower
,國（初）中,44637,9060,3756,4300,,5843,5357,9162,7159,Junior High
,高級中等,128962,13,35047,23956,,25885,19128,15616,9317,Senior High
,大專及以上,529510,0,213053,154497,,99545,35521,17450,9444,Junior College and Higher
,按工作狀況分,,,,,,,,,,By Working Status
,總計,768249,44725,252873,183350,,132788,61019,45459,48035,Grand Total
,有工作,348738,0,64105,134545,,92882,39070,15775,2361,Holding a Job
,農業,3770,0,265,938,,843,867,574,283,Agriculture
,工業,70569,0,6882,30202,,22702,7703,2736,344,Industry
,服務業,274399,0,56958,103405,,69337,30500,12465,1734,Services
,無工作,419511,44725,188768,48805,,39906,21949,29684,45674,Not Holding a Job
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.「跨縣市遷徙人口」係指5年前居住地與現住處所之縣市不同者，包括自不同縣市或境外遷入現住縣市者。,,"Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry   of Labor.   2.""Migration population moving across county or city"" refers to the population whose living place 5 years ago was not in the same   county or city as it was for the usually living place, including moving from other county/city or abroad.",,,,,,,,
