,單位：人,民國109年,,,,,2020,Unit:Person,,,
,表３５ ５歲以上常住人口跨縣市之遷徙狀況,,Table 35 Migration Status of the Resident Population Aged 5 Years and Over,,,,,,,,
,,,Moving Across County/City,,,,,,,,
,(1)總計,,(1)Grand total,,,,,,,,
,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                    Unit:Person,,,,,,,,
,,常住人口,跨縣市遷徙人口,國內遷徙,,Internal migration,自大陸地區（含港澳）或國外遷入,,,,
,,,Migration from the Chinese Mainland(including Hong Kong and Macau) or overseas,,,,,,,,
,,,,,,,,,,,
,,淨遷徙,遷入,,遷出,合計,大陸地區（含港澳）,國外地區,,,
,,Residentpopulation,Migration population moving across county/city,,,,,,,,
,,Net migration,In-migration,,Out-migration,Total,The Chinese Mainland (including Hong Kong and Macau),Overseas,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,By Usually Living County/City
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.「跨縣市遷徙人口」係指5年前居住地與現住處所之縣市不同者，包括自不同縣市或境外遷入現住縣市者。,,"Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry   of Labor.   2.""Migration population moving across county or city"" refers to the population whose living place 5 years ago was not in the same   county or city as it was for the usually living place, including moving from other county/city or abroad.",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：人,民國109年,,,,,2020,Unit:Person,,,
,表３５ ５歲以上常住人口跨縣市之遷徙狀況（續完）,,Table 35 Migration Status of the Resident Population Aged 5 Years and Over,,,,,,,,
,,,Moving Across County/City(End),,,,,,,,
,(3)女性,,(3)Female,,,,,,,,
,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                    Unit:Person,,,,,,,,
,,常住人口,跨縣市遷徙人口,國內遷徙,,Internal migration,自大陸地區（含港澳）或國外遷入,,,,
,,,Migration from the Chinese Mainland(including Hong Kong and Macau) or overseas,,,,,,,,
,,,,,,,,,,,
,,淨遷徙,遷入,,遷出,合計,大陸地區（含港澳）,國外地區,,,
,,Residentpopulation,Migration population moving across county/city,,,,,,,,
,,Net migration,In-migration,,Out-migration,Total,The Chinese Mainland (including Hong Kong and Macau),Overseas,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,By Usually Living County/City
,總計,11258929,768249,0,672944,,672944,95305,31033,64272,Grand Total
,新北市,2109762,152121,23612,135915,,112303,16206,5665,10541,New Taipei City
,臺北市,1297873,119150,-21090,97130,,118220,22020,7265,14755,Taipei City
,桃園市,1111083,92607,33690,82833,,49143,9774,3114,6660,Taoyuan City
,基隆市,177774,10321,-3136,9068,,12204,1253,556,697,Keelung City
,新竹市,226495,27865,4315,24757,,20442,3108,751,2357,Hsinchu City
