,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表６８ 普通住戶之家戶型態,,Table 68 Family Household Type of Ordinary Households,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                  Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple orunmarriedpartner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent family),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparentwith theirunmarriedgrandchild(ren),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按縣市別分,,,,,,,,,,,,,,,By County/City
,２５－３４歲,342920,144935,37618,92314,15003,20447,,12877,5434,2136,144046,33492,26402,7090,25-34 Years
,３５－４４歲,828765,521416,74538,408737,38141,79511,,63297,15558,656,182978,44860,39803,5057,35-44 Years
,４５－５４歲,1018095,657976,117072,484828,56076,119553,,89848,28479,1226,191670,48896,44194,4702,45-54 Years
,５５－６４歲,1150479,673988,199564,428095,46329,196790,,126988,60336,9466,214637,65064,59806,5258,55-64 Years
,６５歲以上,1259507,607254,347176,225081,34997,339258,,219427,86116,33715,219300,93695,79304,14391,65 Years and Over
,女,3370476,1509167,294802,810334,404031,521255,,330612,135441,55202,1090570,249484,193260,56224,Female
,未滿２５歲,50795,7004,1096,4349,1559,1179,,521,152,506,33539,9073,4748,4325,Under 25 Years
,２５－３４歲,226133,89798,18273,56714,14811,10278,,6499,2731,1048,102072,23985,17089,6896,25-34 Years
,３５－４４歲,541985,331120,32420,234350,64350,29968,,23571,6013,384,151487,29410,23569,5841,35-44 Years
,４５－５４歲,725260,429305,60682,262473,106150,53939,,36653,15353,1933,208413,33603,28493,5110,45-54 Years
,５５－６４歲,821164,382732,87607,186759,108366,146415,,93745,39436,13234,243369,48648,43313,5335,55-64 Years
