,單位：人,民國109年,,,,,2020,Unit:Person,,,,,,
,表３３ ５歲以上常住人口５年前居住地,,Table 33 Living Place 5 Years Ago of the Resident Population,,,,,,,,,,,
,,,Aged 5 Years and Over,,,,,,,,,,,
,(1)總計,,(1)Grand total,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                     Unit:Person,,,,,,,,,,,
,,,北部地區,,Northern region,,,,,,,,,
,,,,,,,,,,,,,,
,,總 計,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,合計,新北市,臺北市,,桃園市,基隆市,新竹市,宜蘭縣,新竹縣,,,
,,Grand total,,New TaipeiCity,TaipeiCity,,TaoyuanCity,KeelungCity,HsinchuCity,YilanCounty,HsinchuCounty,,,
,,,Total,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,,By Usually Living County/City,,
,,,北部地區,,Northern region,,,,,,,,,
,,,,,,,,,,,,,,
,,總 計,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,合計,新北市,臺北市,,桃園市,基隆市,新竹市,宜蘭縣,新竹縣,,,
,,Grand total,,New TaipeiCity,TaipeiCity,,TaoyuanCity,KeelungCity,HsinchuCity,YilanCounty,HsinchuCounty,,,
,,,Total,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,,By Usually Living County/City,,
,總計,10950691,5116203,1995370,1172152,,1069707,175669,222091,199339,281875,Grand Total,,
,北部地區,5196892,5022780,1963678,1151028,,1048506,172767,215850,195789,275162,Northern Region,,
,新北市,2018526,1971099,1882837,68412,,11011,3219,1681,2464,1475,New Taipei City,,
,臺北市,1161954,1108070,32353,1058534,,8092,2699,2809,1990,1593,Taipei City,,
,桃園市,1112476,1075893,32114,13302,,1019747,2310,2504,2229,3687,Taoyuan City,,
,基隆市,173399,170630,3889,2432,,632,163261,96,230,90,Keelung City,,
,新竹市,233830,217141,3862,3427,,3570,397,200825,418,4642,Hsinchu City,,
,宜蘭縣,201926,197494,4846,2607,,1037,545,118,188105,236,Yilan County,,
,新竹縣,294781,282453,3777,2314,,4417,336,7817,353,263439,Hsinchu County,,
,中部地區,2639397,39975,13334,8931,,8564,1237,3458,1138,3313,Central Region,,
,臺中市,1376132,25317,8373,6087,,5385,779,1780,862,2051,Taichung City,,
,苗栗縣,240369,5159,1290,720,,1048,116,1212,85,688,Miaoli County,,
,彰化縣,544506,3926,1419,990,,835,161,179,98,244,Changhua County,,
,南投縣,197689,1462,486,407,,270,29,136,33,101,Nantou County,,
,雲林縣,280701,4111,1766,727,,1026,152,151,60,229,Yunlin County,,
,南部地區,2843270,40655,13795,9512,,9479,1139,2434,1440,2856,Southern Region,,
,臺南市,858386,13825,4519,3055,,3012,309,1110,441,1379,Tainan City,,
,高雄市,1254656,15528,5229,3883,,3431,611,774,694,906,Kaohsiung City,,
,嘉義市,112874,1377,562,549,,162,1,35,19,49,Chiayi City,,
,嘉義縣,221161,4145,1546,796,,1195,76,233,89,210,Chiayi County,,
,屏東縣,355278,4807,1614,1040,,1402,115,218,151,267,Pingtung County,,
,澎湖縣,40915,973,325,189,,277,27,64,46,45,Penghu County,,
,東部地區,231006,10167,3643,2224,,2372,405,279,841,403,Eastern Region,,
,臺東縣,90451,3524,1369,617,,951,145,88,223,131,Taitung County,,
,花蓮縣,140555,6643,2274,1607,,1421,260,191,618,272,Hualien County,,
,金馬地區,40126,2626,920,457,,786,121,70,131,141,Kinma Region,,
,金門縣,32505,1337,469,305,,393,36,32,52,50,Kinmen County,,
,連江縣,7621,1289,451,152,,393,85,38,79,91,Lienchiang County,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry   of Labor.,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：人,民國109年,,,,,,,2020,Unit:Person,,,,
,表３３ ５歲以上常住人口５年前居住地（續４）,,Table 33 Living Place 5 Years Ago of the Resident Population,,,,,,,,,,,
,,,Aged 5 Years and Over(Cont.4),,,,,,,,,,,
,(2)男性,,(2)Male,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                     Unit:Person,,,,,,,,,,,
,,中部地區 Central region,,南部地區,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
